token,count
上海,29798
第二,29796
马上,29733
玺,29715
遍,29711
妈,29582
双,29551
单身,29511
贵,29501
追,29406
年轻,29401
主要,29317
圈,29252
正,29202
中午,29194
与,29144
撒,29053
完全,28991
一切,28915
总是,28867
却,28866
夸,28845
些,28796
毕竟,28755
诶,28745
首,28709
哼,28709
经常,28629
路,28580
出门,28495
可怜,28471
那些,28458
宿舍,28434
明明,28332
萌,28220
恋爱,28199
卡,28027
甜,27987
红,27969
各种,27914
可惜,27848
所有,27819
亲爱,27779
推荐,27682
仙女,27614
到底,27399
哪儿,27395
就要,27253
毛,27245
么么,27220
女神,27169
口,27149
接,27118
重,27113
装,27111
站,27077
无聊,27066
打算,27053
感谢,27015
正常,26952
这边,26940
美好,26909
怪,26898
丢,26885
昨晚,26787
周,26618
谈,26607
有些,26576
听说,26373
吓,26364
成都,26350
简直,26306
情况,26194
呐,26053
不然,26048
度,26022
哎呀,25973
一些,25914
男生,25862
除了,25857
以,25803
分钟,25753
了解,25712
照,25514
每个,25436
店,25401
舒服,25196
上课,25193
傻,25166
冬天,25030
愉快,24989
离,24985
乱,24938
菜,24922
大学,24858
办,24832
电话,24797
收,24794
大概,24780
游戏,24747
表情,24728
浪,24710
对象,24693
味道,24684
夏天,24668
慢慢,24656
随便,24646
真心,24535
表示,24497
感冒,24387
个人,24366
好几,24341
后面,24280
不好意思,24274
不怕,24269
雪,24259
后来,24224
动,24206
明白,24059
火锅,24055
喊,23988
本,23894
蛮,23867
教,23757
肥,23691
小心,23661
外面,23614
联系,23604
读,23598
故事,23596
宝贝,23574
有空,23552
道理,23505
怎样,23487
跳,23430
试,23418
喔,23417
场,23379
认真,23367
鬼,23317
妈妈,23306
想想,23300
上次,23218
安全,23213
脚,23151
那边,23140
痛,23078
烦,23039
清楚,23027
爸,23002
选择,22945
拍照,22881
酒,22862
可怕,22847
成功,22833
刷,22797
停,22787
嘴,22732
表白,22692
聊,22659
咱,22654
夜,22620
转,22553
根本,22526
日子,22513
阿姨,22436
爱情,22409
床,22405
如此,22356
考虑,22337
恭喜,22225
愿意,22187
风,22120
难受,22046
谢,22027
老公,22003
广州,22002
选,21973
路上,21901
位,21859
吹,21846
课,21787
喂,21736
好听,21729
照顾,21709
自,21693
抓,21670
鱼,21636
安,21588
咬,21544
觉,21520
楼,21473
饱,21439
辣,21431
骗,21418
妹妹,21366
健康,21361
关系,21286
六,21283
如,21276
老婆,21266
碗,21233
不如,21213
别的,21210
感情,21180
好玩,21165
耍,21057
份,20985
绝对,20932
专业,20895
简单,20857
难过,20836
忘记,20744
缺,20737
倒,20710
顿,20705
老板,20683
多久,20660
礼物,20595
雨,20557
失眠,20510
面,20501
实在,20495
直播,20472
乖,20466
如何,20439
伤,20418
近,20411
班,20355
补,20342
肚子,20330
当时,20320
公司,20309
定,20292
放心,20279
配,20279
呆,20237
不够,20184
颜色,20173
赢,20138
咱们,20078
外,20049
瞎,19973
提前,19954
明年,19922
重庆,19921
气,19904
长大,19903
再说,19861
往,19849
逛,19755
从来,19742
接受,19731
身边,19731
病,19670
吐,19573
介绍,19522
美丽,19514
生气,19487
便宜,19463
太阳,19432
大哥,19427
开学,19407
急,19390
见到,19379
满,19341
收到,19321
借,19315
再见,19269
戴,19262
晓得,19248
愿,19237
旅游,19220
打电话,19169
百,19116
受,19089
米,19080
值得,19046
麻烦,19042
那天,19033
套,19031
确定,19008
姑娘,18975
放弃,18959
感动,18957
运动,18929
排,18894
醉,18892
有时候,18860
出现,18823
活动,18822
起床,18810
疯,18810
感受,18807
七,18799
电脑,18797
整,18670
敬业,18658
进去,18616
变成,18587
深,18579
上去,18547
群,18544
声音,18539
低,18539
果然,18526
药,18523
八,18423
去年,18404
嗨,18323
害怕,18319
贴,18245
关,18197
小时候,18127
强,18069
城市,18062
集,18045
珍惜,18043
说明,18037
嫉妒,17991
少女,17970
熬夜,17917
决定,17901
片,17877
学生,17820
不同,17746
结束,17711
自然,17629
背,17595
练,17532
偷,17511
声,17506
杯,17468
坑,17456
下雪,17436
聊天,17402
脑子,17365
边,17353
火,17351
后悔,17267
那样,17236
尴尬,17231
寄,17229
女孩,17186
乐,17134
高兴,17126
安慰,17092
飞机,17072
早就,17020
不管,16977
我会,16960
记,16947
入,16928
下班,16926
原因,16892
困,16869
暑假,16834
想起,16820
待,16809
效果,16782
发型,16768
担心,16762
秒,16741
激动,16737
破,16671
非,16662
所,16628
鞋,16610
未来,16589
线,16555
喝酒,16553
正在,16546
也好,16491
无法,16489
货,16480
吼,16457
穷,16456
慢,16344
逗,16330
离开,16299
基本,16261
话说,16223
向,16221
星期,16221
颗,16202
东北,16181
躺,16177
纠结,16154
这次,16139
青春,16129
明显,16128
旁边,16121
身材,16110
空调,16067
吖,16062
要求,16056
社会,16050
节目,16032
皮肤,15961
武汉,15960
易烊,15909
易,15898
苹果,15871
医生,15858
光,15851
款,15844
土豪,15815
关心,15780
存在,15706
忍,15682
方便,15677
牛,15654
优秀,15635
深圳,15632
没什么,15624
貌似,15563
平时,15549
加班,15504
交,15502
来说,15496
神,15452
她们,15442
晕,15424
炸,15392
问问,15387
煮,15336
恩恩,15319
裤子,15315
兄弟,15307
部,15262
解释,15225
消息,15178
爬,15175
内,15162
作业,15115
嫁,15102
儿子,15089
搜,15062
关键,15010
医院,14996
重点,14948
情,14938
西安,14933
摔,14912
房子,14880
减,14876
有钱,14862
倒是,14854
唱歌,14812
切,14804
男神,14772
杀,14759
清,14748
完美,14724
恨,14719
开车,14704
学姐,14702
胸,14675
听到,14663
毛病,14652
戏,14639
身,14636
服,14620
合适,14608
也许,14606
假期,14564
影响,14541
内心,14541
搬,14537
拒绝,14526
熬,14526
油,14521
欺负,14509
杭州,14496
伤心,14480
球,14474
顺利,14462
早起,14437
耶,14431
读书,14417
裙子,14408
惨,14395
演,14370
经历,14359
英语,14332
客气,14288
输,14288
我看,14283
同意,14266
闲,14266
节奏,14254
苦,14248
