token,count
日,20117
帮,20112
简直,20111
提,20063
只能,20056
大概,20044
有的,20010
风,20007
知,19966
真是,19958
不可,19957
身边,19928
方面,19848
卖,19800
进去,19793
即,19783
表示,19742
真正,19739
骂,19666
离,19615
管,19592
显得,19557
愿,19552
记得,19543
可怜,19524
社会,19516
了解,19463
内,19453
不错,19419
其中,19415
即使,19374
医生,19315
封,19307
办,19266
经过,19185
结果,19154
那时,19117
到底,18978
从来,18949
慢慢,18925
装,18900
进行,18833
生命,18777
仍然,18771
爬,18739
作为,18738
旁边,18730
美,18729
要求,18696
尽,18654
哪儿,18613
同样,18516
重,18507
电话,18475
罢,18457
够,18453
日本,18374
奇怪,18363
很多,18351
日子,18296
容易,18285
错,18270
紧,18263
病,18220
乱,18205
定,18153
坏,18150
国家,18134
回家,18111
懂,18027
不好,17862
久,17841
小说,17794
妈,17715
吹,17708
听说,17702
爸爸,17690
老人,17683
外面,17682
学生,17664
打开,17568
漂亮,17564
深,17547
前面,17525
相,17499
常,17453
派,17445
中间,17390
教,17390
夜,17370
存在,17357
忘,17354
幸福,17311
重要,17289
六,17279
老师,17245
时代,17223
门口,17150
哩,17125
直到,17094
嘛,17053
大声,17050
曾经,16947
屋子,16878
机会,16855
船,16814
哦,16809
换,16766
支,16699
消息,16684
群,16674
照,16656
受到,16624
清,16532
破,16491
不管,16420
明天,16393
感情,16392
人物,16308
充满,16290
份,16224
王,16181
常常,16160
摸,16153
数,16093
另外,16088
套,16082
确实,16067
遍,16061
是否,16039
玩,16004
兄弟,15936
梦,15934
解释,15922
只好,15921
害怕,15906
搞,15893
神,15876
历史,15822
可怕,15786
那天,15785
接受,15779
那位,15720
眼前,15715
抓,15712
主人,15664
力量,15642
很快,15611
小时,15609
章,15609
急,15576
火,15535
下面,15528
俩,15509
按,15453
关于,15428
摆,15405
各,15394
结婚,15366
留下,15319
吓,15312
杯,15292
近,15256
推,15213
作品,15170
刀,15162
既然,15159
低,15152
便是,15129
背,15117
烧,15100
重新,15076
笔,15003
学校,14973
旧,14962
七,14938
原因,14910
快乐,14892
辆,14871
首,14859
美丽,14848
至少,14813
金,14813
太阳,14801
黑暗,14789
每个,14745
答应,14731
更加,14712
及,14663
自由,14657
对方,14639
层,14590
房,14590
分钟,14580
爱情,14523
全部,14494
怎么样,14463
每天,14462
至,14454
表现,14449
拍,14420
颗,14412
楼,14357
记,14355
翻,14336
树,14293
参加,14284
怪,14279
敌人,14273
法国,14268
股,14231
双手,14224
伸,14184
女子,14172
心情,14170
咬,14159
打算,14147
产生,14068
二十,14057
考虑,14050
人类,14043
桌子,14039
流,14013
露出,14008
大人,13990
理解,13986
堆,13931
究竟,13927
抓住,13920
洗,13892
担心,13887
似,13850
美国,13829
国王,13822
不行,13820
顶,13753
脑袋,13748
态度,13720
赶,13699
英国,13663
八,13616
觉,13591
血,13589
关,13553
闭,13502
各种,13476
城市,13434
显然,13432
青年,13427
烟,13423
客人,13401
挺,13389
那边,13385
越来越,13355
早已,13342
只见,13324
的确,13293
上去,13262
爹,13229
饭,13225
命,13202
取,13193
失去,13191
般,13176
借,13172
带来,13154
如今,13150
比较,13140
招,13134
摇,13123
人民,13115
不必,13101
加,13090
意义,13087
吃饭,13066
通过,13054
此刻,13049
怎,13032
呆,13024
消失,13019
旁,12968
沉默,12961
文学,12932
想象,12920
怀疑,12897
结束,12883
立,12866
咱,12865
脱,12836
革命,12835
表情,12815
求,12808
甚,12790
叹,12760
灵魂,12744
无论,12744
承认,12743
山,12740
下午,12734
顿,12725
上来,12692
汽车,12663
亦,12644
第三,12638
家伙,12629
院子,12628
帮助,12587
周围,12574
不少,12571
至于,12564
断,12529
姓,12527
不久,12522
经常,12514
枪,12511
耳朵,12508
阳光,12507
伤,12494
或是,12463
盯,12460
习惯,12395
危险,12383
文章,12342
退,12292
椅子,12278
收,12273
哥哥,12267
改变,12261
号,12253
嘴里,12241
战争,12224
脸色,12206
谈话,12199
毫无,12180
相当,12174
空,12170
秘密,12149
扔,12119
包,12074
进入,12053
擦,12035
方式,12020
卷,12014
同意,11992
立即,11984
腰,11984
提出,11972
姐姐,11968
昨天,11945
娘,11910
同志,11895
肉,11893
简单,11888
干什么,11884
研究,11858
好几,11809
晚,11805
碗,11762
倒是,11760
行动,11749
兴趣,11748
想法,11730
忘记,11721
再说,11714
到处,11708
惊,11640
眼泪,11624
作家,11613
应,11595
说明,11582
闹,11561
微微,11560
果然,11554
决不,11552
这话,11545
部,11522
余,11522
之下,11484
影响,11480
意识,11469
传,11457
方,11454
亮,11414
生气,11396
刚刚,11395
原,11379
脖子,11365
女孩,11345
应当,11334
尤其,11328
不幸,11321
事实,11318
好象,11312
雨,11308
冷,11292
等待,11290
早晨,11288
戏,11276
嘴唇,11262
家庭,11253
变化,11251
手指,11247
伟大,11241
一时,11232
众人,11221
嗯,11187
就是,11166
不得不,11156
不断,11154
引起,11123
啥,11117
念,11111
