# 夜莺2.0 当前完整根表

当前134组，所有归并关系已确认；付保留；击二山与举字底凵两种拆法均保留，累计默认二山。尚未分配2.0键位。

新增根19个均确认；尺、啇为恢复旧根，曲不加。共413个底层根形／别名条目（不是独立主根数）。

| 序号 | 根组 | 组内全部根形 | 说明 |
| 119 | 丘 | 丘 |  |
| 120 | 单 | 单 |  |
| 121 | 长 | 长、長 |  |
| 122 | 九 | 九、丸 |  |
| 123 | 耂 | 耂 |  |
| 124 | 皿 | 皿、罒、四、血 |  |
| 125 | 耳 | 耳 |  |
| 126 | 西 | 西、酉、覀 |  |
| 127 | 火 | 火、灬 |  |
| 128 | 之 | 之 |  |
| 129 | 隹 | 隹 |  |
| 130 | 礻 | 礻、衤 |  |
| 131 | 韦 | 韦 |  |
| 132 | 生 | 生 |  |
| 133 | 乍 | 乍 |  |
| 134 | 亥 | 亥 |  |
