部件	codepoint	票数	jd1	jd93首末	moqi首末	hu首末	首末合计
礻	U+793B	2.5	附		48	46	94
曰	U+66F0	2.5	附	(2)	31	44	77
	U+E43A	2.5	附	56		16	72
言	U+8A00	2.5	附	30		31	61
氺	U+6C3A	2.5	附		14	31	45
走	U+8D70	2.5	附	19		18	37
耒	U+8012	2.5	附		19	17	36
爫	U+722B	2.5	附		17	19	36
音	U+97F3	2.5	附	17		17	34
戋	U+620B	2.5	附	14	14		28
朩	U+6729	2.5	附		16	5	21
末	U+672B	2.5	附	7	6		13
禾	U+79BE	2.0			90	95	185
页	U+9875	2.0			65	65	130
	U+E09E	2.0	主	128			128
示	U+793A	2.0			62	61	123
酉	U+9149	2.0			62	60	122
彡	U+5F61	2.0			58	61	119
⺋	U+2E8B	2.0		56		57	113
欠	U+6B20	2.0			55	56	111
饣	U+9963	2.0			47	46	93
斤	U+65A4	2.0			46	45	91
廾	U+5EFE	2.0			31	50	81
耳	U+8033	2.0			41	39	80
艮	U+826E	2.0			33	43	76
糸	U+7CF8	2.0			37	36	73
矢	U+77E2	2.0			35	36	71
见	U+89C1	2.0			35	35	70
革	U+9769	2.0			34	35	69
里	U+91CC	2.0			32	37	69
且	U+4E14	2.0			33	31	64
非	U+975E	2.0			32	30	62
弓	U+5F13	2.0			28	32	60
云	U+4E91	2.0			28	29	57
毛	U+6BDB	2.0			28	26	54
羊	U+7F8A	2.0			32	20	52
卜	U+535C	2.0			24	24	48
缶	U+7F36	2.0			24	23	47
䒑	U+4491	2.0			22	25	47
皮	U+76AE	2.0			23	23	46
生	U+751F	2.0			22	23	45
龙	U+9F99	2.0			22	22	44
乍	U+4E4D	2.0			23	21	44
凵	U+51F5	2.0			8	36	44
禸	U+79B8	2.0			14	30	44
疋	U+758B	2.0			17	26	43
业	U+4E1A	2.0			21	22	43
韦	U+97E6	2.0			21	21	42
龰	U+9FB0	2.0			35	7	42
舌	U+820C	2.0			20	21	41
由	U+7531	2.0			21	20	41
雨	U+96E8	2.0	主	(2)	37	(2)	41
㐄	U+3404	2.0			22	19	41
乃	U+4E43	2.0			21	20	41
⺢	U+2EA2	2.0		28	12		40
支	U+652F	2.0			20	20	40
甫	U+752B	2.0			20	20	40
母	U+6BCD	2.0			19	20	39
亡	U+4EA1	2.0			22	17	39
九	U+4E5D	2.0			19	19	38
幺	U+5E7A	2.0			12	26	38
谷	U+8C37	2.0			18	19	37
予	U+4E88	2.0			11	24	35
匚	U+531A	2.0			24	11	35
瓜	U+74DC	2.0			17	17	34
⺊	U+2E8A	2.0			14	20	34
斗	U+6597	2.0			16	17	33
不	U+4E0D	2.0			16	16	32
金	U+91D1	2.0			16	16	32
玉	U+7389	2.0		15	16		31
㠯	U+382F	2.0			19	12	31
勹	U+52F9	2.0			14	16	30
𠂇	U+20087	2.0			13	17	30
鹿	U+9E7F	2.0			16	14	30
光	U+5149	2.0			15	15	30
牙	U+7259	2.0			15	15	30
各	U+5404	2.0	主			29	29
豆	U+8C46	2.0			4	25	29
瓦	U+74E6	2.0			14	15	29
	U+E414	2.0		11		17	28
𠂉	U+20089	2.0			14	13	27
聿	U+807F	2.0			17	9	26
于	U+4E8E	2.0		13	13		26
尤	U+5C24	2.0			12	13	25
豸	U+8C78	2.0			11	13	24
齐	U+9F50	2.0			12	12	24
及	U+53CA	2.0			11	12	23
鬲	U+9B32	2.0			12	11	23
甲	U+7532	2.0			12	11	23
了	U+4E86	2.0			14	9	23
仑	U+4ED1	2.0			11	11	22
𢎨	U+223A8	2.0			11	10	21
川	U+5DDD	2.0			9	12	21
虍	U+864D	2.0			11	9	20
⺶	U+2EB6	2.0			6	14	20
弗	U+5F17	2.0			10	10	20
戊	U+620A	2.0			10	10	20
六	U+516D	2.0			7	12	19
辰	U+8FB0	2.0			9	10	19
两	U+4E24	2.0			9	10	19
コ	U+30B3	2.0			6	12	18
氏	U+6C0F	2.0			8	10	18
民	U+6C11	2.0			8	9	17
耂	U+8002	2.0			9	8	17
老	U+8001	2.0			8	8	16
面	U+9762	2.0			8	8	16
无	U+65E0	2.0			7	8	15
丌	U+4E0C	2.0			8	7	15
高	U+9AD8	2.0	主			15	15
井	U+4E95	2.0			7	7	14
兔	U+5154	2.0			7	7	14
⺗	U+2E97	2.0			7	7	14
	U+E446	2.0		4		9	13
釆	U+91C6	2.0		6	6		12
尚	U+5C1A	2.0	主			12	12
付	U+4ED8	2.0	主	12			12
身	U+8EAB	2.0			5	6	11
百	U+767E	2.0	主		11		11
彑	U+5F51	2.0			5	5	10
旡	U+65E1	2.0			5	5	10
尢	U+5C22	2.0			6	4	10
失	U+5931	2.0	主	10			10
爿	U+723F	2.0			5	4	9
臣	U+81E3	2.0			4	5	9
癶	U+7676	2.0			4	4	8
乌	U+4E4C	2.0			4	4	8
丩	U+4E29	2.0			4	4	8
爪	U+722A	2.0			3	4	7
⺄	U+2E84	2.0			3	3	6
𠂔	U+20094	2.0			3	3	6
与	U+4E0E	2.0	主		5		5
四	U+56DB	2.0	主		(2)	3	5
厉	U+5389	2.0	主	5			5
	U+E0D2	1.5	附	108			108
	U+E0C6	1.5	附	97			97
	U+E43D	1.5	附	64			64
㔾	U+353E	1.5	附		57		57
	U+E0C8	1.5	附	52			52
	U+E078	1.5	附	37			37
	U+E0D0	1.5	附	36			36
	U+E068	1.5	附	33			33
少	U+5C11	1.5	附		19		19
镸	U+9578	1.5	附			19	19
	U+E055	1.5	附	18			18
朱	U+6731	1.5	附	13			13
	U+E0D6	1.5	附	11			11
	U+E011	1.5	附	6			6
	U+E0B2	1.5	附	5			5
	U+E012	1.5	附	4			4
死	U+6B7B	1.5	附	3			3
ㇿ	U+31FF	1.0		765			765
捺	U+637A	1.0		592			592
⺡	U+2EA1	1.0		475			475
⺾	U+2EBE	1.0		424			424
⺘	U+2E98	1.0		291			291
}	U+007D	1.0			176		176
𤣩	U+248E9	1.0			173		173
⺰	U+2EB0	1.0		148	(1)		149
⺼	U+2EBC	1.0			140	(1)	141
竹	U+7AF9	1.0		(1)	129	(1)	131
⺮	U+2EAE	1.0				127	127
⻏	U+2ECF	1.0			118		118
⺉	U+2E89	1.0		113			113
𧾷	U+27FB7	1.0			99		99
⺨	U+2EA8	1.0		80			80
隹	U+96B9	1.0				77	77
⻖	U+2ED6	1.0			70		70
⻂	U+2EC2	1.0		63			63
𠆢	U+201A2	1.0			59		59
旦	U+65E6	1.0			58		58
羽	U+7FBD	1.0				58	58
	U+E40E	1.0				53	53
{	U+007B	1.0			52		52
	U+E46E	1.0				50	50
⺭	U+2EAD	1.0		48			48
丂	U+4E02	1.0			47		47
ㄅ	U+3105	1.0				46	46
夊	U+590A	1.0			(1)	43	44
框	U+6846	1.0		42			42
	U+F000	1.0		41			41
卄	U+5344	1.0			38		38
穴	U+7A74	1.0				37	37
⻗	U+2ED7	1.0				35	35
	U+E4C4	1.0				33	33
⺕	U+2E95	1.0		32	(1)		33
𧘇	U+27607	1.0			32		32
	U+E42F	1.0				31	31
	U+E4C5	1.0				30	30
内	U+5185	1.0			28		28
天	U+5929	1.0			28		28
占	U+5360	1.0			27		27
	U+E449	1.0				27	27
共	U+5171	1.0			27		27
开	U+5F00	1.0			26		26
父	U+7236	1.0			26		26
兀	U+5140	1.0			25		25
𰀁	U+30001	1.0			25		25
分	U+5206	1.0			24		24
至	U+81F3	1.0				24	24
良	U+826F	1.0			24		24
兄	U+5144	1.0			23		23
区	U+533A	1.0			21		21
正	U+6B63	1.0			21		21
	U+E4B6	1.0				21	21
亼	U+4EBC	1.0				21	21
	U+E47C	1.0				20	20
包	U+5305	1.0			20		20
元	U+5143	1.0			20		20
	U+E431	1.0				20	20
⺤	U+2EA4	1.0		19			19
冎	U+518E	1.0			19		19
果	U+679C	1.0			19		19
齿	U+9F7F	1.0				19	19
兆	U+5146	1.0			18		18
出	U+51FA	1.0			18		18
E	U+0045	1.0			18		18
𢀖	U+22016	1.0			18		18
屯	U+5C6F	1.0			18		18
亾	U+4EBE	1.0				17	17
乀	U+4E40	1.0			17		17
去	U+53BB	1.0			17		17
㇗	U+31D7	1.0				17	17
	U+E48F	1.0				16	16
风	U+98CE	1.0			16		16
行	U+884C	1.0				16	16
𠀎	U+2000E	1.0			16		16
亥	U+4EA5	1.0				16	16
勺	U+52FA	1.0			16		16
佥	U+4F65	1.0			15		15
匸	U+5338	1.0				15	15
兼	U+517C	1.0			15		15
公	U+516C	1.0			15		15
㇏	U+31CF	1.0				15	15
氐	U+6C10	1.0			15		15
夹	U+5939	1.0			15		15
𧰨	U+27C28	1.0			14		14
	U+E490	1.0				14	14
𠃌	U+200CC	1.0			14		14
必	U+5FC5	1.0			14		14
㇇	U+31C7	1.0			14		14
