部件	codepoint	用字数	首末位用字数
夬	U+592C	13	13
覀	U+8980	13	13
𠂇	U+20087	13	13
央	U+592E	13	13
平	U+5E73	13	13
矛	U+77DB	13	13
尤	U+5C24	12	12
冉	U+5189	12	12
𠂆	U+20086	12	12
上	U+4E0A	12	5
半	U+534A	12	12
齐	U+9F50	12	12
幺	U+5E7A	12	12
甲	U+7532	12	12
西	U+897F	12	12
鬲	U+9B32	12	12
⺢	U+2EA2	12	12
⻌	U+2ECC	12	12
𢎨	U+223A8	11	11
豸	U+8C78	11	11
乂	U+4E42	11	11
弋	U+5F0B	11	11
介	U+4ECB	11	11
及	U+53CA	11	11
仑	U+4ED1	11	11
主	U+4E3B	11	11
百	U+767E	11	11
我	U+6211	11	11
束	U+675F	11	11
因	U+56E0	11	11
予	U+4E88	11	11
虍	U+864D	11	11
柬	U+67EC	11	11
允	U+5141	10	10
龸	U+9FB8	10	10
二	U+4E8C	10	9
𠃊	U+200CA	10	6
长	U+957F	10	10
弗	U+5F17	10	10
来	U+6765	10	10
万	U+4E07	10	10
巳	U+5DF3	10	10
只	U+53EA	10	10
戊	U+620A	10	10
丑	U+4E11	10	10
𦍌	U+2634C	10	10
巨	U+5DE8	10	10
冬	U+51AC	9	9
足	U+8DB3	9	9
两	U+4E24	9	9
具	U+5177	9	0
川	U+5DDD	9	9
隶	U+96B6	9	9
辰	U+8FB0	9	9
丬	U+4E2C	9	9
耂	U+8002	9	9
廿	U+5EFF	8	8
夭	U+592D	8	8
丌	U+4E0C	8	8
𠄌	U+2010C	8	5
午	U+5348	8	8
壬	U+58EC	8	8
尹	U+5C39	8	8
老	U+8001	8	8
面	U+9762	8	8
凵	U+51F5	8	8
龹	U+9FB9	8	8
凶	U+51F6	8	8
赤	U+8D64	8	8
民	U+6C11	8	8
氏	U+6C0F	8	8
乐	U+4E50	8	8
𠃍	U+200CD	7	5
𠫔	U+20AD4	7	7
丕	U+4E15	7	7
求	U+6C42	7	7
兔	U+5154	7	7
六	U+516D	7	7
豖	U+8C56	7	7
东	U+4E1C	7	7
减	U+51CF	7	0
无	U+65E0	7	7
永	U+6C38	7	7
𰃮	U+300EE	7	7
禹	U+79B9	7	7
才	U+624D	7	7
成	U+6210	7	7
𡗗	U+215D7	7	7
凡	U+51E1	7	7
⺗	U+2E97	7	7
井	U+4E95	7	7
专	U+4E13	6	6
丆	U+4E06	6	6
三	U+4E09	6	6
丘	U+4E18	6	6
刃	U+5203	6	6
朿	U+673F	6	6
⺶	U+2EB6	6	6
コ	U+30B3	6	6
太	U+592A	6	6
乎	U+4E4E	6	6
匀	U+5300	6	6
𦣞	U+268DE	6	6
尢	U+5C22	6	6
釆	U+91C6	6	6
末	U+672B	6	6
鼠	U+9F20	6	0
为	U+4E3A	5	5
亅	U+4E85	5	5
⺆	U+2E86	5	5
北	U+5317	5	4
𰀉	U+30009	5	5
彑	U+5F51	5	5
丸	U+4E38	5	5
㝉	U+3749	5	5
本	U+672C	5	5
与	U+4E0E	5	5
册	U+518C	5	5
巛	U+5DDB	5	5
世	U+4E16	5	5
𠤎	U+2090E	5	5
𰆊	U+3018A	5	5
旡	U+65E1	5	5
夷	U+5937	5	5
尺	U+5C3A	5	5
亚	U+4E9A	5	5
爿	U+723F	5	5
韭	U+97ED	5	5
身	U+8EAB	5	5
采	U+91C7	5	5
术	U+672F	5	5
串	U+4E32	5	5
叉	U+53C9	5	5
久	U+4E45	5	5
𦥑	U+26951	5	5
片	U+7247	5	5
亦	U+4EA6	4	0
义	U+4E49	4	4
五	U+4E94	4	4
畺	U+757A	4	4
癶	U+7676	4	4
豆	U+8C46	4	4
臣	U+81E3	4	4
丩	U+4E29	4	4
乌	U+4E4C	4	4
丹	U+4E39	4	4
斥	U+65A5	4	4
𣥂	U+23942	4	4
屰	U+5C70	4	4
𠃜	U+200DC	4	4
夜	U+591C	4	0
廴	U+5EF4	4	4
𢎥	U+223A5	4	4
重	U+91CD	4	4
勾	U+52FE	4	4
⿻	U+2FFB	4	0
乏	U+4E4F	4	4
肉	U+8089	4	4
㇉	U+31C9	3	3
𭕄	U+2D544	3	3
㇈	U+31C8	3	3
乛	U+4E5B	3	2
么	U+4E48	3	3
⿱	U+2FF1	3	0
曲	U+66F2	3	2
办	U+529E	3	3
卑	U+5351	3	0
𠂎	U+2008E	3	3
⺄	U+2E84	3	3
𦣻	U+268FB	3	3
𠂔	U+20094	3	3
𫠠	U+2B820	3	3
爪	U+722A	3	3
𫠣	U+2B823	3	3
兰	U+5170	3	3
(	U+0028	3	0
)	U+0029	3	0
𱼀	U+31F00	3	3
𰀂	U+30002	3	3
丐	U+4E10	2	2
之	U+4E4B	2	2
𠃋	U+200CB	2	2
丈	U+4E08	2	2
严	U+4E25	2	2
凹	U+51F9	2	1
⺇	U+2E87	2	2
𠘧	U+20627	2	2
刁	U+5201	2	2
𬺰	U+2CEB0	2	2
寿	U+5BFF	2	0
龵	U+9FB5	2	2
ㄟ	U+311F	2	2
入	U+5165	2	2
丏	U+4E0F	2	2
四	U+56DB	2	2
州	U+5DDE	2	2
歺	U+6B7A	2	2
乡	U+4E61	2	2
𠃑	U+200D1	2	0
丽	U+4E3D	2	2
⺰	U+2EB0	1	1
帀	U+5E00	1	1
𫩏	U+2BA4F	1	1
𠄎	U+2010E	1	1
𠂈	U+20088	1	1
𫝀	U+2B740	1	1
伞	U+4F1E	1	0
吏	U+540F	1	1
夊	U+590A	1	1
互	U+4E92	1	1
左	U+5DE6	1	0
𠀉	U+20009	1	1
𦈢	U+26222	1	1
𦥔	U+26954	1	1
丫	U+4E2B	1	1
丝	U+4E1D	1	1
車	U+8ECA	1	1
ユ	U+30E6	1	1
𡿨	U+21FE8	1	1
卵	U+5375	1	1
⺕	U+2E95	1	1
卅	U+5345	1	0
𢦑	U+22991	1	1
𤰔	U+24C14	1	1
戶	U+6236	1	1
丞	U+4E1E	1	1
曳	U+66F3	1	1
段	U+6BB5	1	0
㐆	U+3406	1	1
毋	U+6BCB	1	1
