音节	字数	已用位	空位	得分	音节总频	理想前k未获简码字
iu	37	18	9	99.2	10351105	褚1 雏1 橱1 杵0 畜0 怵0 俶0 刍0 黜0 樗0 楮0 躇0 亍0
lk	36	21	6	73.7	4028978	令59 灵37 绫2 苓1 伶1 翎1 瓴0 澪0 鸰0 棂0
va	36	18	9	96.0	2013399	札2 榨2 栅1 楂0 咤0 吒0 揸0 劄0
jt	35	19	8	98.3	2146933	崛1 撅0 倔0 抉0 傕0 攫0 橛0 玦0 獗0 噘0 谲0
ge	35	22	5	96.2	17504926	哥57 鸽3 搁2 镉0 嗝0 骼0 胳0 疙0
yy	35	19	8	97.7	3821018	蕴3 昀1 熨0 赟0 耘0 酝0 韫0 郧0 殒0 愠0 氲0
ke	35	20	7	97.8	13984437	柯17 棵7 珂2 恪1 嗑0 坷0 颏0 窠0 髁0 稞0 岢0 疴0
ts	34	21	6	98.4	6394387	桐8 潼0 仝0 峒0 僮0 恸0 橦0
dj	33	18	9	97.1	14257019	蛋36 耽1 膻0 郸0 掸0 澹0 聃0 殚0 疍0
tj	33	18	9	86.6	2287514	摊10 坛8 滩6 瘫2 毯1 坍0 澹0 忐0 镡0
gv	33	18	9	95.9	3636185	柜10 瑰1 癸0 桧0 珪0 妫0 晷0 邽0 鳜0
fw	33	18	9	80.7	5049504	飞72 肺18 腓3 翡2 吠0 淝0 芾0 蜚0 诽0 狒0
ys	32	17	10	98.8	9608099	泳5 庸3 甬1 踊0 俑0 壅0 臃0 恿0 鲬0 饔0 鄘0
hl	32	16	11	98.5	1937697	幌0 恍0 惶0 潢0 篁0 隍0 滉0 肓0 遑0 鳇0 蟥0 瑝0
ti	32	20	7	98.6	5372628	蹄3 剔1 涕1 悌0 嚏0 醍0 倜0 逖0 绨0 瑅0
wj	32	16	11	98.9	8804795	皖2 宛2 顽1 琬0 豌0 菀0 脘0 剜0 纨0 惋0 畹0
xl	32	20	7	89.5	20097484	项141 象48 翔14 襄3 橡2 飨0 芗0 庠0 鲞0
kv	32	21	6	96.9	465337	喹0 匮0 喟0 傀0 聩0 悝0 愦0 蒉0 骙0
yh	32	18	9	98.9	4632227	漾2 疡0 旸0 烊0 泱0 恙0 佯0 鸯0 垟0 怏0 飏0 徉0
bw	32	16	11	94.7	15267044	背55 臂7 悲7 辈5 卑3 悖0 惫0 碚0 鹎0 邶0 鞴0 棓0
mi	32	17	10	93.3	2836846	蜜14 幂2 醚0 宓0 谧0 汨0 弭0 祕0 嘧0 縻0
qq	31	17	10	95.3	2993065	丘10 裘2 楸0 糗0 逑0 遒0 巯0 蚯0 俅0 泅0 蝤0
ya	31	16	11	87.5	3759152	牙30 押6 崖4 鸦2 哑1 衙0 讶0 氩0 琊0 岈0 迓0
lb	31	20	7	98.4	2714845	吝1 凛1 遴0 璘0 廪0 粼0 嶙0 懔0 躏0 潾0
pu	31	16	11	93.3	2205199	蒲5 仆2 菩1 璞1 溥1 圃1 莆0 濮0 镨0 镤0 潽0
ba	31	19	8	97.4	13046188	爸30 叭1 跋1 捌0 鲃0 鲅0 魃0 菝0 妭0
th	30	18	9	96.7	3332719	趟9 淌0 溏0 瑭0 帑0 傥0 镋0 螗0 埫0 鄌0
qn	30	16	11	93.2	1549837	俏3 瞧3 撬1 樵1 谯0 憔0 橇0 硗0 硚0 诮0
ln	30	20	7	99.8	61150911	撩6 寮3 寥0 撂0 獠0 鹩0 嘹0 镣0
lq	30	14	13	97.2	4905503	溜8 遛2 浏1 榴1 鎏0 骝0 鹨0 镏0 旒0 锍0 珋0 鹠0 疁0
