音节	字数	已用位	空位	得分	音节总频	理想前k未获简码字
uy	5	5	22	100.0	450340	
kf	5	4	23	97.9	317041	恳0
cg	5	5	22	100.0	2577121	
sd	5	5	22	100.0	1689143	
qy	5	4	23	100.0	952153	逡0
rr	5	4	23	100.0	512716	瓀0
nn	5	5	22	100.0	459082	
tp	5	5	22	100.0	1257636	
ko	5	5	22	100.0	381075	
hf	5	5	22	100.0	22107806	
ur	5	5	22	100.0	119925	
pp	5	5	22	100.0	30142	
zr	5	5	22	100.0	125355	
pz	4	3	24	99.6	25837	掊0
ah	4	4	23	100.0	168656	
kg	4	4	23	100.0	357956	
ik	4	3	24	99.7	37799	搋0
en	4	5	22	100.0	783552	
nv	4	4	23	100.0	2010860	
te	4	4	23	100.0	1996863	
sr	4	4	23	100.0	2265192	
cz	3	3	24	100.0	108032	
ux	3	3	24	100.0	541073	
cf	3	3	24	100.0	636497	
ne	3	3	24	100.0	4586515	
ha	3	3	24	100.0	867934	
pf	3	3	24	100.0	453615	
hw	3	3	24	100.0	1330757	
wd	3	3	24	100.0	2163407	
kr	3	3	24	100.0	2012984	
vx	3	3	24	100.0	471685	
ud	3	3	24	100.0	1217432	
dq	2	2	25	100.0	199757	
rg	2	2	25	100.0	958390	
nw	2	2	25	100.0	4148861	
fz	2	2	25	100.0	245629	
yo	2	2	25	100.0	124142	
oo	2	1	26	100.0	1332211	
ng	2	2	25	100.0	11251108	
dw	2	2	25	100.0	5658453	
ca	2	2	25	100.0	230902	
nl	2	2	25	100.0	209001	
nf	2	2	25	100.0	313821	
zf	2	2	25	100.0	251723	
re	2	2	25	100.0	1269873	
ri	2	2	25	100.0	7707478	
ry	2	2	25	100.0	292312	
nt	2	2	25	100.0	68796	
mq	2	2	25	100.0	20196	
zw	2	2	25	100.0	88163	
me	1	1	26	100.0	1511629	
fo	1	1	26	100.0	402098	
lx	1	1	26	100.0	322639	
sg	1	1	26	100.0	68232	
kw	1	1	26	100.0	293	
dx	1	1	26	100.0	33307	
nb	1	1	26	100.0	3161764	
df	1	1	26	100.0	155	
vk	1	1	26	100.0	42768	
nr	1	1	26	100.0	247796	
sf	1	1	26	100.0	738119	
ei	1	1	26	100.0	2093	
gw	1	1	26	100.0	6985613	
nz	1	1	26	100.0	2297	
uw	1	1	26	100.0	1508124	
