当前 174 根；反事实测试 169 个贪心新增根
基线 J=67.88 零阶81 加权3.61bp

裁掉代价从小到大：
  氵(U+6C35): ΔJ=+-0.02  救着: 汀渟、污洿、沣浲、泔㽏、泠澪、泻瀣、消淆、涠𣲗、渚潴、渭洧、漯泺
  可(U+53EF): ΔJ=+1.32  救着: 倚佁、呵嗬、婀姶、荷菏
  而(U+800C): ΔJ=+1.33  救着: 串喘、脑臑
  介(U+4ECB): ΔJ=+1.40  救着: 疖疥、节芥
  兄(U+5144): ΔJ=+1.43  救着: 竞竟
  戈(U+6208): ΔJ=+1.50  救着: 载哉栽
  尚(U+5C1A): ΔJ=+1.62  救着: 塘趟埫、淌溏
  皿(U+76BF): ΔJ=+1.64  救着: 检槛、监鉴
  付(U+4ED8): ΔJ=+1.75  救着: 付傅俯
  广(U+5E7F): ΔJ=+1.83  救着: 主麈、京麖、庶熟
  西(U+897F): ΔJ=+1.84  救着: 严酽、虬蝤、酊耵
  千(U+5343): ΔJ=+1.85  救着: 孵稃、氏舐、系穄、馝秘
  ㇒(U+31D2): ΔJ=+1.86  救着: 毡飐、留飗、缪缈
  匚(U+531A): ΔJ=+1.86  救着: 医匜、忑慝、梳枢、鄢郾
  门(U+95E8): ΔJ=+1.86  救着: 昶阊、禅阐、禋𬮱
  犬(U+72AC): ΔJ=+1.87  救着: 厌餍、猷羑、菟葖
  𠆢(U+201A2): ΔJ=+1.89  救着: 云耘、孵稃、愈悆、系穄、馝秘
  山(U+5C71): ΔJ=+1.89  救着: 临嶙、岂屺、岘见、嵯鹾、巍嵬
  小(U+5C0F): ΔJ=+1.91  救着: 其綦、惊憬、漯泺、祢祕、积穄、薸蔈
  三(U+4E09): ΔJ=+1.92  救着: 岠岨、苣苴、鏊聱
  殳(U+6BB3): ΔJ=+1.96  救着: 搬扳、縠觳、股臌、鼓毂榖
  攵(U+6535): ΔJ=+1.99  救着: 洨滧、皎敫皦、缴绞
  儿(U+513F): ΔJ=+2.14  救着: 慌恍、无兀、毛貌
  疒(U+7592): ΔJ=+2.43  救着: 庾瘐、疱庖、痔庤、麈疰
  忄(U+5FC4): ΔJ=+2.44  救着: 性惺、惊憬、祚怍、祜怙、祾㥄、良悢
  马(U+9A6C): ΔJ=+2.47  救着: 吗骂、录𫘧、肃骕、驰弛、骜鏊
  灬(U+706C): ΔJ=+2.50  救着: 俵儦、嫣嬿、孰熟、执摭、焦僬、餍黡
  石(U+77F3): ΔJ=+2.52  救着: 刑硎、曹𥕢、牙砑、碗豌
  己(U+5DF1): ΔJ=+2.57  救着: 岂屺、杞桤、继纪、芪芑
  刂(U+5202): ΔJ=+2.58  救着: 例俐、侨劁、济瀱、蓟荠、钘铏
  辶(U+8FB6): ΔJ=+2.79  救着: 不逋、录逯、提擿、遭枣、随隧
  工(U+5DE5): ΔJ=+3.10  救着: 噬嘘、查槎、渣溠、蚯蝤、鹉鹀
  子(U+5B50): ΔJ=+3.15  救着: 子孖、浮滏、潺澶、荐菅、蝣蝤、銮孪
  𰀁(U+30001): ΔJ=+3.21  救着: 养羊、墉埇、鳙鲬
  米(U+7C73): ΔJ=+3.67  救着: 梁粱、籽孳、粑羓、糍兹、糕羔、蘖糵
  亠(U+4EA0): ΔJ=+3.70  救着: 坦坍、帝禘、弈祎、效敩、永饔、瓤禳、赢嬴
  鸟(U+9E1F): ΔJ=+3.71  救着: 一鹝、亚鸦、应鹰、莺蓥、銮鸾
  女(U+5973): ΔJ=+4.16  救着: 以姨、嫣嬿、母姆、蚩媸、銮娈
  ⺈(U+2E88): ΔJ=+4.23  救着: 包饱、向饷、觫𫗧、负𫖯、馊飕、馏飗
  𠂉(U+20089): ΔJ=+4.42  救着: 先筅、凰篁、匀筠、及笈、告筶、生笙、笺篯、造簉
  廿(U+5EFF): ΔJ=+4.43  救着: 芜靰、芭靶、茉靺、荐鞯、荞鞒、菊鞠、鞑荙
  八(U+516B): ΔJ=+4.58  救着: 共恭、拔扒、拣搛、棋槭、添淟、瑟璱、箕笈、缄缣、馝秘
  古(U+53E4): ΔJ=+4.62  救着: 局居、橘椐、牯牿、锯锔
  束(U+675F): ΔJ=+4.77  救着: 正整、觫𫗧、赖赉
  阝(U+961D): ΔJ=+4.78  救着: 庸鄘、弁𨚕、由邮、皮陂、舒鄃、郦鬲、陨𫖳、随隧
  目(U+76EE): ΔJ=+4.84  救着: 晞睎、暝瞑、盱旴、眩昡、眬昽、睽暌、瞳曈、𬀪𪾢
  火(U+706B): ΔJ=+4.99  救着: 兰烂、湫泅、炎焱、煊烜、羊烊、羲爔、遂燧、𬊤单
  (U+E0C8): ΔJ=+5.25  救着: 两辆、职轵、至轾、轿斠、辅甫
  人(U+4EBA): ΔJ=+5.32  救着: 俍俩、嗨咳、次瓷、欧瓯、漱沭、苏蔌、苡荑、莨𬜯、认讱
  扌(U+624C): ΔJ=+5.60  救着: 到捯、囊攮、忝掭、拣搛、拧聍、挟揳、捍扞、掷郅、揪鬏、耶揶、蛰蜇、鬓摈、鬟擐
  亻(U+4EBB): ΔJ=+5.66  救着: 久僦、件牮、佰伯、例俐、俱飓、候侯、像象、及伋、焦僬、甸佃、躺倘
  ㇏(U+31CF): ΔJ=+5.79  救着: 之祗禔、卦坬、哺卟、堤坻、怵憷、抵提、棣柢、浦瀑、笺篯、芨蕺、莨蒗、葡蒲莆蒱、赢嬴、黍秫、黻黼
  艹(U+8279): ΔJ=+6.15  救着: 卖荬、南萳、博薄、摹藦、老荖、耄芼、芒茫、芘蓖、芝疐、芨蕺、苟耇、苡荑、荔苈、荜萆、荷菏、莨蒗、萍苹、葡蒲莆蒱、蒉𫠆、蕾
  讠(U+8BA0): ΔJ=+6.20  救着: 义议、祖诅、禋𬤇、词祠、详祥、诳诓、谛禘
  二(U+4E8C): ΔJ=+6.27  救着: 任仁、哩喱、喳咋、揸拃、澧浬、甫韨、积穄、薸蔈、鲤鳢
  囗(U+56D7): ΔJ=+6.32  救着: 严酽、噎咽、园圆圜、图凸、囿卣、圉圄、淫洇、酊耵
  木(U+6728): ΔJ=+6.37  救着: 南楠、博欂、支枝、杞桤、枥朸、枸耇、柒洓、梣棽、楂查、榈梠、榨柞、直植、老栳、考栲
  龶(U+9FB6): ΔJ=+6.56  救着: 亚雅、性惺、灌涫、瓘琯、生笙、稚稙、管罐、萑荁
  寸(U+5BF8): ΔJ=+7.21  救着: 树术、浦溥、澍沭、缚绂、蔚葳、钹镈、鳚鳂
  宀(U+5B80): ΔJ=+7.43  救着: 宓祕、州宙、祎宧、神审、福富、窕祧
  大(U+5927): ΔJ=+7.91  救着: 候侯、哦噢、奕裛、挟揳、换擐、柢杕、樊梵、涣澴、漾泱、膜脉、误诬、银铟、阙阕
  鱼(U+9C7C): ΔJ=+8.30  救着: 免𩾃、危𬶏、暨𬶨、蚀鲺、觿𬶮、饰𫚕、饱鲍、饺鲛、馆鳤、鲀饨、鳌鏊、鳗馒、鳣𫗴
  心(U+5FC3): ΔJ=+8.32  救着: 优悠、太态、忍刃、恙羕、想橡、愈悆、汲㴔、澴漶、熄爔、螅蟋、诲𬤝、𫫇哦
  又(U+53C8): ΔJ=+8.62  救着: 伎伋、友尤、服脯、淑沭、溆㳚、缓缳、肢胝、芄蔓、谖𫍽、钹𬭛、锾镮
  日(U+65E5): ΔJ=+8.67  救着: 俭僭、单禅、嗜嘘、囫昒、围韪𬀩、囹昤、旧韭、晴圊、暂錾、暄晅、暑曙、暗黯、暴曝、植榰、渚潴、禅单、著苎、诸𬣞
  土(U+571F): ΔJ=+8.85  救着: 乾墘、值侄、坚鉴、垭堐、墒垧、暨堲、桂柜、植桎、橙柽、澶瀍、直埴、者赭、耋垤、蓥茔、趟埫
  (U+E0C6): ΔJ=+14.74  救着: 呋趺、呛跄、呲跐、哒跶、哔跸、啵跛、喋蹀、喹跬、嘀蹢、嘹蹽、噗蹼、噪躁、跑咆、跗咐、跟哏、跺哚、蹄啼、蹅喳、蹑嗫、蹚嘡、
  十(U+5341): ΔJ=+15.62  救着: 事十、伸什、泙洴、真鬒、筚箅、者赭、耋垤、聩𫠆、荜萆、萍苹荓、蚓蟫、讯训、郪𨙸、野晔
  口(U+53E3): ΔJ=+16.63  救着: 丕否、业噎、丽吏、体倜、卜卟、卡咔、只黹、吁冔、吗骂、呵嗬、咤吒、咯喀、哩喱、唔呜、喧咺、嗐咍、墒垧、央咉、榈梠、橘柜、
  钅(U+9485): ΔJ=+17.39  救着: 矧𬬹、矩钜、答𨱏、简锏、箕𫓹、篁锽、篌𬭤、簧𨱑、簸𬭛、钢筻、钧筠、钯笆、钷笸、铂箔、铛筜、铜筒、铡劄、铨筌、铮筝、锆筶、
  虫(U+866B): ΔJ=+24.27  救着: 叽虮、吧蚆、吴蜈、呀蚜、呋蚨、呤蛉、呦蚴、咕蛄、哇蛙、哈蛤、哞蛑、哨蛸、啤蜱、啸蟏、喃蝻、喇蝲、喹蝰、喻蝓、喽蝼、嗌螠、
