㑇	亻 ⺈ 彐
佘	𠆢 二 小
余	𠆢 于 八
佚	亻 3 夫
佛	亻 5 1 5 3 2
作	亻 𠂉 2 二
佝	亻 句
佞	亻 二 女
佟	亻 夂 4 4
你	亻 ⺈ 小
佣	亻 用
佤	亻 1 6 ㇈ ㇏
佥	𠆢 1 ㇏ 丷 1
佩	亻  1 巾
佬	亻 十 𠂇 匕
佯	亻 羊
佰	亻 1 白
佳	亻 土 土
佴	亻 耳
佶	亻 士 口
佸	亻 千 口
佺	亻 𠆢 王
佻	亻 3 冫 6 ㇒ 4
佼	亻 亠 八 乂
佽	亻 冫 ⺈ 人
佾	亻 八 
使	亻 1 口 乂
侁	亻  儿
侂	亻 广 ㇒ 七
侃	亻 口 
侄	亻 至
侈	亻 夕 夕
侉	亻 大 二 5
例	亻 歹 刂
侍	亻 土 寸
侏	亻 牛 𠆢
侑	亻 𠂇 
侔	亻 厶 牛
侗	亻 冂 1 口
侘	亻 宀 ㇒ 七
供	亻 艹 1 八
依	亻 衣
侠	亻 1 丷 大
侣	亻 口 口
侥	亻 1 6 ㇒ 1 儿
侦	亻 2 1 贝
侧	亻 贝 刂
侨	亻 ㇒ 大 3 2
侩	亻 𠆢 二 厶
侪	亻 文 3 2
侬	亻 冖 3 6 ㇒ ㇏
侮	亻 𠂉 母
侯	亻 5 1 𠂉 大
侴	𠆢 1 5  刂
侵	亻 彐 冖 又
侹	亻 千 1 廴
便	亻 1 日 乂
促	亻 足
俄	亻 ㇒ 扌 戈
俅	亻 1 2 冫 ㇒ 4 ㇏
俊	亻 厶 八 夂
俍	亻 ㇏ 彐 6 ㇒ ㇏
俎	人 人 且
俏	亻 ⺌ 
俐	亻 千 𠆢 刂
俑	亻 龴 
俗	亻 谷
俘	亻 爫 子
俙	亻 乂 𠂇 巾
俚	亻 日 
俜	亻 日 2 丂
保	亻 口 木
俞	𠆢 1  刂
俟	亻 厶 𠂉 大
信	亻 言
俣	亻 口 1 大
俦	亻 三 3 寸
俨	亻 1 2 ⺌ 厂
俩	亻 1 冂 人 人
俪	亻 1  
俫	亻 1 米
俭	亻 𠆢 1 ㇏ 丷 1
修	亻 2 夂 彡
俯	亻 广 付
俱	亻 且 1 八
俳	亻  1 2 三
俵	亻 龶 3 6 ㇒ ㇏
俶	亻 2 二 小 又
俸	亻 三 人 𰀁
俺	亻 大 电
俾	亻 白 3 十
倌	亻 宀 
倍	亻 立 口
倏	亻 2 夂 犬
倒	亻 1 厶 土 刂
倓	亻 火 火
倔	亻 尸 出
倕	亻 千 艹 二
倘	亻 尚
候	亻 2 5 1 𠂉 大
倚	亻 大 可
倜	亻  土 口
倞	亻 亠 口 小
借	亻 艹 1 日
倡	亻 日 日
倥	亻 宀 八 工
倦	亻 丷 夫 ⺋
倧	亻 宀 二 小
倨	亻 尸 古
倩	亻 龶 
倪	亻 臼 儿
倬	亻 2 1 日 十
倭	亻 千 𠆢 女
倮	亻 日 木
倴	亻 大 十 𠂇 2
债	亻 龶 贝
倻	亻 耳 阝
值	亻 直
倾	亻 1 6 1 3 贝
偁	亻 爫 冂 
偃	亻 匚 日 女
假	亻 5 1 2 二 5 1 又
偈	亻 日 3 5 人 6
偌	亻 艹 𠂇 口
偎	亻 田 1 戈
偏	亻 户 
偓	亻 尸 至
偕	亻 1 6 匕 白
做	亻 古 攵
停	亻 亠 口 冖 丁
偡	亻  八 6
健	亻 5 三 十 廴
偬	亻 勿 4 心
