级别	频率	字	现拆分	处置(留空待填)
L2	9894	毙	1 6 匕 死	
L2	9752	邺	2 ⺌ 1 阝	
L2	9478	祎	礻 二 5 2	
L2	9363	渺	氵 目 2 八 3	
L2	9338	筝	⺮ ⺈ 5 二 2	
L2	9296	鱿	鱼 𠂇 6 ㇏	
L2	9232	抒	扌 龴 5 2	
L2	9018	虱	6 ㇒ 虫	
L2	8362	喧	口 宀 1 日 1	
L2	7971	噎	口 士 冖 1 口 丷 1	
L2	7657	陋	阝 1 冂 人 6	
L2	7298	曳	日 6 3	
L2	7265	阱	阝 二 3 2	
L2	7171	嬴	亠 6 口 月 女 几 ㇏	
L2	6882	汴	氵 亠 2 4	
L2	6815	畿	6 厶 6 厶 戈 田	
L2	6530	瑄	王 宀 1 日 1	
L2	6359	蠡	6 5 豕 虫 虫	
L2	6079	镛	钅 广 5 二  2	
L2	5994	苣	艹 匚 5 1	
L2	5972	尕	5 3 小	
L2	5947	龛	𠆢 1 口 𠂇  ㇏	
L2	5907	妤	女 龴 5 2	
L2	5815	汆	3 ㇏ 水	
L2	5750	豌	1 口 丷 1 宀 夕 ⺋	
L2	5566	甭	1 亻 4 用	
L2	5483	渲	氵 宀 1 日 1	
L2	5378	饪	⺈ 6 千 1	
L2	5290	朽	木 1 5	
L2	5067	斟	 八 6 氵 2	
L2	5047	亘	1 日 1	
L2	5043	卅	𠂇 2 2	
L2	4949	煊	火 宀 1 日 1	
L2	4497	搀	扌 ⺈ 口 儿 4 4	
L2	4299	暄	日 宀 1 日 1	
L2	4224	昇	日 ㇒ 𠂇 2	
L2	4043	牦	牜 ㇒ 二 6	
L2	4016	啮	口  人 6 2	
L2	4011	荠	艹 文 3 2	
L2	3972	谗	讠 ⺈ 口 儿 4 4	
L2	3839	跻	 文 3 2	
L2	3798	勖	2 5 二 目 力	
L2	3733	罔	冂 丷 1 亠 6	
L2	3726	鸫	1 6 小 鸟	
L2	3639	钤	钅 𠆢 ㇏ 5	
L2	3592	褂	衤 土 土 2 4	
L2	3580	墉	土 广 5 二  2	
L2	3574	澧	氵 囗 艹 1 口 丷 1	
L2	3476	莠	艹 千 𠆢 5 3	
L2	3460	汹	氵 乂 6 2	
L2	3378	镌	钅 亻 亠 龶 5 3	
L2	3361	肼	月 二 3 2	
L2	3356	摒	扌 尸 丷 1 𠂇 2	
L2	3324	雎	2 5 三 亻 亠 龶	
L2	3259	粲	2 1 夕 又 米	
L2	3163	芩	艹 𠆢 ㇏ 5	
L2	3108	咿	口 亻 5 二 3	
L2	3107	慵	忄 广 5 二  2	
L2	2966	氖	气 5 3	
L2	2946	钚	钅 1 亻 4	
L2	2945	纾	纟 龴 5 2	
L2	2822	铐	钅 十 𠂇 1 5	
L2	2671	柊	木 夂 4 4	
L2	2608	祟	6 2 山 二 小	
L2	2579	氡	气 夂 4 4	
L2	2570	惘	忄 冂 丷 1 亠 6	
L2	2552	蹴	 亠 口 小 𠂇 6 ㇏	
L2	2528	麾	麻 ㇒ 二 6	
L2	2515	苄	艹 亠 2 4	
L2	2395	痧	疒 氵 2 八 3	
L2	2250	诤	讠 ⺈ 5 二 2	
L2	2235	艉	舟 尸 ㇒ 二 6	
L2	2196	琇	王 千 𠆢 5 3	
L2	2190	氘	气 3 2	
L2	2178	纨	纟 3 ㇈ ㇏	
L2	2157	骈	马 丷 1 𠂇 2	
L2	2122	蠹	1 口 2 冖 石 虫 虫	
L2	2085	迳	5 ㇏ 工 辶	
L2	1930	洹	氵 1 日 1	
L2	1918	抟	扌 二 5 4	
L2	1910	杼	木 龴 5 2	
L2	1910	鳢	鱼 囗 艹 1 口 丷 1	
L2	1863	羸	亠 6 口 月 羊 几 ㇏	
L2	1851	闱	门 二 5 2	
L2	1813	孬	1 亻 4 女 子	
L2	1758	亓	二 3 2	
L2	1747	橐	1 口 2 冖 石 木	
L2	1742	娓	女 尸 ㇒ 二 6	
L2	1611	鸯	2 5 大 鸟	
L2	1459	酞	西 1 大 ㇏	
L2	1432	芣	艹 1 亻 4	
L2	1399	弇	𠆢 1 口 𠂇 2	
L2	1397	阏	门 方 𠆢 4 4	
L2	1373	缈	纟 目 2 八 3	
L2	1362	衿	衤 𠆢 ㇏ 5	
L2	1302	辋	 冂 丷 1 亠 6	
L2	1282	钌	钅 5 2	
L2	1281	钋	钅 2 4	
L2	1246	笄	⺮ 1 𠂇 2	
L2	1196	楦	木 宀 1 日 1	
L2	1157	涔	氵 山 𠆢 ㇏ 5	
L2	1096	馗	3 ㇈ 丷 1 自	
L2	1052	巯	5 ㇏ 工 亠 厶 	
L2	1040	垴	土 亠 乂 6 2	
L2	1032	凼	水 6 2	
L2	1015	鳙	鱼 广 5 二  2	
L2	1013	郇	3 5 日 阝	
L2	997	耄	十 𠂇 匕 ㇒ 二 6	
L2	980	卟	口 2 4	
L2	952	匍	3 5 甫	
L2	947	魍	鬼 冂 丷 1 亠 6	
L2	926	烜	火 1 日 1	
L2	867	鸬	2 1 尸 鸟	
L2	854	艿	艹 5 3	
L2	794	侪	亻 文 3 2	
L2	760	卬	㇒ 6 卩	
L2	755	妗	女 𠆢 ㇏ 5	
L2	748	遘	1 艹 1 冂  辶	
L2	733	啭	口  二 5 4	
L2	717	讣	讠 2 4	
L2	711	狰	犭 ⺈ 5 二 2	
L2	706	衄	3 皿 5 	
L2	678	帏	巾 二 5 2	
L2	670	蛴	虫 文 3 2	
L2	627	黼	2 ⺌ 1 丷 巾 八 甫	
L2	600	旄	方 𠂉 ㇒ 二 6	
L2	583	琤	王 ⺈ 5 二 2	
L1	27356423	一	1	
L1	22318111	中	口 2	
L1	17672983	上	2 二	
L1	14948468	到	1 厶 土 刂	
L1	12349408	年	𠂉 1 2 十	
L1	12023272	来	1 米	
L1	10787364	后	㇒ 𠂉 口	
L1	10117320	更	1 日 乂	
L1	9868389	但	亻 日 1	
L1	9304535	个	𠆢 2	
L1	6169701	或	戈 口 1	
L1	5983780	太	大 ㇏	
L1	5789736	本	木 1	
L1	5113828	再	1 冂 	
L1	4978201	买	5 氵 人	
L1	4811567	该	讠 亠 6 3 人	
L1	3757258	由	日 2	
L1	3729106	发	6 八 又	
L1	3485393	生	3 龶	
L1	3323107	店	广 2 1 口	
L1	3258212	至	1 厶 土	
L1	3087135	天	1 大	
L1	3018210	向	3 冂 口	
L1	2877847	金	𠆢 干 丷 1	
L1	2496510	经	纟 5 ㇏ 工	
L1	2398613	进	二 3 2 辶	
L1	2358370	两	1 冂 人 人	
L1	2231219	科	禾 氵 2	
L1	2225601	现	王 2 5 儿	
L1	2197202	站	立 2 1 口	
L1	2066793	正	1 	
L1	1874768	非	 1 2 三	
L1	1769648	平	1 丷 十	
L1	1725876	种	禾 口 2	
L1	1666653	算	⺮ 目 𠂇 2	
L1	1666073	体	亻 木 1	
L1	1602488	系	㇒ 糸	
L1	1547361	版	片 ㇒ 3 又	
L1	1527852	变	亠 2 2 八 又	
L1	1513024	陈	阝 1 6 小	
L1	1511629	么	3 厶	
L1	1507151	油	氵 日 2	
L1	1467205	贵	口 2 1 贝	
L1	1459930	组	纟 2 5 三	
L1	1457913	即	彐 6 ㇏ 卩	
L1	1454729	建	5 三 十 廴	
L1	1438715	制	3 二 巾 刂	
L1	1413297	项	工 1 3 贝	
L1	1389723	黄	艹 1 1 日 乂	
L1	1342788	产	立 3	
L1	1228609	任	亻 千 1	
L1	1214421	费	弓 3 2 贝	
L1	1188682	热	扌 3 ㇈ ㇏ 灬	
L1	1183333	换	扌 ⺈ 2 5 大	
L1	1145707	赛	宀 1 艹 1 八 贝	
L1	1135199	哪	口 5 二 3 阝	
L1	1131949	龙	𠂇  ㇏	
L1	1122776	神	礻 日 2	
L1	1093201	均	土 3 5 冫	
L1	1066030	副	1 口 田 刂	
L1	971629	蛮	亠 2 2 八 虫	
L1	905659	排	扌  1 2 三	
L1	890311	跑	 3 5 巳	
L1	875908	靠	 口  1 2 三	
L1	871262	掉	扌 2 1 日 十	
L1	842707	英	艹 2 5 大	
L1	835582	酒	氵 西 1	
L1	831422	离	亠 乂 6 2 冂 厶	
L1	829980	查	木 日 1	
L1	825490	懂	忄 艹 ㇒ 1 日 	
L1	797793	世	廿 6	
L1	793935	奥	3 冂 米 大	
L1	792436	购	贝 3 5 厶	
L1	789215	视	礻 2 5 儿	
L1	781511	词	讠 5 1 口	
L1	780813	政	1  攵	
L1	719144	料	米 氵 2	
L1	702164	观	又 2 5 儿	
L1	695807	术	木 ㇏	
L1	693441	百	1 白	
L1	681908	声	士 尸 2	
L1	660910	血	3 皿	
L1	648278	规	夫 2 5 儿	
L1	641865	盐	土 2 4 皿	
L1	626783	含	𠆢 ㇏ 5 口	
L1	626733	套	大 1 2 三 厶	
L1	613224	轻	 5 ㇏ 工	
L1	586097	九	3 ㇈	
L1	574146	板	木 ㇒ 3 又	
L1	564054	夏	1 自 夂	
L1	561207	翻	㇒ 米 田 习 习	
L1	557891	致	1 厶 土 攵	
L1	545794	义	㇏ 乂	
L1	545631	冲	冫 口 2	
L1	544935	贴	贝 2 1 口	
L1	539110	额	宀 各 1 3 贝	
L1	538076	演	氵 宀 1 日 2 八	
L1	535611	旧	2 日	
L1	533140	引	弓 2	
L1	532388	武	1 弋 	
L1	525550	觉	 2 5 儿	
L1	523542	丽	1  	
L1	519429	压	厂 土 ㇏	
L1	513054	塞	宀 1 艹 1 八 土	
L1	504179	核	木 亠 6 3 人	
L1	495718	萨	艹 阝 立 3	
L1	487013	孩	子 亠 6 3 人	
L1	473423	势	扌 3 ㇈ ㇏ 力	
L1	470646	届	尸 日 2	
L1	432494	乱	千 口 6	
L1	423635	良	㇏ 艮	
L1	420782	酱	丬 夕 西 1	
L1	419109	顶	丁 1 3 贝	
L1	415338	梁	氵 刀 ㇏ ㇏ 木	
L1	411720	甲	日 2	
L1	411346	失	3 夫	
L1	407981	卫	 1	
L1	400449	熟	亠 口 子 3 ㇈ ㇏ 灬	
L1	392991	弄	王 𠂇 2	
L1	380923	继	纟 米 6	
L1	375700	夜	亠 亻 夕 ㇏	
L1	375464	泡	氵 3 5 巳	
L1	369900	钟	钅 口 2	
L1	369195	宽	宀 艹 2 5 儿	
L1	368017	抱	扌 3 5 巳	
L1	362309	申	日 2	
L1	361766	批	扌 1 6 匕	
L1	352664	赫	土 3 小 土 3 小	
L1	344272	礼	礻 6	
L1	343038	颗	日 木 1 3 贝	
L1	340694	念	𠆢 ㇏ 5 心	
L1	340449	忙	忄 亠 6	
L1	339475	缺	𠂉 1 山 5 大	
L1	334415	菲	艹  1 2 三	
L1	330970	构	木 3 5 厶	
L1	326623	混	氵 日 1 6 匕	
L1	319580	隆	阝 夂 1 3 龶	
L1	316532	剂	文 3 2 刂	
L1	314703	宜	宀 2 5 三	
L1	309202	域	土 戈 口 1	
L1	307629	扎	扌 6	
L1	298697	跨	 大 二 5	
L1	289420	蒸	艹 5 水 1 灬	
L1	289137	透	禾 5 3 辶	
L1	285753	董	艹 ㇒ 1 日 	
L1	282644	币	㇒ 巾	
L1	281592	异	巳 𠂇 2	
L1	276340	拟	扌 6 ㇏ 人	
L1	276070	孔	子 6	
L1	272685	液	氵 亠 亻 夕 ㇏	
L1	271638	审	宀 日 2	
L1	271106	甚	 八 6	
L1	270983	租	禾 2 5 三	
L1	268894	罪	罒  1 2 三	
L1	264559	娜	女 5 二 3 阝	
L1	264536	遭	1 囗 艹 日 辶	
L1	264235	姐	女 2 5 三	
L1	264232	顾	厂 ⺋ 1 3 贝	
L1	263170	似	亻 6 ㇏ 人	
L1	255705	曹	1 囗 艹 日	
L1	246242	爽	𠂇 乂 乂 乂 乂 ㇏	
L1	243155	抽	扌 日 2	
L1	239620	斗	氵 2	
L1	231907	担	扌 日 1	
L1	229827	舰	舟 2 5 儿	
L1	220475	侯	亻 5 1 𠂉 大	
L1	219655	刻	亠 6 3 人 刂	
L1	218940	串	口 口 2	
L1	218292	醒	西 1 日 3 龶	
L1	218221	逼	1 口 田 辶	
L1	216221	凡	几 ㇏	
L1	210023	沟	氵 3 5 厶	
L1	206669	丑	5 	
L1	204790	轴	 日 2	
L1	204574	祖	礻 2 5 三	
L1	204097	刺	1 巾 𠆢 刂	
L1	202383	恋	亠 2 2 八 心	
L1	200788	仲	亻 口 2	
L1	199318	丢	㇒ 土 厶	
L1	193933	夹	1 丷 大	
L1	193886	粗	米 2 5 三	
L1	193620	横	木 艹 1 1 日 乂	
L1	192565	诉	讠 斤 ㇏	
L1	185605	庙	广 日 2	
L1	183426	拆	扌 斤 ㇏	
L1	180323	缘	纟 6 5 豕	
L1	176545	坦	土 日 1	
L1	172414	释	㇒ 米 又 𰀁	
L1	169201	拔	扌 𠂇 又 ㇏	
L1	168957	醋	西 1 艹 1 日	
L1	164945	亏	二 5	
L1	162018	映	日 2 5 大	
L1	161885	乳	爫 子 6	
L1	155443	昂	日 ㇒ 6 卩	
L1	155166	粘	米 2 1 口	
L1	151693	灭	1 火	
L1	150565	筑	⺮ 工 几 ㇏	
L1	150259	昆	日 1 6 匕	
L1	148276	违	二 5 2 辶	
L1	147374	叔	2 二 小 又	
L1	146407	烦	火 1 3 贝	
L1	146253	炮	火 3 5 巳	
L1	143454	番	㇒ 米 田	
L1	142999	奔	大 十 𠂇 2	
L1	142656	栋	木 1 6 小	
L1	138332	冻	冫 1 6 小	
L1	137525	询	讠 3 5 日	
L1	136108	幼	6 厶 力	
L1	135042	旭	3 ㇈ 日	
L1	130170	叉	又 ㇏	
L1	129185	沾	氵 2 1 口	
L1	128352	弃	亠 厶 𠂇 2	
L1	125207	熬	龶 5 3 攵 灬	
L1	124832	笼	⺮ 𠂇  ㇏	
L1	121309	污	氵 二 5	
L1	120936	兔	⺈ 口 儿 ㇏	
L1	117738	裙	衤 5 二 3 口	
L1	117107	础	石 6 2 山	
L1	116558	渣	氵 木 日 1	
L1	116264	菊	艹 3 5 米	
L1	116100	戒	戈 𠂇 2	
L1	115532	硕	石 1 3 贝	
L1	115126	胆	月 日 1	
L1	114590	熙	匚 2 口 2 巳 灬	
L1	114079	伸	亻 日 2	
L1	112940	颖	匕 千 𠆢 1 3 贝	
L1	111489	亡	亠 6	
L1	110758	厨	厂 1 口 丷 1 寸	
L1	109763	遗	口 2 1 贝 辶	
L1	108893	韵	立 日 3 5 冫	
L1	108412	垫	扌 3 ㇈ ㇏ 土	
L1	106718	钻	钅 2 1 口	
L1	103194	斜	𠆢 于 八 氵 2	
L1	102129	督	2 二 小 又 目	
L1	102059	悉	㇒ 米 心	
L1	98800	猴	犭 亻 5 1 𠂉 大	
L1	97632	鲍	鱼 3 5 巳	
L1	94998	坤	土 日 2	
L1	94540	径	彳 5 ㇏ 工	
L1	92558	宠	宀 𠂇  ㇏	
L1	92363	龟	⺈ 日 6	
L1	91684	敲	高 2 1 又	
L1	91209	芒	艹 亠 6	
L1	91018	夸	大 二 5	
L1	90642	阻	阝 2 5 三	
L1	88689	坂	土 ㇒ 3 又	
L1	88499	抖	扌 氵 2	
L1	87685	丙	1 冂 人	
L1	87518	渠	氵 匚 5 1 木	
L1	85511	肿	月 口 2	
L1	84959	甩	月 6	
L1	83955	吞	1 大 口	
L1	83060	氢	气 5 ㇏ 工	
L1	82262	帽	巾 2 5 二 目	
L1	81687	帆	巾 几 ㇏	
L1	79645	旦	日 1	
L1	79616	庞	广 𠂇  ㇏	
L1	79499	迅	6 十 辶	
L1	77516	屈	尸 6 2 山	
L1	76676	帖	巾 2 1 口	
L1	75051	循	彳 ㇒ 3 十 目	
L1	73921	叠	又 又 又 冖 2 5 三	
L1	72922	嚼	口 爫 罒 彐 6 ㇏ 寸	
L1	72575	颁	八 刀 1 3 贝	
L1	72397	悲	 1 2 三 心	
L1	71247	疏	5  亠 厶 	
L1	71168	钾	钅 日 2	
L1	70478	抑	扌 ㇒ 6 卩	
L1	66168	押	扌 日 2	
L1	65845	颂	八 厶 1 3 贝	
L1	65070	尺	尸 ㇏	
L1	64224	贪	𠆢 ㇏ 5 贝	
L1	63915	酿	西 1 ㇏ 艮	
L1	63294	笨	⺮ 木 1	
L1	62705	袖	衤 日 2	
L1	62456	苯	艹 木 1	
L1	61006	幽	山 6 厶 6 厶	
L1	60481	蜀	罒 3 5 虫	
L1	60204	胞	月 3 5 巳	
L1	59702	葡	艹 3 5 甫	
L1	58639	豫	龴 5 2 象	
L1	58615	刃	刀 ㇏	
L1	57469	丛	人 人 1	
L1	56506	葬	艹 死 𠂇 2	
L1	56409	焕	火 ⺈ 2 5 大	
L1	55692	裴	 1 2 三 衣	
L1	54861	堪	土  八 6	
L1	54778	泄	氵 廿 6	
L1	54622	辈	 1 2 三 车	
L1	54613	嗣	口  5 1 口	
L1	54584	喉	口 亻 5 1 𠂉 大	
L1	54131	钩	钅 3 5 厶	
L1	53516	龚	𠂇  ㇏ 艹 1 八	
L1	51489	靓	龶  2 5 儿	
L1	51082	钧	钅 3 5 冫	
L1	50925	仰	亻 ㇒ 6 卩	
L1	49778	酮	西 1 冂 1 口	
L1	49055	罩	罒 2 1 日 十	
L1	48756	搅	扌  2 5 儿	
L1	48271	祠	礻 5 1 口	
L1	48161	丫	丷 2	
L1	45890	傲	亻 龶 5 3 攵	
L1	44033	禹	㇒ 口 	
L1	43569	咳	口 亠 6 3 人	
L1	42962	吼	口 子 6	
L1	42727	缅	纟 1 3 罒 二	
L1	42207	侦	亻 2 1 贝	
L1	41753	屁	尸 1 6 匕	
L1	41563	斐	 1 2 三 文	
L1	41094	械	木 戈 𠂇 2	
L1	40856	丈	𠂇 ㇏	
L1	40512	爵	爫 罒 彐 6 ㇏ 寸	
L1	40489	寅	宀 1 日 2 八	
L1	40408	帧	巾 2 1 贝	
L1	40291	脊	冫 ㇒ 4 人 	
L1	39776	璃	王 亠 乂 6 2 冂 厶	
L1	38581	钛	钅 大 ㇏	
L1	38399	仗	亻 𠂇 ㇏	
L1	38049	寇	宀 二 儿 2 1 又	
L1	37653	掘	扌 尸 6 2 山	
L1	36813	棍	木 日 1 6 匕	
L1	36531	雌	 1 6 亻 亠 龶	
L1	35753	腓	月  1 2 三	
L1	35667	焯	火 2 1 日 十	
L1	35636	挪	扌 5 二 3 阝	
L1	34890	檀	木 亠 囗 口 日 1	
L1	34088	梵	木 木 几 ㇏	
L1	33324	魁	鬼 氵 2	
L1	33225	荆	艹 1 𠂇 2 刂	
L1	32631	笛	⺮ 日 2	
L1	32427	弊	丷 巾 八 攵 𠂇 2	
L1	32265	懿	士 冖 1 口 丷 1 冫 ⺈ 人 心	
L1	31700	茎	艹 5 ㇏ 工	
L1	31351	阪	阝 ㇒ 3 又	
L1	31203	谐	讠 1 6 匕 白	
L1	30901	吏	1 口 乂	
L1	30732	锻	钅 ㇒ 2 三 殳	
L1	30652	臻	1 厶 土 三 人 千 𠆢	
L1	30200	闸	门 日 2	
L1	30144	啡	口  1 2 三	
L1	29914	札	木 6	
L1	28669	杖	木 𠂇 ㇏	
L1	28557	湛	氵  八 6	
L1	28226	擅	扌 亠 囗 口 日 1	
L1	28052	淫	氵 爫 千 1	
L1	27851	钵	钅 木 1	
L1	27530	唤	口 ⺈ 2 5 大	
L1	26953	楷	木 1 6 匕 白	
L1	26895	瑛	王 艹 2 5 大	
L1	26519	谊	讠 宀 2 5 三	
L1	26392	溃	氵 口 2 1 贝	
L1	26082	铲	钅 立 3	
L1	25905	鲨	氵 2 八 3 鱼	
L1	25423	鳄	鱼 口 口 二 5	
L1	25207	扳	扌 ㇒ 3 又	
L1	25147	窜	宀 八 口 口 2	
L1	24611	觅	爫 2 5 儿	
L1	24523	墅	日  龴 5 2 土	
L1	24181	匪	匚  1 2 三	
L1	24156	烹	亠 口 5 2 灬	
L1	23780	韬	二 5 2 爫 臼	
L1	23450	贩	贝 ㇒ 3 又	
L1	23422	羞	丷 三 3 5 	
L1	22957	鲈	鱼 2 1 尸	
L1	22336	亥	亠 6 3 人	
L1	22027	冤	冖 ⺈ 口 儿 ㇏	
L1	21918	泷	氵 𠂇  ㇏	
L1	21777	庇	广 1 6 匕	
L1	21752	垮	土 大 二 5	
L1	21652	柚	木 日 2	
L1	21515	翡	 1 2 三 习 习	
L1	21291	薰	艹 ㇒ 1 囗 丷  灬	
L1	21202	袍	衤 3 5 巳	
L1	20662	斥	斤 ㇏	
L1	20233	吖	口 丷 2	
L1	20160	肽	月 大 ㇏	
L1	19926	宙	宀 日 2	
L1	19908	酉	西 1	
L1	19878	顽	二 儿 1 3 贝	
L1	19842	绅	纟 日 2	
L1	19717	敖	龶 5 3 攵	
L1	19631	祯	礻 2 1 贝	
L1	19562	迭	3 夫 辶	
L1	19528	蚕	1 大 虫	
L1	19366	巩	工 几 ㇏	
L1	19155	泾	氵 5 ㇏ 工	
L1	18530	禽	𠆢 亠 乂 6 2 冂 厶	
L1	18213	羚	丷 三 3 𠆢 ㇏ 龴	
L1	18153	鞠	廿 口 十 3 5 米	
L1	18141	髋	骨 宀 艹 2 5 儿	
L1	17462	擒	扌 𠆢 亠 乂 6 2 冂 厶	
L1	17358	窟	宀 八 尸 6 2 山	
L1	17039	毗	田 1 6 匕	
L1	16772	窥	宀 八 夫 2 5 儿	
L1	16661	汰	氵 大 ㇏	
L1	16628	壬	千 1	
L1	16211	陇	阝 𠂇  ㇏	
L1	16116	轧	 6	
L1	16077	桢	木 2 1 贝	
L1	15944	噬	口 𠂉 ㇏ 𠂉 ㇏ 工 人 人	
L1	15919	砚	石 2 5 儿	
L1	15738	泸	氵 2 1 尸	
L1	15716	荀	艹 3 5 日	
L1	15556	匣	匚 日 2	
L1	15345	筠	⺮ 土 3 5 冫	
L1	14987	茫	艹 氵 亠 6	
L1	14832	拙	扌 6 2 山	
L1	14630	鳌	龶 5 3 攵 鱼	
L1	14439	兀	1 儿	
L1	14333	拢	扌 𠂇  ㇏	
L1	14046	昀	日 3 5 冫	
L1	13822	铀	钅 日 2	
L1	13687	钗	钅 又 ㇏	
L1	13526	孢	子 3 5 巳	
L1	13391	咀	口 2 5 三	
L1	13318	琨	王 日 1 6 匕	
L1	12818	匆	勿 4	
L1	12770	莽	艹 犬 𠂇 2	
L1	12758	稽	禾 𠂇 6 ㇏ 匕 日	
L1	12266	砷	石 日 2	
L1	12102	崛	山 尸 6 2 山	
L1	12025	卉	十 𠂇 2	
L1	11971	苞	艹 3 5 巳	
L1	11950	跋	 𠂇 又 ㇏	
L1	11793	橱	木 厂 1 口 丷 1 寸	
L1	11749	绰	纟 2 1 日 十	
L1	11638	喙	口 6 5 豕	
L1	11546	晗	日 𠆢 ㇏ 5 口	
L1	11497	珺	王 5 二 3 口	
L1	11436	悼	忄 2 1 日 十	
L1	11415	胯	月 大 二 5	
L1	11400	栾	亠 2 2 八 木	
L1	11245	绯	纟  1 2 三	
L1	11150	烁	火 ㇒ 6 小	
L1	11142	靡	麻  1 2 三	
L1	11009	贮	贝 宀 1	
L1	10784	挚	扌 3 ㇈ ㇏ 手	
L1	10585	屉	尸 廿 6	
L1	10582	鸾	亠 2 2 八 鸟	
L1	10511	吡	口 1 6 匕	
L1	10421	釜	八 乂 干 丷 1	
L1	10140	鹫	亠 口 小 𠂇 6 ㇏ 鸟	
L1	10095	鸠	3 ㇈ 鸟	
L1	9981	绚	纟 3 5 日	
L1	9973	腋	月 亠 亻 夕 ㇏	
L1	9804	蔻	艹 宀 二 儿 2 1 又	
L1	9610	秧	禾 2 5 大	
L1	9508	喳	口 木 日 1	
L1	9424	灏	氵 日 亠 口 小 1 3 贝	
L1	9370	氦	气 亠 6 3 人	
L1	9281	膻	月 亠 囗 口 日 1	
L1	9022	哔	口 1 6 匕 十	
L1	9020	偕	亻 1 6 匕 白	
L1	9013	捻	扌 𠆢 ㇏ 5 心	
L1	8688	嚣	口 口 1 3 贝 口 口	
L1	8688	簧	⺮ 艹 1 1 日 乂	
L1	8630	幺	6 厶	
L1	8583	篱	⺮ 亠 乂 6 2 冂 厶	
L1	8583	蟒	虫 艹 犬 𠂇 2	
L1	8575	痞	疒 1 亻 4 口	
L1	8543	萼	艹 口 口 二 5	
L1	8467	掂	扌 广 2 1 口	
L1	8363	篆	⺮ 6 5 豕	
L1	8184	珑	王 𠂇  ㇏	
L1	8059	赘	龶 5 3 攵 贝	
L1	8035	俨	亻 1 2 ⺌ 厂	
L1	8021	霏	  1 2 三	
L1	8017	妊	女 千 1	
L1	7977	蹿	 宀 八 口 口 2	
L1	7906	烃	火 5 ㇏ 工	
L1	7842	峦	亠 2 2 八 山	
L1	7834	淦	氵 𠆢 干 丷 1	
L1	7618	璜	王 艹 1 1 日 乂	
L1	7553	掖	扌 亠 亻 夕 ㇏	
L1	7519	夭	㇒ 大	
L1	7517	饷	⺈ 6 3 冂 口	
L1	7413	沮	氵 2 5 三	
L1	7394	狙	犭 2 5 三	
L1	7331	蛰	扌 3 ㇈ ㇏ 虫	
L1	7290	洵	氵 3 5 日	
L1	7287	妲	女 日 1	
L1	7276	诫	讠 戈 𠂇 2	
L1	7217	婶	女 宀 日 2	
L1	7217	楹	木 5 3 又 皿	
L1	7167	嗷	口 龶 5 3 攵	
L1	6963	噻	口 宀 1 艹 1 八 土	
L1	6927	攥	扌 𠂉 ㇏ 𠂉 ㇏ 目 大 糸	
L1	6905	漓	氵 亠 乂 6 2 冂 厶	
L1	6871	鲲	鱼 日 1 6 匕	
L1	6855	颓	禾 几 1 3 贝	
L1	6702	踵	 ㇒ 1 日 	
L1	6644	铿	钅 2 2 又 土	
L1	6628	鲫	鱼 彐 6 ㇏ 卩	
L1	6548	塾	亠 口 子 3 ㇈ ㇏ 土	
L1	6508	酋	丷 西 1	
L1	6338	谌	讠  八 6	
L1	6270	疱	疒 3 5 巳	
L1	6232	鲉	鱼 日 2	
L1	6146	倔	亻 尸 6 2 山	
L1	6143	郅	1 厶 土 阝	
L1	6114	伺	亻 5 1 口	
L1	6087	馊	⺈ 6 臼 2 又	
L1	6073	胫	月 5 ㇏ 工	
L1	5903	缎	纟 ㇒ 2 三 殳	
L1	5886	骞	宀 1 艹 1 八 马	
L1	5873	锄	钅 2 5 三 力	
L1	5757	怵	忄 木 ㇏	
L1	5697	蚬	虫 2 5 儿	
L1	5684	龈	 人 6 2 艮	
L1	5667	郦	1   阝	
L1	5655	咎	夂 2 4 口	
L1	5649	榉	木 ㇏ 丷 1 八 𰀁	
L1	5640	螯	龶 5 3 攵 虫	
L1	5606	腭	月 口 口 二 5	
L1	5578	骸	骨 亠 6 3 人	
L1	5563	璨	王 2 1 夕 又 米	
L1	5443	娑	氵 2 八 3 女	
L1	5434	奂	⺈ 2 5 大	
L1	5350	颍	匕 水 1 3 贝	
L1	5333	稔	禾 𠆢 ㇏ 5 心	
L1	5322	钒	钅 几 ㇏	
L1	5298	栎	木 ㇒ 6 小	
L1	5290	矾	石 几 ㇏	
L1	5121	镯	钅 罒 3 5 虫	
L1	5113	疟	疒 匚 1	
L1	5061	骇	马 亠 6 3 人	
L1	5049	岬	山 日 2	
L1	5013	扉	户  1 2 三	
L1	4961	弁	厶 𠂇 2	
L1	4856	斛	⺈ 用 氵 2	
L1	4855	呷	口 日 2	
L1	4739	殉	歹 3 5 日	
L1	4695	拈	扌 2 1 口	
L1	4687	滦	氵 亠 2 2 八 木	
L1	4597	挛	亠 2 2 八 手	
L1	4523	痉	疒 5 ㇏ 工	
L1	4490	鸮	口 1 5 鸟	
L1	4482	噩	1  口 口 口 口	
L1	4480	锴	钅 1 6 匕 白	
L1	4442	殃	歹 2 5 大	
L1	4411	徘	彳  1 2 三	
L1	4316	掣	3 二 巾 刂 手	
L1	4227	岙	㇒ 大 山	
L1	4220	颉	士 口 1 3 贝	
L1	4199	斡	十 日 十 𠆢 氵 2	
L1	4197	羿	习 习 𠂇 2	
L1	4132	芃	艹 几 ㇏	
L1	4124	雹	 3 5 巳	
