词	当前码	建议码	SUBTLEX拼音	SUBTLEX词频	处理建议
血库	xpku	xtku	xue4 ku4	17	第一批；应用前抽查并按基础词表原顺序重排新码位候选
还价	hdjx	hrjx	huan2 jia4	17	第一批；应用前抽查并按基础词表原顺序重排新码位候选
露水	lzuv	luuv	lu4 shui3	17	第一批；应用前抽查并按基础词表原顺序重排新码位候选
鼎盛	dkig	dkug	ding3 sheng4	17	第一批；应用前抽查并按基础词表原顺序重排新码位候选
剥落	bclo	bolo	bo1 luo4	16	第一批；应用前抽查并按基础词表原顺序重排新码位候选
盛产	igij	ugij	sheng4 chan3	16	第一批；应用前抽查并按基础词表原顺序重排新码位候选
弹痕	tjhf	djhf	dan4 hen2	15	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血本	xpbf	xtbf	xue4 ben3	15	第一批；应用前抽查并按基础词表原顺序重排新码位候选
烂熟	ljuz	ljuu	lan4 shu2	14	第一批；应用前抽查并按基础词表原顺序重排新码位候选
调任	tnrf	dnrf	diao4 ren4	14	第一批；应用前抽查并按基础词表原顺序重排新码位候选
兴盛	xkig	xkug	xing1 sheng4	13	第一批；应用前抽查并按基础词表原顺序重排新码位候选
盛怒	ignu	ugnu	sheng4 nu4	13	第一批；应用前抽查并按基础词表原顺序重排新码位候选
粘性	vjxk	nmxk	nian2 xing4	13	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血气	xpqi	xtqi	xue4 qi4	13	第一批；应用前抽查并按基础词表原顺序重排新码位候选
表率	bnlv	bnuk	biao3 shuai4	13	第一批；应用前抽查并按基础词表原顺序重排新码位候选
还嘴	hdzv	hrzv	huan2 zui3	13	第一批；应用前抽查并按基础词表原顺序重排新码位候选
今朝	jbic	jbvc	jin1 zhao1	12	第一批；应用前抽查并按基础词表原顺序重排新码位候选
刹那	uana	iana	cha4 na4	12	第一批；应用前抽查并按基础词表原顺序重排新码位候选
弹坑	tjkg	djkg	dan4 keng1	12	第一批；应用前抽查并按基础词表原顺序重排新码位候选
浴血	yuxp	yuxt	yu4 xue4	12	第一批；应用前抽查并按基础词表原顺序重排新码位候选
淳朴	iypn	iypu	chun2 pu3	12	第一批；应用前抽查并按基础词表原顺序重排新码位候选
滋长	ziih	zivh	zi1 zhang3	12	第一批；应用前抽查并按基础词表原顺序重排新码位候选
缺血	qtxp	qtxt	que1 xue4	12	第一批；应用前抽查并按基础词表原顺序重排新码位候选
奉还	fghd	fghr	feng4 huan2	11	第一批；应用前抽查并按基础词表原顺序重排新码位候选
梗塞	ggsd	ggse	geng3 se4	11	第一批；应用前抽查并按基础词表原顺序重排新码位候选
知了	vile	viln	zhi1 liao3	11	第一批；应用前抽查并按基础词表原顺序重排新码位候选
薄雾	bcwu	bowu	bo2 wu4	11	第一批；应用前抽查并按基础词表原顺序重排新码位候选
行长	xkih	hhvh	hang2 zhang3	11	第一批；应用前抽查并按基础词表原顺序重排新码位候选
强盛	qlig	qlug	qiang2 sheng4	10	第一批；应用前抽查并按基础词表原顺序重排新码位候选
昌盛	ihig	ihug	chang1 sheng4	10	第一批；应用前抽查并按基础词表原顺序重排新码位候选
曾孙	cgsy	zgsy	zeng1 sun1	10	第一批；应用前抽查并按基础词表原顺序重排新码位候选
海参	hdcj	hduf	hai3 shen1	10	第一批；应用前抽查并按基础词表原顺序重排新码位候选
率直	lvvi	ukvi	shuai4 zhi2	10	第一批；应用前抽查并按基础词表原顺序重排新码位候选
盛传	igir	ugir	sheng4 chuan2	10	第一批；应用前抽查并按基础词表原顺序重排新码位候选
称心	igxb	ifxb	chen4 xin1	10	第一批；应用前抽查并按基础词表原顺序重排新码位候选
纯朴	iypn	iypu	chun2 pu3	10	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血泪	xplw	xtlw	xue4 lei4	10	第一批；应用前抽查并按基础词表原顺序重排新码位候选
质朴	vipn	vipu	zhi4 pu3	10	第一批；应用前抽查并按基础词表原顺序重排新码位候选
