词	当前码	建议码	SUBTLEX拼音	SUBTLEX词频	处理建议
双重	ulvs	ulis	shuang1 chong2	287	第一批；应用前抽查并按基础词表原顺序重排新码位候选
生长	ugih	ugvh	sheng1 zhang3	285	第一批；应用前抽查并按基础词表原顺序重排新码位候选
首都	uzdz	uzdu	shou3 du1	284	第一批；应用前抽查并按基础词表原顺序重排新码位候选
长相	ihxl	vhxl	zhang3 xiang1	278	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血腥	xpxk	xtxk	xue4 xing1	274	第一批；应用前抽查并按基础词表原顺序重排新码位候选
出血	iuxp	iuxt	chu1 xue4	266	第一批；应用前抽查并按基础词表原顺序重排新码位候选
剥夺	bcdo	bodo	bo1 duo2	266	第一批；应用前抽查并按基础词表原顺序重排新码位候选
中弹	vstj	vsdj	zhong4 dan4	259	第一批；应用前抽查并按基础词表原顺序重排新码位候选
出差	iuia	iuid	chu1 chai1	258	第一批；应用前抽查并按基础词表原顺序重排新码位候选
弹药	tjyc	djyc	dan4 yao4	256	第一批；应用前抽查并按基础词表原顺序重排新码位候选
盛大	igda	ugda	sheng4 da4	255	第一批；应用前抽查并按基础词表原顺序重排新码位候选
强调	qltn	qldn	qiang2 diao4	252	第一批；应用前抽查并按基础词表原顺序重排新码位候选
会长	hvih	hvvh	hui4 zhang3	249	第一批；应用前抽查并按基础词表原顺序重排新码位候选
熟人	uzrf	uurf	shu2 ren2	238	第一批；应用前抽查并按基础词表原顺序重排新码位候选
偿还	ihhd	ihhr	chang2 huan2	236	第一批；应用前抽查并按基础词表原顺序重排新码位候选
眼熟	yjuz	yjuu	yan3 shu2	220	第一批；应用前抽查并按基础词表原顺序重排新码位候选
薄荷	bche	bohe	bo4 he5	216	第一批；应用前抽查并按基础词表原顺序重排新码位候选
院长	yrih	yrvh	yuan4 zhang3	215	第一批；应用前抽查并按基础词表原顺序重排新码位候选
生还	ughd	ughr	sheng1 huan2	213	第一批；应用前抽查并按基础词表原顺序重排新码位候选
机长	jiih	jivh	ji1 zhang3	210	第一批；应用前抽查并按基础词表原顺序重排新码位候选
都市	dzui	duui	du1 shi4	200	第一批；应用前抽查并按基础词表原顺序重排新码位候选
重演	vsyj	isyj	chong2 yan3	194	第一批；应用前抽查并按基础词表原顺序重排新码位候选
重返	vsfj	isfj	chong2 fan3	186	第一批；应用前抽查并按基础词表原顺序重排新码位候选
失血	uixp	uixt	shi1 xue4	182	第一批；应用前抽查并按基础词表原顺序重排新码位候选
酋长	qqih	qqvh	qiu2 zhang3	176	第一批；应用前抽查并按基础词表原顺序重排新码位候选
重现	vsxm	isxm	chong2 xian4	176	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血型	xpxk	xtxk	xue4 xing2	174	第一批；应用前抽查并按基础词表原顺序重排新码位候选
弹道	tjdc	djdc	dan4 dao4	171	第一批；应用前抽查并按基础词表原顺序重排新码位候选
长老	ihlc	vhlc	zhang3 lao3	170	第一批；应用前抽查并按基础词表原顺序重排新码位候选
差事	iaui	idui	chai1 shi5	165	第一批；应用前抽查并按基础词表原顺序重排新码位候选
归还	gvhd	gvhr	gui1 huan2	164	第一批；应用前抽查并按基础词表原顺序重排新码位候选
角逐	jnvu	jtvu	jue2 zhu2	164	第一批；应用前抽查并按基础词表原顺序重排新码位候选
重组	vszu	iszu	chong2 zu3	161	第一批；应用前抽查并按基础词表原顺序重排新码位候选
