单字,字频序,相撞码,不让位表候选,综合表候选,综合表首选,二字词最高序,二字词,四字简词最高序,四字简词,处理动作,状态,裁决备注
谍,3427,dpma,1,1,谍,24754,爹妈,,,retain_single,按发布候选顺序落实,
谴,3438,qmmo,1,1,谴,22729,阡陌,,,retain_single,已裁决,阡陌偏文学且常嵌长语境，保留谴
贮,3449,vuqr,1,2,主权,10664,主权 猪圈,2908,仗势欺人,word_first,已裁决,主权等词优先；贮有三码次选
贿,3455,hvqr,1,1,贿,24414,挥拳,,,retain_single,按发布候选顺序落实,
赴,3466,fuks,1,1,赴,37123,浮空,,,retain_single,按发布候选顺序落实,
跋,3472,bakd,1,1,跋,38481,扒开,,,retain_single,按发布候选顺序落实,
轿,3496,jncy,1,1,轿,28676,缴存 交存,,,retain_single,按发布候选顺序落实,
辟,3502,pith,1,1,辟,39985,皮糖,,,retain_single,按发布候选顺序落实,
辫,3506,bmhf,1,1,辫,35114,鞭痕,,,retain_single,按发布候选顺序落实,
逢,3521,fggo,1,1,逢,54785,封国,,,retain_single,按发布候选顺序落实,
逮,3522,dddo,1,1,逮,28912,怠惰,,,retain_single,按发布候选顺序落实,
逻,3524,loto,1,1,逻,5234,骆驼,,,retain_single,按发布候选顺序落实,
邑,3533,yijt,1,1,邑,39118,一绝,,,retain_single,按发布候选顺序落实,
鄂,3544,eejy,1,1,鄂,21829,俄军,,,retain_single,按发布候选顺序落实,
酬,3550,izyy,1,1,酬,26270,愁云,,,retain_single,按发布候选顺序落实,
酮,3551,tsyj,2,2,鲖,35685,童言 童颜,,,retain_single,按发布候选顺序落实,
酯,3552,viya,1,2,质押,26359,质押 枝丫 吱呀,,,word_first,已裁决,质押等词优先；酯有三码次选
醋,3558,cuya,1,1,醋,33311,粗哑,,,retain_single,按发布候选顺序落实,
釉,3560,yzba,1,1,釉,41458,又把,,,retain_single,按发布候选顺序落实,
钮,3577,nqnp,1,1,钮,28526,扭捏,,,retain_single,按发布候选顺序落实,
钾,3582,jxna,1,1,钾,10889,加纳 戛纳,,,retain_single,按发布候选顺序落实,
铅,3585,qmnj,1,1,铅,28476,黔南,,,retain_single,按发布候选顺序落实,
锯,3603,jung,1,1,锯,54595,聚能,,,retain_single,按发布候选顺序落实,
镁,3607,mwnv,1,1,镁,7726,美女,,,retain_single,按发布候选顺序落实,
闺,3617,gvlp,1,1,闺,27947,龟裂,,,retain_single,按发布候选顺序落实,
阎,3622,yjll,1,1,阎,32731,炎凉,,,retain_single,按发布候选顺序落实,
陋,3630,lzyz,1,1,陋,56406,漏油,,,retain_single,按发布候选顺序落实,
隋,3637,svyr,1,2,随缘,11436,随缘 随员 绥远,,,word_first,已裁决,随缘等词优先；隋有三码次选
障,3639,vhyb,1,1,障,48509,掌印,,,retain_single,按发布候选顺序落实,
隶,3641,lido,1,1,隶,33914,力夺 利多,,,retain_single,按发布候选顺序落实,
雍,3647,ysbp,2,2,壅,8516,永别,,,retain_single,按发布候选顺序落实,
雾,3651,wulk,1,1,雾,46147,五菱 武陵,,,retain_single,按发布候选顺序落实,
霄,3652,xnlr,1,1,霄,37024,淆乱,,,retain_single,按发布候选顺序落实,
霎,3655,ualm,1,1,霎,51451,纱帘,,,retain_single,按发布候选顺序落实,
霾,3660,mdlw,1,1,霾,36249,埋雷,,,retain_single,按发布候选顺序落实,
靓,3661,jkxq,1,1,靓,23964,精修,,,retain_single,按发布候选顺序落实,
靓,3661,llxq,1,1,靓,56050,两袖,,,retain_single,按发布候选顺序落实,
靳,3664,jbif,1,1,靳,15113,今晨,1679,久别重逢,retain_single,按发布候选顺序落实,
靴,3665,xtig,1,1,靴,24279,学成,,,retain_single,按发布候选顺序落实,
鞭,3669,bmie,1,1,鞭,32477,便车,,,retain_single,按发布候选顺序落实,
飘,3689,pnye,1,1,飘,36532,飘曳,,,retain_single,按发布候选顺序落实,
饥,3691,jigd,1,1,饥,16669,技改,,,retain_single,已裁决,技改虽有一定词频但领域性较强；饥只有饣＋几两根，无低成本腾位路径，保留单字首选
