单字,字频序,相撞码,不让位表候选,综合表候选,综合表首选,二字词最高序,二字词,四字简词最高序,四字简词,处理动作,状态,裁决备注
嵋,4631,mwua,1,1,嵋,39607,没啥,,,retain_single,按发布候选顺序落实,
嵛,4636,yuue,1,2,预设,23352,预设,,,word_first,按发布候选顺序落实,
嵫,4638,ziuf,1,2,自身,2034,自身 资深,,,word_first,按发布候选顺序落实,
嶓,4647,boua,1,2,搏杀,25898,搏杀,,,word_first,按发布候选顺序落实,
嶷,4653,yiul,1,2,遗孀,20752,遗孀 一双,,,word_first,按发布候选顺序落实,
帏,4658,wwge,1,2,伟哥,27244,伟哥,,,word_first,按发布候选顺序落实,
帙,4661,vigs,1,2,职工,3604,职工,,,word_first,按发布候选顺序落实,
幄,4671,wogh,1,1,幄,40485,我刚,,,retain_single,按发布候选顺序落实,
幺,4678,ycff,1,2,药粉,26667,药粉,,,word_first,按发布候选顺序落实,
庾,4689,yucd,1,1,庾,19838,育才,,,retain_single,按发布候选顺序落实,
弋,4702,yibb,1,2,宜宾,14151,宜宾,526,一成不变 有仇必报,word_first,按发布候选顺序落实,
弨,4706,iczj,1,2,超赞,24790,超赞,,,word_first,按发布候选顺序落实,
彘,4714,vidg,1,1,彘,41520,只等,,,retain_single,按发布候选顺序落实,
彧,4716,yubk,1,2,语病,21896,语病,656,一声不吭,word_first,按发布候选顺序落实,
徉,4721,yhyb,1,1,徉,59459,养阴,,,retain_single,按发布候选顺序落实,
徜,4726,ihyj,1,2,肠炎,26269,肠炎 常言 长眼,,,word_first,按发布候选顺序落实,
徭,4728,ycyb,2,2,鳐,37042,药引,,,retain_single,按发布候选顺序落实,
忭,4741,bmvs,1,2,变种,12055,变种 编钟,,,word_first,按发布候选顺序落实,
忮,4742,vivg,1,2,执政,6121,执政 指正,,,word_first,按发布候选顺序落实,
忻,4747,xbvf,1,1,忻,50012,新镇,,,retain_single,按发布候选顺序落实,
怍,4754,zovr,2,2,祚,41835,左转,,,retain_single,按发布候选顺序落实,
怙,4756,huvr,2,2,祜,57370,互转,,,retain_single,按发布候选顺序落实,
怛,4757,davr,1,2,大专,9723,大专 打转,,,word_first,按发布候选顺序落实,
怿,4762,yive,2,3,衣着,8452,衣着 译者,,,word_first,按发布候选顺序落实,
恔,4767,jnve,1,1,恔,32112,胶着,,,retain_single,按发布候选顺序落实,
恪,4773,kevg,1,1,恪,33131,苛政,,,retain_single,按发布候选顺序落实,
恫,4774,dsvj,1,2,东站,18057,东站,,,word_first,按发布候选顺序落实,
悃,4781,kyva,1,2,捆扎,28497,捆扎,,,word_first,按发布候选顺序落实,
悖,4786,bwvx,1,1,悖,42921,被抓,,,retain_single,按发布候选顺序落实,
悛,4788,qrvg,1,1,悛,33502,权证,,,retain_single,按发布候选顺序落实,
悸,4797,jivx,1,2,鸡爪,14780,鸡爪,,,word_first,按发布候选顺序落实,
惝,4808,ihvj,1,1,惝,56840,场站,,,retain_single,按发布候选顺序落实,
惦,4809,dmvj,1,2,电站,16675,电站,,,word_first,按发布候选顺序落实,
惰,4813,dovr,1,1,惰,41706,多赚,,,retain_single,按发布候选顺序落实,
愃,4817,xrvr,1,2,旋转,2671,旋转,,,word_first,按发布候选顺序落实,
愎,4820,bivg,2,2,敝,35050,痹症 必争,,,retain_single,按发布候选顺序落实,
愔,4822,ybve,1,1,愔,35959,隐者,,,retain_single,按发布候选顺序落实,
愭,4826,qiva,1,2,欺诈,13045,欺诈 气炸,,,word_first,按发布候选顺序落实,
慆,4827,tcvl,1,2,套装,5995,套装,,,word_first,按发布候选顺序落实,
慊,4828,qmvj,1,2,前瞻,25259,前瞻 前站,,,word_first,按发布候选顺序落实,
慑,4830,uevg,1,2,摄政,27346,摄政,,,word_first,按发布候选顺序落实,
慵,4835,ysve,1,2,勇者,21934,勇者,,,word_first,按发布候选顺序落实,
憕,4837,igvr,1,1,憕,39170,承转 盛馔,,,retain_single,按发布候选顺序落实,
憨,4840,hjzv,1,1,憨,57994,酣醉,,,retain_single,按发布候选顺序落实,
戍,4852,uubd,1,2,数百,9350,数百,,,word_first,按发布候选顺序落实,
戣,4860,kvxb,1,2,亏心,26673,亏心,,,word_first,按发布候选顺序落实,
戾,4867,litv,1,1,戾,51371,力推 离退,,,retain_single,按发布候选顺序落实,
扂,4868,dmtj,2,2,玷,58723,电探,,,retain_single,按发布候选顺序落实,
扆,4871,yitg,1,1,扆,43675,伊藤,,,retain_single,按发布候选顺序落实,
扺,4878,vien,1,1,扺,45626,知恩,,,retain_single,按发布候选顺序落实,
捋,4913,loen,1,1,捋,44757,罗恩,,,retain_single,按发布候选顺序落实,
捎,4917,ucer,1,2,少儿,11324,少儿,,,word_first,按发布候选顺序落实,
揄,4940,yuee,1,2,余额,15737,余额,,,word_first,按发布候选顺序落实,
搴,4962,qmse,1,2,浅色,11529,浅色,,,word_first,按发布候选顺序落实,
擘,4986,bote,1,1,擘,45406,波特,,,retain_single,按发布候选顺序落实,
攽,4997,bjvg,1,2,办证,24785,办证 板正,,,word_first,按发布候选顺序落实,
敝,5001,bivg,1,1,敝,35050,痹症 必争,,,retain_single,按发布候选顺序落实,
敫,5003,jnlg,2,2,皦,50049,脚冷,,,retain_single,按发布候选顺序落实,
斝,5006,jxjb,1,2,加紧,5987,加紧 夹紧 加进,,,word_first,按发布候选顺序落实,
斶,5010,iufw,1,2,除非,887,除非,,,word_first,按发布候选顺序落实,
旐,5016,vcln,1,2,照料,7799,照料,,,word_first,按发布候选顺序落实,
旖,5018,yiln,2,3,医疗,3605,医疗 意料 衣料,,,word_first,按发布候选顺序落实,
朏,5082,fwru,1,1,朏,49359,飞入,,,retain_single,按发布候选顺序落实,
朐,5083,qurj,1,1,朐,38942,阒然,,,retain_single,按发布候选顺序落实,
杌,5089,wuan,1,2,午安,20526,午安 武安,,,word_first,按发布候选顺序落实,
杩,5094,maan,1,2,马鞍,16777,马鞍,,,word_first,按发布候选顺序落实,
柑,5126,gjai,1,2,肝癌,17694,肝癌,,,word_first,按发布候选顺序落实,
柢,5134,dian,1,2,堤岸,23441,堤岸,,,word_first,按发布候选顺序落实,
栐,5145,ysan,1,1,栐,30105,永安,,,retain_single,按发布候选顺序落实,
桄,5157,glan,1,1,桄,46372,广安,,,retain_single,按发布候选顺序落实,
棁,5187,voan,1,1,棁,54088,桌案,,,retain_single,按发布候选顺序落实,
棣,5191,diao,1,1,棣,36316,低凹 迪奥,,,retain_single,按发布候选顺序落实,
棨,5193,qita,1,2,其他,130,其他 其它,,,word_first,按发布候选顺序落实,
楗,5222,jmao,1,2,煎熬,4334,煎熬,,,word_first,按发布候选顺序落实,
榑,5241,fuan,1,2,伏案,29696,伏案 福安,,,word_first,按发布候选顺序落实,
榭,5247,xpan,1,2,血案,16401,血案,,,word_first,按发布候选顺序落实,
槜,5259,zvan,1,2,罪案,17784,罪案,,,word_first,按发布候选顺序落实,
樨,5268,xian,1,2,西安,2358,西安 溪岸 西岸,,,word_first,按发布候选顺序落实,
檞,5288,jpan,1,2,结案,9753,结案 劫案,,,word_first,按发布候选顺序落实,
殄,5306,tmxk,1,2,天性,12223,天性 天星,1846,天马行空,word_first,按发布候选顺序落实,
殇,5308,uhxx,1,2,上下,2478,上下,,,word_first,按发布候选顺序落实,
殍,5310,pnxx,1,1,殍,59420,飘下,,,retain_single,按发布候选顺序落实,
殓,5312,lmxp,1,1,殓,33810,连写,,,retain_single,按发布候选顺序落实,
殛,5314,jixr,2,2,亟,54393,机选,,,retain_single,按发布候选顺序落实,
殣,5316,jbxx,1,2,今夏,15503,今夏,,,word_first,按发布候选顺序落实,
殳,5318,uuww,1,1,殳,32811,数位 戍卫,,,retain_single,按发布候选顺序落实,
毋,5321,wull,1,2,无量,23751,无量 无良,,,word_first,按发布候选顺序落实,
毌,5322,grll,1,1,毌,47288,惯量,,,retain_single,按发布候选顺序落实,
毖,5324,bigv,1,1,毖,31787,壁柜,,,retain_single,按发布候选顺序落实,
毽,5330,jmho,1,2,间或,25375,间或 贱货,,,word_first,按发布候选顺序落实,
氅,5331,ihfh,1,2,厂房,15854,厂房 厂方,,,word_first,按发布候选顺序落实,
氆,5332,puha,1,1,氆,59346,噗哈,,,retain_single,按发布候选顺序落实,
氙,5340,xmuu,1,1,氙,36068,仙术 贤淑,4931,夏目漱石,retain_single,按发布候选顺序落实,
氤,5343,ybuv,1,2,饮水,7313,饮水 引水,,,word_first,按发布候选顺序落实,
氩,5345,yaue,1,2,鸭舌,20819,鸭舌 雅舍,,,word_first,按发布候选顺序落实,
汆,5351,crdo,1,2,篡夺,21648,篡夺 撺掇,,,word_first,按发布候选顺序落实,
炘,5638,xbwf,1,2,新闻,489,新闻 欣闻,,,word_first,按发布候选顺序落实,
烻,5659,ujwo,2,2,剡,32223,山窝,,,retain_single,按发布候选顺序落实,
焐,5664,wuwj,1,2,五万,5750,五万,3255,万寿无疆,word_first,按发布候选顺序落实,
焱,5670,yjww,1,1,焱,52313,烟味,,,retain_single,按发布候选顺序落实,
煅,5673,drww,1,2,段位,11046,段位 断尾,,,word_first,按发布候选顺序落实,
熇,5684,hewj,1,1,熇,41613,喝完 河湾,,,retain_single,按发布候选顺序落实,
燋,5695,jnww,1,2,较为,8898,较为 教委,,,word_first,按发布候选顺序落实,
燏,5697,yuwj,1,2,鱼丸,24679,鱼丸,3482,以史为鉴,word_first,按发布候选顺序落实,
燚,5699,yiww,1,2,以为,90,以为 意味 一味 依偎 一位 异味 移位 易位,1389,运筹帷幄,word_first,按发布候选顺序落实,
燮,5702,xpmg,1,1,燮,59456,血盟,,,retain_single,按发布候选顺序落实,
牁,5713,kexn,1,2,可笑,1792,可笑,,,word_first,按发布候选顺序落实,
牖,5717,yzxl,1,2,邮箱,4718,邮箱 油箱 幽香 又想,11543,与子偕老,word_first,按发布候选顺序落实,
牦,5722,mcnh,1,1,牦,30413,毛囊,,,retain_single,按发布候选顺序落实,
牾,5726,wunj,1,1,牾,42881,舞男,,,retain_single,按发布候选顺序落实,
犇,5730,bfnn,1,2,笨鸟,29294,笨鸟,,,word_first,按发布候选顺序落实,
犊,5731,dunv,1,1,犊,56622,独女,,,retain_single,按发布候选顺序落实,
犏,5735,pmnq,2,2,骈,54756,犏牛,,,retain_single,按发布候选顺序落实,
犴,5740,anhx,1,1,犴,46358,暗话 安化,,,retain_single,按发布候选顺序落实,
犴,5740,hjhx,1,2,喊话,16615,喊话 汉化,,,word_first,按发布候选顺序落实,
狝,5752,xmhf,1,1,狝,42916,衔恨,,,retain_single,按发布候选顺序落实,
狳,5758,yuhv,1,1,狳,13479,迂回 余晖 与会 语汇,,,retain_single,按发布候选顺序落实,
猁,5763,lihe,1,2,礼盒,15601,礼盒 离合,,,word_first,按发布候选顺序落实,
猇,5766,xnhd,2,3,小孩,617,小孩,,,word_first,按发布候选顺序落实,
猡,5773,lohx,1,2,落花,13260,落花,,,word_first,按发布候选顺序落实,
猢,5774,huhr,1,2,呼唤,4195,呼唤 互换,,,word_first,按发布候选顺序落实,
猥,5775,wwhl,1,1,猥,53081,微黄,,,retain_single,按发布候选顺序落实,
猬,5776,wwhr,1,1,猬,41086,为患,,,retain_single,按发布候选顺序落实,
猰,5778,yahv,1,1,猰,40767,押回,,,retain_single,按发布候选顺序落实,
獴,5792,mghy,1,2,蒙混,26842,蒙混 梦魂,,,word_first,按发布候选顺序落实,
玎,5795,dktn,1,2,定调,29436,定调,,,word_first,按发布候选顺序落实,
玑,5796,jitd,1,2,祭台,29495,祭台,,,word_first,按发布候选顺序落实,
玒,5797,hsts,1,1,玒,39215,红铜,,,retain_single,按发布候选顺序落实,
玓,5798,ditd,1,1,玓,32741,敌台,,,retain_single,按发布候选顺序落实,
玷,5815,dmtj,1,1,玷,58723,电探,,,retain_single,按发布候选顺序落实,
玿,5818,uctj,1,1,玿,44395,烧炭,,,retain_single,按发布候选顺序落实,
珇,5820,zutr,1,2,组团,7370,组团,,,word_first,按发布候选顺序落实,
珉,5822,mbtm,1,1,珉,35205,民田,,,retain_single,按发布候选顺序落实,
珋,5823,lqti,1,2,流体,15233,流体 流涕,,,word_first,按发布候选顺序落实,
珐,5826,fatk,1,2,法庭,2576,法庭,,,word_first,按发布候选顺序落实,
珑,5827,lstk,1,1,珑,37742,龙庭 龙亭,,,retain_single,按发布候选顺序落实,
珕,5829,litk,1,2,力挺,19479,力挺,,,word_first,按发布候选顺序落实,
珙,5831,gstv,1,2,公推,29891,公推,,,word_first,按发布候选顺序落实,
珧,5839,yctn,1,2,窈窕,15828,窈窕,,,word_first,按发布候选顺序落实,
珪,5841,gvtp,1,1,珪,33006,硅铁,,,retain_single,按发布候选顺序落实,
珸,5847,wutj,1,1,珸,57652,物探,,,retain_single,按发布候选顺序落实,
珹,5848,igtz,1,2,城头,22766,城头 城投,,,word_first,按发布候选顺序落实,
珺,5849,jytj,1,1,珺,37246,均摊,,,retain_single,按发布候选顺序落实,
珽,5850,tkto,1,1,珽,37378,停妥,,,retain_single,按发布候选顺序落实,
琟,5860,wwtp,1,1,琟,40100,偎贴,,,retain_single,按发布候选顺序落实,
琤,5862,igtd,1,1,琤,34397,承台,,,retain_single,按发布候选顺序落实,
琥,5863,hutd,1,1,琥,41591,呼台,,,retain_single,按发布候选顺序落实,
瑔,5883,qrto,1,1,瑔,33130,全托,,,retain_single,按发布候选顺序落实,
瑢,5890,rstj,1,1,瑢,48418,绒毯,,,retain_single,按发布候选顺序落实,
瑧,5891,vftc,1,2,枕套,23969,枕套,,,word_first,按发布候选顺序落实,
瑨,5892,jbta,1,1,瑨,58382,金塔,,,retain_single,按发布候选顺序落实,
瑭,5894,thtj,1,1,瑭,31266,糖弹,,,retain_single,按发布候选顺序落实,
璞,5906,putm,1,2,莆田,14004,莆田 普天,,,word_first,按发布候选顺序落实,
璪,5912,zcta,1,2,糟蹋,6750,糟蹋,,,word_first,按发布候选顺序落实,
甑,5933,zgvs,1,1,甑,34697,增重,,,retain_single,按发布候选顺序落实,
甥,5937,ugkk,1,2,生快,24554,生快,,,word_first,按发布候选顺序落实,
甾,5943,zdya,1,1,甾,49259,在押,,,retain_single,按发布候选顺序落实,
畀,5944,bian,1,2,彼岸,10866,彼岸,,,word_first,按发布候选顺序落实,
畤,5951,vian,1,2,治安,2645,治安,,,word_first,按发布候选顺序落实,
畸,5956,jian,1,2,积案,27086,积案 吉安 集安,,,word_first,按发布候选顺序落实,
畿,5958,jifa,1,2,激发,3662,激发 技法,,,word_first,按发布候选顺序落实,
疖,5964,jpcy,2,2,疥,30684,结存,,,retain_single,按发布候选顺序落实,
疥,5974,jpcy,1,1,疥,30684,结存,,,retain_single,按发布候选顺序落实,
疭,5976,zscd,1,2,总裁,2501,总裁,,,word_first,按发布候选顺序落实,
疵,5981,cicg,1,1,疵,53342,磁层,,,retain_single,按发布候选顺序落实,
痂,5984,jxcj,1,2,加餐,16518,加餐 家蚕,,,word_first,按发布候选顺序落实,
痓,5991,iich,1,1,痓,37445,持仓,,,retain_single,按发布候选顺序落实,
痢,5994,lice,1,1,痢,37627,蠡测,,,retain_single,按发布候选顺序落实,
痦,5996,wucj,1,2,午餐,1868,午餐,,,word_first,按发布候选顺序落实,
瘃,6006,vucy,1,2,贮存,21432,贮存 主存,,,word_first,按发布候选顺序落实,
瘐,6011,yucd,2,2,庾,19838,育才,,,retain_single,按发布候选顺序落实,
瘕,6012,jxcg,1,2,夹层,14795,夹层,,,word_first,按发布候选顺序落实,
瘩,6021,dacj,1,2,大餐,3534,大餐 打残,,,word_first,按发布候选顺序落实,
皛,6048,xnll,1,2,销量,4835,销量,,,word_first,按发布候选顺序落实,
皤,6050,pola,1,2,泼辣,17547,泼辣,,,word_first,按发布候选顺序落实,
皦,6051,jnlg,1,1,皦,50049,脚冷,,,retain_single,按发布候选顺序落实,
皭,6052,jnln,1,2,脚镣,24899,脚镣,9993,俊男靓女,word_first,按发布候选顺序落实,
盂,6056,yuxt,1,1,盂,54652,雨雪,3103,意识形态,retain_single,按发布候选顺序落实,
眚,6071,ugka,1,2,声卡,23647,声卡,,,word_first,按发布候选顺序落实,
眺,6080,tnan,1,1,眺,35041,条案,,,retain_single,按发布候选顺序落实,
矜,6110,jbgv,1,2,金龟,23196,金龟 金贵,,,word_first,按发布候选顺序落实,
矞,6111,yugj,1,2,预感,3360,预感 鱼竿 鱼干 语感,898,与世隔绝 羽扇纶巾,word_first,按发布候选顺序落实,
矾,6118,fjcd,1,2,饭菜,5046,饭菜,,,word_first,按发布候选顺序落实,
砒,6124,picg,1,2,皮层,19967,皮层,,,word_first,按发布候选顺序落实,
砜,6127,fgce,1,1,砜,36288,封测,,,retain_single,按发布候选顺序落实,
砣,6131,tocg,2,2,鸵,50791,脱层,,,retain_single,按发布候选顺序落实,
砧,6133,vfcj,1,1,砧,46911,真惨,,,retain_single,按发布候选顺序落实,
硌,6148,gecg,1,1,硌,35207,隔层 各层,,,retain_single,按发布候选顺序落实,
碉,6164,dncj,1,1,碉,36168,凋残,,,retain_single,按发布候选顺序落实,
碚,6167,bwcj,1,2,悲惨,3302,悲惨,,,word_first,按发布候选顺序落实,
碲,6174,dicg,1,2,底层,7171,底层 地层,,,word_first,按发布候选顺序落实,
祉,6200,vivy,1,1,祉,41506,只准,9099,咫尺之遥,retain_single,按发布候选顺序落实,
祎,6203,yive,1,2,衣着,8452,衣着 译者,,,word_first,按发布候选顺序落实,
祏,6204,uivc,1,2,实招,13641,实招 市招,,,word_first,按发布候选顺序落实,
祓,6205,fuvd,1,2,负债,17354,负债,,,word_first,按发布候选顺序落实,
祚,6208,zovr,1,1,祚,41835,左转,,,retain_single,按发布候选顺序落实,
祜,6209,huvr,1,1,祜,57370,互转,,,retain_single,按发布候选顺序落实,
祢,6211,mivf,1,1,祢,36835,迷阵,,,retain_single,按发布候选顺序落实,
祼,6214,grva,1,1,祼,52651,关闸,,,retain_single,按发布候选顺序落实,
祾,6215,lkvg,1,2,领证,26536,领证,,,word_first,按发布候选顺序落实,
禘,6220,divg,1,1,禘,53263,地政,,,retain_single,按发布候选顺序落实,
秫,6230,uucd,1,2,蔬菜,1908,蔬菜,,,word_first,按发布候选顺序落实,
稌,6239,tucv,1,1,稌,37820,吐翠,,,retain_single,按发布候选顺序落实,
稷,6246,jicg,1,2,基层,3702,基层 几层,,,word_first,按发布候选顺序落实,
窨,6265,ybse,1,2,银色,5611,银色 音色,,,word_first,按发布候选顺序落实,
窬,6266,yuse,1,1,窬,35919,玉色,,,retain_single,按发布候选顺序落实,
窸,6269,xisv,1,2,细碎,18261,细碎 稀碎,,,word_first,按发布候选顺序落实,
竘,6272,quhj,1,2,驱寒,24912,驱寒 去函,,,word_first,按发布候选顺序落实,
竣,6273,jyhg,1,2,均衡,14292,均衡,,,word_first,按发布候选顺序落实,
竫,6275,jkhd,1,2,惊骇,24110,惊骇 静海,,,word_first,按发布候选顺序落实,
笫,6288,zimk,1,1,笫,19461,自命,,,retain_single,按发布候选顺序落实,
笳,6293,jxmj,1,1,笳,58487,加满,,,retain_single,按发布候选顺序落实,
笺,6295,jmmb,1,2,贱民,25679,贱民 健民,,,word_first,按发布候选顺序落实,
筦,6311,grmn,1,1,筦,57095,关庙,,,retain_single,按发布候选顺序落实,
筵,6314,yjmo,1,2,研磨,16207,研磨 眼膜,,,word_first,按发布候选顺序落实,
筶,6315,gcmj,3,3,诰,43332,高慢,,,retain_single,按发布候选顺序落实,
箴,6334,vfmj,1,1,箴,54225,真慢,,,retain_single,按发布候选顺序落实,
箸,6335,vuma,2,2,诸,52842,竹马,,,retain_single,按发布候选顺序落实,
篓,6340,lzmm,1,2,露面,5692,露面 楼面,,,word_first,按发布候选顺序落实,
篙,6341,gcmj,2,2,诰,43332,高慢,,,retain_single,按发布候选顺序落实,
篥,6345,lima,1,2,立马,2886,立马,,,word_first,按发布候选顺序落实,
篯,6348,jmmb,2,3,贱民,25679,贱民 健民,,,word_first,按发布候选顺序落实,
篼,6350,dzmn,1,2,豆苗,26242,豆苗,,,word_first,按发布候选顺序落实,
簖,6358,drmf,1,1,簖,52539,端门,,,retain_single,按发布候选顺序落实,
簪,6363,zjma,1,1,簪,45921,咱妈,,,retain_single,按发布候选顺序落实,
籀,6366,vzma,1,2,咒骂,10534,咒骂,,,word_first,按发布候选顺序落实,
籼,6370,xmbu,1,1,籼,34551,闲步,,,retain_single,按发布候选顺序落实,
粿,6382,goba,1,2,锅巴,18749,锅巴,,,word_first,按发布候选顺序落实,
糁,6383,sjbk,1,2,伞兵,20374,伞兵 散兵,,,word_first,按发布候选顺序落实,
糁,6383,ufbk,1,2,肾病,22629,肾病 神兵,,,word_first,按发布候选顺序落实,
糌,6388,zjba,1,2,糌粑,29520,糌粑 咱爸,,,word_first,按发布候选顺序落实,
糨,6395,jlbw,1,2,奖杯,5992,奖杯 江北 将被,,,word_first,按发布候选顺序落实,
纨,6413,wjfh,2,3,万方,27860,万方,,,word_first,按发布候选顺序落实,
纰,6418,pifg,1,2,披风,12230,披风,,,word_first,按发布候选顺序落实,
绌,6431,iufu,1,1,绌,37961,初伏,,,retain_single,按发布候选顺序落实,
绐,6432,ddfj,1,1,绐,56394,带饭,,,retain_single,按发布候选顺序落实,
绖,6434,dpfh,1,1,绖,36023,叠放,,,retain_single,按发布候选顺序落实,
绚,6436,xrfa,1,1,绚,46223,宣发,,,retain_single,按发布候选顺序落实,
绛,6437,jlfh,1,1,绛,35601,江防 酱坊,,,retain_single,按发布候选顺序落实,
绤,6440,xifj,1,2,稀饭,6721,稀饭,,,word_first,按发布候选顺序落实,
绦,6441,tcff,1,1,绦,44638,掏粪,,,retain_single,按发布候选顺序落实,
绱,6444,uhfj,1,1,绱,15458,商贩,,,retain_single,按发布候选顺序落实,
绾,6450,wjfh,1,2,万方,27860,万方,,,word_first,按发布候选顺序落实,
缁,6451,zifa,1,2,自发,8619,自发,,,word_first,按发布候选顺序落实,
缃,6453,xlfa,1,2,想法,456,想法,,,word_first,按发布候选顺序落实,
缄,6454,jmfj,1,1,缄,35932,简繁,,,retain_single,按发布候选顺序落实,
缗,6464,mbfa,1,2,民法,22051,民法,,,word_first,按发布候选顺序落实,
缙,6465,jbfa,1,2,金发,5469,金发 进发,,,word_first,按发布候选顺序落实,
缡,6470,lifo,1,1,缡,48787,礼佛,,,retain_single,按发布候选顺序落实,
缣,6472,jmfj,2,2,缄,35932,简繁,,,retain_single,按发布候选顺序落实,
缯,6484,zgfa,1,2,增发,27278,增发,,,word_first,按发布候选顺序落实,
罂,6491,ykqb,1,1,罂,31933,迎亲,,,retain_single,按发布候选顺序落实,
罄,6492,qkpb,1,2,清贫,16912,清贫,,,word_first,按发布候选顺序落实,
罘,6496,futd,1,1,罘,37132,富态,,,retain_single,按发布候选顺序落实,
罨,6499,yjta,1,2,雁塔,27582,雁塔,,,word_first,按发布候选顺序落实,
罽,6504,jito,1,2,寄托,6090,寄托,,,word_first,按发布候选顺序落实,
羁,6506,jitn,1,2,基调,18164,基调 几条,,,word_first,按发布候选顺序落实,
羑,6507,yzmg,1,1,羑,56001,幽梦 有梦,,,retain_single,按发布候选顺序落实,
羔,6509,gcmw,1,1,羔,52792,高妹,,,retain_single,按发布候选顺序落实,
羕,6510,yhmn,1,2,秧苗,24584,秧苗,,,word_first,按发布候选顺序落实,
羰,6515,thmw,1,2,堂妹,14434,堂妹,,,word_first,按发布候选顺序落实,
羱,6516,yrmf,2,3,远门,9743,远门 院门,,,word_first,按发布候选顺序落实,
翕,6528,xidn,1,1,翕,42487,洗掉,,,retain_single,按发布候选顺序落实,
翯,6536,henj,1,2,河南,3686,河南,,,word_first,按发布候选顺序落实,
翳,6538,yiln,1,2,医疗,3605,医疗 意料 衣料,,,word_first,按发布候选顺序落实,
翷,6539,lbbn,1,2,林彪,18264,林彪,,,word_first,按发布候选顺序落实,
翾,6540,xrtn,1,2,选调,20850,选调,,,word_first,按发布候选顺序落实,
耠,6555,horj,1,2,豁然,24565,豁然 霍然,,,word_first,按发布候选顺序落实,
耥,6558,thrj,1,1,耥,31882,倘然,,,retain_single,按发布候选顺序落实,
耵,6566,dkmn,1,1,耵,34104,定苗,,,retain_single,按发布候选顺序落实,
聒,6571,gomj,1,1,聒,43707,国漫,,,retain_single,按发布候选顺序落实,
聱,6573,aoxm,1,2,凹陷,21544,凹陷,,,word_first,按发布候选顺序落实,
聿,6574,yudd,1,1,聿,59895,玉带,,,retain_single,按发布候选顺序落实,
肄,6575,yigd,1,2,一概,11591,一概 医改,,,word_first,按发布候选顺序落实,
肴,6582,ycer,1,1,肴,36203,药饵,,,retain_single,按发布候选顺序落实,
肼,6585,jkrj,1,2,竟然,514,竟然 井然,,,word_first,按发布候选顺序落实,
胫,6600,jkrs,1,1,胫,50485,警容,,,retain_single,按发布候选顺序落实,
腧,6631,uure,1,1,腧,47470,暑热,,,retain_single,按发布候选顺序落实,
腭,6634,eerz,1,1,腭,48330,鹅肉,,,retain_single,按发布候选顺序落实,
腱,6636,jmro,1,2,减弱,9103,减弱,,,word_first,按发布候选顺序落实,
膈,6641,gerh,1,2,割让,27988,割让,,,word_first,按发布候选顺序落实,
臼,6656,jqll,1,2,酒量,6625,酒量,,,word_first,按发布候选顺序落实,
舁,6659,yulq,1,2,预留,20389,预留 余留,,,word_first,按发布候选顺序落实,
舄,6661,xilw,1,1,舄,58311,席勒,,,retain_single,按发布候选顺序落实,
舐,6662,uixn,1,2,失效,5991,失效 失笑 实效 时效 适销,,,word_first,按发布候选顺序落实,
舣,6666,yice,1,2,一侧,10912,一侧 臆测,,,word_first,按发布候选顺序落实,
舾,6677,xicy,2,2,硒,44792,西村,,,retain_single,按发布候选顺序落实,
芑,6697,qiqt,1,2,奇缺,23943,奇缺,,,word_first,按发布候选顺序落实,
芨,6706,jiqs,1,1,芨,53019,技穷,,,retain_single,按发布候选顺序落实,
芪,6708,qiqn,1,2,七窍,24481,七窍 奇巧,,,word_first,按发布候选顺序落实,
苈,6719,liqk,2,3,沥青,10871,沥青 理清 厘清,,,word_first,按发布候选顺序落实,
苋,6722,xmqq,1,1,苋,53611,险球,,,retain_single,按发布候选顺序落实,
苎,6724,vuqr,2,3,主权,10664,主权 猪圈,2908,仗势欺人,word_first,按发布候选顺序落实,
苣,6732,juql,1,1,苣,53183,举枪,10765,决胜千里,retain_single,按发布候选顺序落实,
苴,6737,juqr,1,2,俱全,14739,俱全,,,word_first,按发布候选顺序落实,
茀,6740,fuqk,1,2,付清,17749,付清 福清,,,word_first,按发布候选顺序落实,
茆,6742,mcqi,1,1,茆,56911,冒起,,,retain_single,按发布候选顺序落实,
茏,6748,lsqk,1,1,茏,40613,隆情,,,retain_single,按发布候选顺序落实,
茚,6753,ybqi,1,2,引起,931,引起 阴气 银器,2064,永葆青春,word_first,按发布候选顺序落实,
茝,6755,idqm,1,2,拆迁,17155,拆迁,,,word_first,按发布候选顺序落实,
茽,6765,vsqy,1,2,种群,14753,种群,11528,重色轻友,word_first,按发布候选顺序落实,
荁,6766,hrqr,1,1,荁,54814,环圈,,,retain_single,按发布候选顺序落实,
荠,6780,jiqy,1,2,集群,20571,集群 机群,,,word_first,按发布候选顺序落实,
荽,6796,svqm,1,1,荽,48834,随迁,,,retain_single,按发布候选顺序落实,
莳,6812,uiqn,1,2,石桥,17869,石桥,,,word_first,按发布候选顺序落实,
莸,6815,yzqk,1,2,友情,3040,友情 有请 右倾,,,word_first,按发布候选顺序落实,
菡,6829,hjql,1,2,焊枪,28370,焊枪,,,word_first,按发布候选顺序落实,
菰,6832,guqb,1,2,古琴,19372,古琴,,,word_first,按发布候选顺序落实,
菹,6833,zuqr,1,1,菹,51269,族权,,,retain_single,按发布候选顺序落实,
萋,6838,qiqm,2,3,七千,10859,七千,,,word_first,按发布候选顺序落实,
