汉字	笔画数	第一根	第二根	人工规则直接目标
扒	5	扌	八	否
打	5	扌	丁	否
扔	5	扌	乃	否
旦	5	日	一	否
旧	5	丨	日	否
本	5	木	一	否
札	5	木	折	否
术	5	木	丶	否
正	5	一	止	否
氕	5	气	丿	否
氾	5	氵	㔾	否
氿	5	氵	九	否
汀	5	氵	丁	否
汁	5	氵	十	否
汇	5	氵	匚	否
汉	5	氵	又	否
灭	5	一	火	否
犯	5	犭	㔾	否
犰	5	犭	九	否
玄	5	亠	幺	否
生	5	丿	龶	否
用	5	周字框	举字底	否
甩	5	月	折	否
矛	5	予	丿	否
礼	5	礻	折	否
穴	5	宀	八	否
艽	5	艹	九	否
艾	5	艹	㐅	否
艿	5	艹	乃	否
节	5	艹	节字底	否
讦	5	讠	干	否
讧	5	讠	工	否
讨	5	讠	寸	否
讪	5	讠	山	否
训	5	讠	川	否
记	5	讠	己	否
轧	5	车旁	折	否
边	5	力	辶	否
辽	5	了	辶	否
邗	5	干	阝	否
邘	5	于	阝	否
邛	5	工	阝	否
邝	5	广	阝	否
闪	5	门	人	否
阡	5	阝	千	否
饥	5	饣	几	否
驭	5	马	又	否
𬣙	5	讠	于	否
丑	4	折	土	是
中	4	口	竖	是
丹	4	周字框	亠	否
乏	4	撇	之	否
云	4	二	厶	否
亓	4	一	丌	否
亢	4	亠	几	否
什	4	亻	十	否
仁	4	亻	二	否
仂	4	亻	力	否
仃	4	亻	丁	否
仄	4	厂	人	否
仅	4	亻	又	否
仆	4	亻	卜	否
仇	4	亻	九	否
仉	4	亻	几	否
介	4	全字头	乔字底	否
仍	4	亻	乃	否
从	4	人	人	否
仑	4	全字头	匕	否
仓	4	全字头	㔾	否
允	4	厶	儿	否
元	4	一	兀	否
公	4	八	厶	否
六	4	亠	八	否
内	4	冂	人	否
冈	4	冂	㐅	否
冗	4	冖	几	否
凤	4	风省	又	否
凶	4	㐅	凵	否
分	4	八	刀	否
切	4	七	刀	否
刈	4	㐅	刂	否
劝	4	又	力	否
勾	4	勹	厶	否
匀	4	勹	冫	否
化	4	亻	化字边	否
匹	4	匚	儿	否
区	4	匚	㐅	否
升	4	撇	廾	否
午	4	卧人	十	否
卞	4	亠	卜	否
厄	4	厂	㔾	否
厅	4	厂	丁	否
历	4	厂	力	否
友	4	左字框	又	否
双	4	又	又	否
反	4	反字框	又	否
夬	4	折	大	否
夭	4	撇	大	否
孔	4	子	折	否
少	4	少三	丿	否
币	4	撇	巾	否
幻	4	幺	折	否
开	4	一	廾	否
引	4	弓	丨	否
忆	4	忄	乙	否
扎	4	扌	折	否
支	4	十	又	否
斗	4	冬字底	十	否
欠	4	⺈	人	否
比	4	比字旁	匕	否
父	4	八	㐅	否
爻	4	㐅	㐅	否
艺	4	艹	乙	否
计	4	讠	十	否
订	4	讠	丁	否
讣	4	讠	卜	否
认	4	讠	人	否
讥	4	讠	几	否
邓	4	又	阝	否
闩	4	门	一	否
队	4	阝	人	否
风	4	风省	㐅	否
𠙶	4	了	凵	否
丈	3	左字框	丶	否
上	3	卜	横	是
下	3	横	卜	是
个	3	全字头	丨	否
丫	3	丷	丨	否
么	3	丿	厶	否
义	3	丶	㐅	否
乞	3	卧人	乙	否
亍	3	一	丁	否
亏	3	二	折	否
亡	3	亠	折	否
亿	3	亻	乙	否
刃	3	刀	丶	否
勺	3	勹	丶	否
卫	3	节字底	一	否
叉	3	又	丶	否
孓	3	了	点	否
尢	3	左字框	折	否
乜	2	折	折	否
刁	2	折	一	否
