汉字	分类	当前拆分	历史拆分	当前宿主序列	历史宿主序列
橙	canonical_host_equivalent	木 ＋ 登字头 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	木 ＋ 癶 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	木 ＋ 夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横	木 ＋ 夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横
橼	accepted_27_structural	木 ＋ 纟 ＋ 互中间 ＋ 豕	木 ＋ 互中间 ＋ 豕	木 ＋ 纟 ＋ 争字底 ＋ 豕	木 ＋ 争字底 ＋ 豕
洚	canonical_host_equivalent	氵 ＋ 夂 ＋ 降下角	氵 ＋ 夂 ＋ 㐄	氵 ＋ 又 ＋ 降下角	氵 ＋ 又 ＋ 降下角
涐	accepted_manual_rule_semantics	氵 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	氵 ＋ 戈	氵 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	氵 ＋ 戈
涫	canonical_host_equivalent	氵 ＋ 宀 ＋ 官字底	氵 ＋ 宀 ＋ 㠯	氵 ＋ 宀 ＋ 追字心	氵 ＋ 宀 ＋ 追字心
潾	canonical_host_equivalent	氵 ＋ 米 ＋ 夕 ＋ 降下角	氵 ＋ 米 ＋ 夕 ＋ 㐄	氵 ＋ 米 ＋ 夕 ＋ 降下角	氵 ＋ 米 ＋ 夕 ＋ 降下角
澄	canonical_host_equivalent	氵 ＋ 登字头 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	氵 ＋ 癶 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	氵 ＋ 夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横	氵 ＋ 夕 ＋ 横 ＋ 口 ＋ 八 ＋ 横
爽	accepted_propagating_structural	大 ＋ 㐅 ＋ 㐅 ＋ 㐅 ＋ 㐅	左字框 ＋ 㐅 ＋ 㐅 ＋ 㐅 ＋ 㐅 ＋ 丶	大 ＋ 交 ＋ 交 ＋ 交 ＋ 交	十 ＋ 交 ＋ 交 ＋ 交 ＋ 交 ＋ 点
班	accepted_frame_semantics	玨 ＋ 刂	王 ＋ 刂	王 ＋ 刀	王 ＋ 刀
琯	canonical_host_equivalent	王 ＋ 宀 ＋ 官字底	王 ＋ 宀 ＋ 㠯	王 ＋ 宀 ＋ 追字心	王 ＋ 宀 ＋ 追字心
