编码首根	编码末根	成员数	成员
氵	口	31	冶 凋 减 呇 咨 治 沼 沾 沿 泂 泃 泇 洁 洄 洞 洳 洺 活 洽 浛 浩 浯 浴 涪 淌 湉 溏 溚 溶 滘 潏
氵	古	2	沽 涸
氵	土	7	注 洼 涅 涯 淫 湮 瀍
氵	夕	2	汐 液
氵	大	15	决 凑 汰 沃 泱 洇 洑 浃 涣 淏 渎 渼 溪 溴 澳
氵	女	8	凄 姿 娑 婆 汝 溇 漤 瀛
氵	子	6	浡 浮 涍 淳 游 潺
氵	定字底	5	凝 淀 湜 漩 濋
氵	寸	10	汀 河 泞 浔 涛 渟 溥 溽 漪 澍
氵	小	4	凉 涤 源 潦
氵	尸	2	沪 泸
氵	工	4	冮 江 泾 溠
氵	已	11	氾 汜 沧 泡 洈 浥 涴 淝 港 滟 潖
氵	巾	4	沛 浉 浠 滞
氵	廿	2	㽏 泔
氵	彡	3	渗 漻 澎
氵	忄	9	㴔 恣 懑 沁 泌 淴 添 滤 漶
氵	戈	3	浅 涐 溅
氵	扌	4	挲 泮 泽 涌
氵	折	10	污 沌 沔 泄 洘 洿 涄 湛 湾 𬇕
氵	撇	5	沙 洢 浐 涉 渺
氵	斤	6	凘 沂 浙 淅 渐 澌
氵	日	16	汨 汩 沓 泪 洵 涧 渚 湄 湘 湣 溍 漕 潜 潴 潽 澛
氵	月	17	洧 消 涓 淆 淜 淯 清 渭 湑 湖 溯 滫 潮 潲 潸 灞 脊
氵	木	13	凓 柒 染 梁 沐 淋 深 渠 渫 溁 溧 滦 澡
氵	未	2	沫 洙
氵	束	3	洓 涑 澜
氵	横	10	汈 泻 洹 渣 渲 湿 澄 澧 澶 瀣
氵	止	2	沚 涩
氵	殳	3	没 溵 瀔
氵	氏	2	泜 派
氵	氵	6	冰 水 淼 渌 溺 漆
氵	永	2	泳 漾
氵	火	6	淡 湫 漹 潟 瀌 烫
氵	点	6	㳚 汊 汋 沭 浕 淤
氵	王	8	汪 洭 润 湟 滢 瑬 𬇹 𬍡
氵	田	7	油 沺 淄 淹 渑 溜 潘
氵	白	4	泊 洎 湝 滔
氵	皿	8	泗 洫 温 湓 溘 溢 滥 盗
氵	示	5	凛 淙 漂 漈 漴
氵	竖	5	冲 流 济 渊 滹
氵	米	3	洣 粢 粱
氵	纟	5	泫 溹 滋 漯 潆
氵	艹	5	汧 洴 渰 漭 瀹
氵	虫	3	浊 溞 滍
氵	衣	4	浓 澴 瀼 裟
氵	西	2	洒 酒
氵	见	12	浈 涢 渍 溃 滪 濑 濒 灏 资 𣸣 𫖯 𬇙
氵	豕	4	涿 溷 澽 濠
氵	车	2	冻 浑
氵	辛	2	滓 澼
氵	辶	3	涎 涟 逃
氵	里	2	浬 潼
氵	钅	4	淦 滏 鋈 鎏
氵	降下角	2	洚 潾
氵	隹	10	准 淮 滩 漼 潍 澭 濉 濯 灈 灌
氵	雨	4	湍 湎 漏 濡
氵	韦	2	涠 𣲗
氵	鱼	2	渔 鲨
氵	鸟	2	鸿 鹡
火	丰	2	烽 煋
火	习	2	煽 熻
火	人	3	欻 炊 炳
火	八	2	炽 烘
火	十	2	烨 焯
火	又	2	烙 焌
火	口	9	炯 烔 焐 焓 焗 焙 熇 熔 燏
火	土	3	灶 炷 煃
火	大	4	炔 烟 焕 燠
火	寸	4	灯 炣 爝 𬊈
火	已	2	炝 炮
火	忄	3	焖 熄 熜
火	折	4	炖 烤 煁 爔
火	月	4	烠 焆 煟 煳
火	木	3	煤 燊 燥
火	横	4	炟 炸 烜 煊
火	火	6	火 炎 焱 燃 燋 燚
火	点	2	灼 烬
火	田	2	熘 燔
火	白	2	焰 熠
火	竖	2	炌 烀
火	艹	2	煸 爚
火	辶	5	烶 烻 煺 熥 燧
火	隹	2	㸌 爟
爫	卩	2	郛 鄱
爫	又	3	受 爰 爱
爫	爫	3	爪 瓜 采
爫	田	2	番 釉
爫	鸟	2	鹞 𬸪
片	大	4	奖 奘 牍 状
片	寸	2	将 牁
片	木	3	桨 棐 牒
片	片	3	爿 片 非
片	衣	2	装 裴
牛	卩	2	郜 酂
牛	口	4	告 牾 牿 犒
牛	寸	2	特 犄
牛	牛	2	牛 犇
牛	辶	3	犍 选 造
犭	儿	3	狁 猊 獍
犭	十	3	狨 猝 獐
犭	又	2	狻 玃
犭	口	2	狗 猞
犭	土	2	狃 狴
犭	大	3	狭 狱 猰
犭	寸	3	狞 狩 猗
犭	小	5	狝 狲 猄 猕 獠
犭	已	2	犯 狍
犭	日	3	猎 猖 猪
犭	月	4	狷 猜 猢 猬
犭	木	2	橥 猱
犭	横	2	狉 猹
犭	田	2	狎 猫
犭	艮	2	狠 狼
犭	见	2	狈 獭
犭	辶	2	逖 逛
犭	鸟	2	𫛭 𬸚
王	丰	3	玤 瑆 瑾
王	争字底	3	珒 珰 琤
王	今	2	玲 琴
王	儿	4	玩 珖 珧 珫
王	八	3	珙 琪 瑱
王	几	2	玑 琥
王	刀	2	玢 班
王	匕	4	玭 玼 琨 琵
王	十	2	玶 璋
王	又	12	玖 玫 珞 琡 瑕 瑗 瑷 璈 璐 璥 璬 𤫉
王	口	9	噩 玷 玿 珈 珸 珺 琀 瑢 瑭
王	向	2	珦 瑙
王	大	4	玞 玦 瑛 𤩽
王	定字底	3	琔 瑅 璇
王	寸	4	玎 珂 琦 𬍤
王	小	2	琼 璟
王	工	2	玒 瑳
王	已	4	玘 玱 琬 琶
王	彡	2	珍 璆
王	忄	4	珌 瑟 璁 璱
王	折	2	㻬 珹
王	文	2	斑 玟
王	日	5	珣 瑁 瑂 瑃 瑨
王	月	4	玥 珛 琄 瑚
王	木	3	琛 琳 璪
王	横	5	玙 珊 瑄 璒 璮
王	氵	2	琭 瑔
王	点	3	玓 环 球
王	王	5	玉 王 珏 珵 瑝
王	田	2	珅 璠
王	禸	2	瑀 璃
王	竖	2	玠 琉
王	艮	2	珢 琅
王	见	4	现 琐 瓒 顼
王	豕	3	琢 瑑 璩
王	辶	4	珽 琎 琏 璲
王	隹	3	琟 璀 瓘
王	雨	2	瑞 瓀
田	又	4	畈 畋 略 畯
田	寸	4	町 畤 畴 畸
田	彡	2	畛 疁
田	月	2	胃 胄
田	田	5	田 由 甲 申 电
田	竖	2	曲 界
白	儿	4	㿠 兜 皖 鼻
白	刀	2	劓 鼢
白	十	3	卑 皋 皞
白	又	4	叟 敫 皈 皦
白	口	4	皓 鼩 鼯 齁
白	大	2	臭 鼷
白	折	2	癿 鼠
白	田	2	皤 鼬
白	白	4	白 皛 自 臼
白	辶	3	迫 遑 邀
皿	刀	2	罚 罽
皿	点	2	罘 衃
皿	田	2	罨 罶
皿	皿	4	四 皿 署 血
矢	日	2	智 矰
矢	矢	2	失 矢
矢	竖	2	矧 矫
石	交	3	砜 砹 硬
石	八	2	硔 碘
石	几	2	矶 矾
石	刀	2	砌 硎
石	匕	2	砒 砣
石	十	4	砰 碎 碑 磹
石	厶	2	砝 磙
石	又	2	硌 礅
石	口	5	砧 硐 碉 碚 碱
石	土	2	砫 硅
石	大	4	砄 砆 硖 碶
石	定字底	3	碇 碨 碾
石	寸	2	碍 礴
石	工	5	矼 砼 硁 硿 磋
石	已	3	硊 硙 碗
石	巾	2	砸 碲
石	折	3	砘 硭 𥔲
石	日	4	碈 碏 礵 𥕢
石	月	4	硝 硼 碃 𬒔
石	木	5	碟 磉 磔 磲 𥖨
石	横	6	砟 砵 碴 碹 磴 礓
石	氵	2	泵 碌
石	火	2	碳 礁
石	田	3	砷 磻 礌
石	石	2	石 磊
石	竖	2	硚 硫
石	艹	2	研 碥
石	见	4	砚 硕 碛 𬒗
礻	习	2	禤 褟
礻	人	2	祸 衲
礻	儿	2	祝 祧
礻	八	2	祺 禛
礻	卜	2	补 褂
礻	厶	2	祛 袪
礻	又	5	祲 祾 袯 袼 裰
礻	口	7	祐 祠 禧 袷 裕 裙 褡
礻	土	3	社 禋 衽
礻	大	5	祆 禊 袂 袄 袱
礻	寸	3	祷 衬 褥
礻	已	2	祀 袍
礻	巾	2	禘 褯
礻	彡	2	衫 袗
礻	扌	2	袢 襻
礻	日	2	裥 褚
礻	木	3	祼 裸 褓
礻	横	2	祚 袒
礻	氏	2	祇 祗
礻	点	2	祓 衩
礻	田	3	神 福 袖
礻	白	2	褶 襫
礻	衣	2	禳 裱
礻	见	3	祯 视 𫌀
礻	车	2	裈 裤
礻	辶	3	裢 褪 襚
礻	韦	2	祎 袆
禾	且	2	租 稙
禾	八	3	积 稌 稹
禾	匕	2	乘 秕
禾	十	3	科 秤 稗
禾	又	2	稷 馥
禾	口	7	和 秸 稆 稠 稿 穑 黏
禾	夕	2	移 秽
禾	子	3	季 稃 馞
禾	彡	2	䅟 穆
禾	忄	6	愁 秘 稔 稳 穗 馝
禾	撇	2	秒 秭
禾	日	2	稽 香
禾	氵	2	黍 黎
禾	皿	2	盉 馧
禾	衣	2	秾 穰
禾	辶	3	穟 透 逶
立	习	2	翊 𦒍
立	口	2	竘 站
立	束	2	竦 辣
竖	横	2	凸 凹
竹	争字底	2	筜 筝
竹	二	2	竺 篝
竹	交	2	筻 簧
竹	人	2	筮 簌
竹	儿	4	筅 筦 箅 篼
竹	八	2	箕 箫
竹	几	2	筑 篪
竹	刀	2	劄 箭
竹	力	2	筋 簕
竹	十	3	筚 簟 簰
竹	又	2	笯 筱
竹	口	14	笞 笤 笥 笱 笳 笸 筒 答 筘 筥 筶 箬 箴 篙
竹	夕	2	箩 簃
竹	大	3	笑 筷 箧
竹	寸	3	等 筹 簿
竹	已	3	笆 筢 箢
竹	巾	2	筛 箍
竹	干	2	竽 竿
竹	戈	3	笺 筏 篯
竹	撇	2	笋 笫
竹	日	5	简 箱 箸 簪 籍
竹	月	2	筲 箐
竹	木	2	箖 篥
竹	横	3	笨 笪 笮
竹	氵	2	筠 箓
竹	王	3	筌 筐 篁
竹	田	2	笛 籀
竹	皿	3	篮 簋 簠
竹	矢	2	篌 簇
竹	艹	4	笄 算 篇 籥
竹	见	6	笕 筼 箦 篑 籁 𬕂
竹	辶	4	笾 筵 篷 簉
米	十	2	料 粹
米	又	2	敉 数
米	口	2	粘 糖
米	大	2	类 糗
米	日	2	糌 糟
米	月	3	精 糈 糊
米	木	2	粿 糅
米	辶	3	糙 迷 遴
纟	交	3	纲 绞 绠
纟	人	2	纳 纵
纟	儿	3	统 𬘘 𬘫
纟	八	4	织 缜 缤 𬙂
纟	匕	3	纰 纶 绲
纟	十	2	绒 绰
纟	厶	3	纭 纮 绘
纟	又	7	络 绫 绶 缀 缓 缦 缴
纟	口	13	䌹 绍 绐 结 给 绤 绱 绸 绺 缄 缟 缮 辔
纟	土	3	纴 纽 𬙊
纟	大	2	续 𬘡
纟	女	3	绥 缕 缨
纟	定字底	2	绽 缇
纟	寸	4	纣 绮 缚 缛
纟	小	3	绦 缭 𫟅
纟	工	2	红 经
纟	已	3	纪 绝 绻
纟	巾	3	绵 缔 𫄨
纟	干	2	纡 纤
纟	廿	2	绀 缂
纟	忄	2	缌 𫄷
纟	扌	2	绊 绎
纟	折	5	幻 纯 绁 绔 继
纟	撇	2	纱 缈
纟	日	6	绚 绪 缃 缗 缙 缯
纟	月	4	绡 绢 绷 𬘬
纟	木	3	缫 缲 𬘭
纟	横	3	纻 缞 缰
纟	氵	2	绿 缐
纟	点	4	约 纫 绂 终
纟	田	5	畿 绅 细 绳 缁
纟	皿	2	缊 缢
纟	示	2	综 缥
纟	竖	2	纠 纼
纟	纟	4	丝 乡 幺 缧
纟	衣	2	缳 𬙋
纟	见	4	绩 缆 缬 缵
纟	辶	5	缒 缝 缱 𫄧 𬘩
纟	雨	2	缅 𦈡
美字头	又	2	羑 羧
美字头	大	3	奏 美 羹
美字头	工	2	差 羟
美字头	已	2	卷 羓
美字头	扌	3	奉 拳 掰
美字头	日	4	春 看 眷 着
美字头	火	2	羔 羰
美字头	鱼	2	鲝 鲞
耂	日	2	者 耆
耳	卩	2	耶 鄹
耳	又	2	取 聂
耳	寸	2	耵 聍
耳	见	2	聩 颞
臣	见	2	赜 颐
舟	匕	2	舭 舵
舟	已	2	舥 舱
舟	白	2	舶 艏
舟	皿	2	盘 艋
艮	土	2	垦 堲
艹	且	2	苴 菹
艹	乃	2	艿 莠
艹	九	2	艽 芄
艹	交	2	艾 茭
艹	人	10	芡 芮 苁 茨 荄 莰 莴 萸 蔌 蕨
艹	今	2	芩 苓
艹	儿	6	芫 苉 茺 莞 蔸 藐
艹	八	7	茓 荼 萁 萧 蓂 蕻 𦭜
艹	击	2	䓨 萄
艹	刀	6	劐 芬 荆 莿 蒯 蓟
艹	力	6	䓖 劳 苈 苏 荔 𫇭
艹	勿	2	芴 荡
艹	匕	6	芘 花 茈 荖 蓖 薨
艹	匚	4	苣 菡 葛 蔼
艹	十	9	䓬 苹 茕 草 荜 萃 萆 萍 蕈
艹	卩	4	节 蔀 鄀 𦰡
艹	卵	2	茆 茚
艹	厶	3	芸 荟 菘
艹	又	17	敬 芰 莜 菔 菱 菽 落 葭 葰 蔓 蔹 蔻 蔽 蕗 蕞 薇 薮
艹	口	23	苔 苕 苘 苟 若 苫 茄 茗 茴 茹 茼 莒 莙 菩 萜 营 葴 蒟 蒿 蓉 蓓 蔷 𬜬
艹	古	2	苦 菇
艹	土	6	芏 茌 茔 茬 荏 莝
艹	大	12	芙 英 茯 茵 荚 荬 获 葖 葜 葵 薁 蘅
艹	女	5	荽 萋 萎 葳 蒌
艹	子	4	孽 荐 荸 莩
艹	定字底	2	萣 薿
艹	寸	16	䓫 苛 苧 荨 荮 荷 莳 菏 葑 葶 蒄 蒋 蓐 蔚 薄 薅
艹	小	2	茶 荪
艹	山	2	䓛 茁
艹	工	3	茎 茳 荭
艹	已	9	芑 芭 苊 苍 苑 苞 范 菀 葩
艹	巾	3	带 芾 蒂
艹	干	3	芊 芋 蔊
艹	忄	10	惹 芯 苾 菍 葱 葸 蒽 蕊 蕙 薏
艹	戈	2	茂 莪
艹	扌	3	擎 萚 藦
艹	折	7	芎 芒 芤 茫 莼 萼 葚
艹	撇	3	茅 莎 萨
艹	斤	4	芹 菥 蕲 薪
艹	方	2	芳 蒡
艹	日	8	瞢 苜 荀 菖 著 葙 蓍 藉
艹	月	7	荫 菁 萌 葫 蒨 蒴 蓢
艹	木	8	棻 檠 荣 葆 蕖 藁 藻 蘖
艹	未	2	茉 茱
艹	横	7	苎 苤 苯 荁 萱 蓑 薤
艹	氏	3	芪 茋 蒎
艹	氵	5	荥 菉 蒻 藜 藤
艹	火	11	爇 荧 荻 菼 萩 蒸 蔗 蔫 蕉 藨 蘸
艹	点	9	芍 芣 荩 药 菂 菝 蓰 蔑 蕺
艹	爫	3	菜 菰 蓏
艹	片	2	菲 蘼
艹	牛	2	荦 薢
艹	王	2	荃 莹
艹	甫	4	莆 葡 蒱 蒲
艹	田	6	苗 蓄 蕃 蕾 藟 藩
艹	白	4	萏 蒈 蓿 藠
艹	皿	4	蓝 蕰 蕴 薯
艹	矢	2	蒺 蔟
艹	石	2	菪 蘑
艹	示	5	萘 蒜 蔈 蔡 薸
艹	禸	2	蓠 藕
艹	禾	2	菌 蓁
艹	竖	6	芥 茽 荒 荞 荠 蔬
艹	米	2	糵 菊
艹	纟	3	芗 萦 蘩
艹	耳	2	茸 葺
艹	臣	2	茝 藏
艹	艮	3	茛 莨 蒗
艹	艹	5	卅 荓 莽 萹 葬
艹	虫	3	茧 萤 蔃
艹	见	7	苋 蒇 蒉 蓣 颟 颧 𬞟
艹	辛	3	莘 薛 薜
艹	辶	6	荙 莛 莲 蓬 薳 蘧
艹	隹	4	萑 蔺 蕹 藿
艹	鸟	6	茑 莺 鹋 鹲 鹳 𬟁
艹	龙	2	茏 莸
虫	丰	2	蚌 蜂
虫	交	3	蚁 蛟 蟥
虫	人	3	蚋 蛃 蜗
虫	八	4	蜍 蜞 螟 蟏
虫	力	2	蚴 蜐
虫	匕	2	蚍 蛇
虫	十	7	蚪 蚲 蜱 蝌 蟀 蟑 蟫
虫	又	4	蝮 螋 蠖 蠼
虫	口	7	蛔 蛞 蛤 蜘 蜩 螗 蟮
虫	土	5	蛀 蛏 蛙 蝰 螳
虫	大	3	蚨 蛱 蜈
虫	女	2	蝘 蝼
虫	子	3	虸 蜉 蝣
虫	已	3	蚆 蜷 蜿
虫	巾	2	䗖 蛳
虫	忄	3	螅 蟋 蟪
虫	折	3	虬 虻 蜣
虫	方	2	蚄 螃
虫	日	3	蜡 蝽 螬
虫	月	5	䗛 蛸 蜎 蜻 蝴
虫	木	3	蜾 蝶 蝾
虫	横	2	蚱 蜮
虫	王	2	蝈 蝗
虫	田	4	蚰 蝇 蝠 蟠
虫	皿	3	蛊 蜢 螠
虫	竖	4	蚓 蚧 蛐 蛴
虫	艹	2	蝙 蟒
虫	虫	2	虫 蠋
虫	见	2	蚬 贵
虫	辶	5	䗴 蜒 蜓 遗 遣
衣	口	2	哀 裔
衣	木	2	裹 褒
衣	衣	2	衣 襄
西	刀	2	剽 酚
西	匕	2	酡 醌
西	十	2	覃 醉
西	又	4	覆 酦 酪 酸
西	口	4	酩 酮 酷 醅
西	子	2	酵 醇
西	寸	3	酊 酎 酹
西	日	2	酯 醋
西	月	2	醐 醑
西	横	2	酢 醴
西	王	2	酲 醛
西	皿	2	醢 醯
西	米	2	粟 醾
西	西	2	西 酉
西	辶	2	迺 醚
见	又	3	败 贩 赂
见	口	4	贴 贻 赒 赔
见	寸	2	财 赙
见	日	3	赌 赗 赠
见	点	2	赆 赇
见	见	4	见 贝 赑 页
览字头	见	2	览 贤
角	虫	2	蟹 触
讠	且	2	诅 谊
讠	交	3	议 讴 讽
讠	人	5	认 讷 该 诬 谀
讠	儿	3	诜 说 谠
讠	匕	3	讹 论 诧
讠	匚	3	讵 讻 谒
讠	十	6	计 讯 许 评 谇 谭
讠	又	6	燮 诹 谖 谡 谩 𫍲
讠	口	14	诇 词 诏 诒 诘 话 诟 语 诰 诺 调 谲 𫍣 𫍯
讠	土	2	诖 𬤇
讠	大	4	诀 误 读 谳
讠	寸	5	订 讨 诃 诗 谢
讠	山	2	讪 诎
讠	工	2	讧 试
讠	已	2	记 诡
讠	干	2	讦 𬣙
讠	彡	3	诊 谚 谬
讠	忄	2	谂 𬤝
讠	扌	2	译 诵
讠	折	3	诚 谌 谔
讠	斤	2	䜣 诉
讠	方	2	访 谤
讠	日	5	询 诣 诸 谮 谱
讠	月	4	诮 请 谓 谞
讠	木	4	诔 课 谋 谍
讠	束	2	谏 谰
讠	横	5	让 诈 谑 谶 𬣞
讠	火	3	诙 谈 谯
讠	点	2	讱 谗
讠	王	3	诓 诠 诳
讠	白	2	谄 谐
讠	皿	2	谥 谧
讠	艹	2	诫 谝
讠	讠	2	言 谵
讠	辶	3	诞 谜 谴
豕	豕	2	豕 豸
豕	辶	2	逐 邈
足	交	2	赵 跤
足	人	2	趑 蹶
足	儿	2	跣 跳
足	匕	2	跎 跐
足	十	2	跸 踔
足	又	7	趣 跂 路 踱 蹑 蹾 躞
足	口	7	超 趟 跆 跏 踟 踣 踮
足	土	3	跬 蹚 躔
足	大	3	趺 跃 蹊
足	寸	5	跱 踌 踦 蹰 蹲
足	已	4	起 跄 跑 跪
足	戈	2	越 践
足	折	2	跨 躐
足	日	3	踏 蹭 躇
足	月	2	蹐 蹦
足	木	5	跺 踝 蹀 蹂 躁
足	横	3	跚 蹅 蹬
足	点	2	趵 跋
足	白	2	蹈 蹜
足	竖	3	赳 跻 蹿
足	艮	2	跟 踉
足	艹	2	趼 蹁
足	见	3	趱 踬 躜
足	足	2	走 足
足	辶	3	跶 跹 踺
足	隹	2	趯 躏
车	儿	3	𨐈 𫐄 𫐐
车	匕	2	轮 辊
车	又	4	轰 辂 辍 辙
车	口	2	轺 辖
车	大	2	轪 辏
车	工	2	轻 轼
车	折	3	轧 辄 辋
车	木	2	椠 𫐓
车	田	3	轴 辎 辐
车	竖	2	轷 轿
车	车	2	东 车
车	辶	2	连 𫟦
钅	乃	2	锈 镌
钅	争字底	3	铛 铮 𬭬
钅	交	3	钢 铰 𨱑
钅	人	5	钠 钦 锅 锨 镢
钅	今	2	钤 铃
钅	儿	6	铣 铫 铳 锐 镋 镜
钅	八	4	镇 镔 𫓹 𫟹
钅	几	2	钒 钪
钅	刀	3	钊 铏 铡
钅	力	2	铹 锄
钅	勿	3	钖 铴 锡
钅	匕	5	铊 铌 铑 锟 𬬭
钅	匚	2	钔 钜
钅	十	4	针 钭 铧 镡
钅	厶	3	钩 铥 𬭎
钅	又	13	䥽 钣 铬 锓 锼 锾 镀 镊 镘 镦 镬 鿏 𬭯
钅	口	20	钷 钻 铅 铜 铝 铪 铭 铷 铻 锆 锔 锘 锫 锿 镐 镕 𨱏 𫔎 𬬿 𬭳
钅	古	2	钴 锢
钅	土	7	钍 钮 铿 锉 镗 𫓯 𬭊
钅	大	7	钛 铗 铟 锲 锳 镁 𫓧
钅	女	3	钕 铵 镂
钅	子	2	钌 𬭚
钅	寸	9	钉 铸 锊 锕 锜 锝 锵 镈 𨱔
钅	小	2	铩 镣
钅	已	4	钯 铠 铯 锩
钅	巾	3	铈 铞 锦
钅	彡	2	钐 镠
钅	忄	5	铋 铽 锪 锶 镱
钅	戈	4	钱 钺 锇 𬬩
钅	扌	3	铎 镎 镛
钅	折	7	钆 钙 钝 铐 铖 锷 镴
钅	撇	2	钞 铲
钅	方	2	钫 镑
钅	日	8	䦃 钼 锏 锗 错 镅 镥 镨
钅	月	6	钥 铕 销 锖 镚 𫓶
钅	木	2	锞 镍
钅	横	4	钵 钽 锤 镫
钅	火	4	钬 锬 锹 镳
钅	点	6	钓 钗 钚 钹 𨱇 𬬸
钅	王	4	钰 铨 锃 锽
钅	田	9	钾 钿 铀 锚 锱 镏 镭 𫔍 𬬹
钅	白	3	铂 锴 锸
钅	皮	2	铍 𬭛
钅	皿	2	锰 镒
钅	矢	3	铁 镞 𬭤
钅	示	2	镖 镲
钅	竖	3	钟 锍 镩
钅	纟	2	铉 镃
钅	艮	2	银 锒
钅	艹	3	钘 锎 锛
钅	虫	2	镪 镯
钅	衣	3	铱 镮 镶
钅	见	4	钡 锁 锧 镄
钅	辶	5	铤 链 键 𫟼 𬭼
钅	里	2	锂 锺
钅	钅	2	金 鑫
隹	隹	2	隹 雠
雨	力	3	勔 雳 雾
雨	卩	2	鄠 酃
雨	又	3	霞 霰 露
雨	女	2	耍 霎
雨	寸	2	耐 霨
雨	月	2	霄 霸
雨	雨	4	而 雨 需 面
雨	鸟	2	鸸 鹴
韦	点	2	韧 韨
音	忄	2	意 戆
饣	又	5	饭 饹 馊 馒 馓
饣	口	3	饲 饴 饸
饣	土	2	饪 馐
饣	戈	2	饯 饿
饣	横	2	馇 𫗴
饣	衣	2	饻 馕
马	交	3	驱 驳 驶
马	八	4	骐 骕 骥 𬳿
马	又	4	驭 骆 骎 骏
马	口	3	驹 骀 𬳶
马	大	5	驮 骃 骙 𫘝 𫘬
马	日	2	驲 骦
马	纟	2	骡 𫠊
马	艹	2	骈 骗
马	马	2	马 骉
骨	又	2	骼 髂
鱼	交	2	鲛 鲠
鱼	儿	3	鲩 鲵 𬶐
鱼	刀	3	鱽 鲗 𬶟
鱼	匕	2	鲲 𬶍
鱼	厶	2	鲙 鲿
鱼	又	4	鲮 鲰 鳗 鳠
鱼	口	10	鲇 鲐 鲒 鲖 鲘 鲪 鲷 鳝 𬶋 𬶮
鱼	土	2	鲑 鲣
鱼	定字底	2	鳀 鳂
鱼	寸	5	鲟 鲥 鳉 鳚 鳟
鱼	小	2	鲦 鲸
鱼	已	4	鱾 鲃 鲍 𬶏
鱼	忄	2	鳃 鳡
鱼	扌	2	鲬 鳙
鱼	折	3	鲀 鳄 𫚭
鱼	方	2	鲂 鳑
鱼	日	4	䲠 鲁 鲳 鳍
鱼	月	2	鲔 鲭
鱼	横	3	鲊 鳢 鳣
鱼	氵	2	鳈 𩾌
鱼	点	2	鲅 鳏
鱼	田	3	鲉 鲻 鲾
鱼	白	2	鲌 鳛
鱼	示	2	鳔 𬶭
鸟	鸟	3	乌 岛 鸟
黑	大	2	默 黩
黑	黑	2	熏 黑
龙	龙	2	尤 龙
