规则	声明拆分	字	AUTO	ONLY-P	ALL	是否交互
虍	卜 ＋ 厂 ＋ 匕	甗	卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 鬲 ＋ 瓦	卜 ＋ 厂 ＋ 匕 ＋ 鬲 ＋ 瓦	卜 ＋ 厂 ＋ 匕 ＋ 鬲 ＋ 瓦	否
虍	卜 ＋ 厂 ＋ 匕	篪	竹头 ＋ 反字框 ＋ 卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 几	竹头 ＋ 反字框 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	竹头 ＋ 反字框 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	否
虍	卜 ＋ 厂 ＋ 匕	罅	缶 ＋ 卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖	缶 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖	缶 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 撇 ＋ 丷 ＋ 一 ＋ 竖	否
虍	卜 ＋ 厂 ＋ 匕	蘧	艹 ＋ 卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 豕 ＋ 辶	艹 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 豕 ＋ 辶	艹 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 豕 ＋ 辶	否
虍	卜 ＋ 厂 ＋ 匕	虎	卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 几	卜 ＋ 厂 ＋ 匕 ＋ 几	卜 ＋ 厂 ＋ 匕 ＋ 几	否
虍	卜 ＋ 厂 ＋ 匕	虏	卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 力	卜 ＋ 厂 ＋ 匕 ＋ 力	卜 ＋ 厂 ＋ 匕 ＋ 力	否
虍	卜 ＋ 厂 ＋ 匕	虐	卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 匚 ＋ 一	卜 ＋ 厂 ＋ 匕 ＋ 匚 ＋ 一	卜 ＋ 厂 ＋ 匕 ＋ 匚 ＋ 一	否
虍	卜 ＋ 厂 ＋ 匕	虑	卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 心	卜 ＋ 厂 ＋ 匕 ＋ 心	卜 ＋ 厂 ＋ 匕 ＋ 心	否
虍	卜 ＋ 厂 ＋ 匕	虒	反字框 ＋ 卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 几	反字框 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	反字框 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	否
虍	卜 ＋ 厂 ＋ 匕	虓	九 ＋ 卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 几	九 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	九 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	否
虍	卜 ＋ 厂 ＋ 匕	虔	卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 文	卜 ＋ 厂 ＋ 匕 ＋ 文	卜 ＋ 厂 ＋ 匕 ＋ 文	否
虍	卜 ＋ 厂 ＋ 匕	虚	卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 业无横 ＋ 一	卜 ＋ 厂 ＋ 匕 ＋ 业无横 ＋ 一	卜 ＋ 厂 ＋ 匕 ＋ 业无横 ＋ 一	否
虍	卜 ＋ 厂 ＋ 匕	虞	卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 口 ＋ 天	卜 ＋ 厂 ＋ 匕 ＋ 口 ＋ 天	卜 ＋ 厂 ＋ 匕 ＋ 口 ＋ 天	否
虍	卜 ＋ 厂 ＋ 匕	虢	爫 ＋ 寸 ＋ 卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 几	爫 ＋ 寸 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	爫 ＋ 寸 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	否
虍	卜 ＋ 厂 ＋ 匕	虤	卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 几 ＋ 卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 几	卜 ＋ 厂 ＋ 匕 ＋ 几 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	卜 ＋ 厂 ＋ 匕 ＋ 几 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	否
虍	卜 ＋ 厂 ＋ 匕	褫	衤 ＋ 反字框 ＋ 卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 几	衤 ＋ 反字框 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	衤 ＋ 反字框 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几	否
虍	卜 ＋ 厂 ＋ 匕	觑	卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 业无横 ＋ 一 ＋ 见	卜 ＋ 厂 ＋ 匕 ＋ 业无横 ＋ 一 ＋ 见	卜 ＋ 厂 ＋ 匕 ＋ 业无横 ＋ 一 ＋ 见	否
虍	卜 ＋ 厂 ＋ 匕	谑	讠 ＋ 卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 匚 ＋ 一	讠 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 匚 ＋ 一	讠 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 匚 ＋ 一	否
虍	卜 ＋ 厂 ＋ 匕	遽	卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 豕 ＋ 辶	卜 ＋ 厂 ＋ 匕 ＋ 豕 ＋ 辶	卜 ＋ 厂 ＋ 匕 ＋ 豕 ＋ 辶	否
虍	卜 ＋ 厂 ＋ 匕	醵	酉 ＋ 卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 豕	酉 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 豕	酉 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 豕	否
虍	卜 ＋ 厂 ＋ 匕	饕	口 ＋ 一 ＋ 折 ＋ 卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 几 ＋ 全字头 ＋ 丶 ＋ 艮	口 ＋ 一 ＋ 折 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几 ＋ 全字头 ＋ 丶 ＋ 艮	口 ＋ 一 ＋ 折 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几 ＋ 全字头 ＋ 丶 ＋ 艮	否
虍	卜 ＋ 厂 ＋ 匕	齇	自 ＋ 田 ＋ 丌 ＋ 卢字头 ＋ 折 ＋ 丿 ＋ 七 ＋ 且	自 ＋ 田 ＋ 丌 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 且	自 ＋ 田 ＋ 丌 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 且	否
妻字头	横 ＋ 肀	凄	冫 ＋ 一 ＋ 折 ＋ 二 ＋ 丨 ＋ 女	冫 ＋ 横 ＋ 肀 ＋ 女	冫 ＋ 横 ＋ 肀 ＋ 女	否
妻字头	横 ＋ 肀	妻	一 ＋ 折 ＋ 二 ＋ 丨 ＋ 女	横 ＋ 肀 ＋ 女	横 ＋ 肀 ＋ 女	否
妻字头	横 ＋ 肀	萋	艹 ＋ 一 ＋ 折 ＋ 二 ＋ 丨 ＋ 女	艹 ＋ 横 ＋ 肀 ＋ 女	艹 ＋ 横 ＋ 肀 ＋ 女	否
妻字头	横 ＋ 肀	郪	一 ＋ 折 ＋ 二 ＋ 丨 ＋ 女 ＋ 阝	横 ＋ 肀 ＋ 女 ＋ 阝	横 ＋ 肀 ＋ 女 ＋ 阝	否
事	横 ＋ 口 ＋ 争字底	事	一 ＋ 口 ＋ 折 ＋ 二 ＋ 竖	横 ＋ 口 ＋ 争字底	横 ＋ 口 ＋ 争字底	否
史	口 ＋ 乂	史	口 ＋ 㐅	口 ＋ 乂	口 ＋ 乂	否
史	口 ＋ 乂	驶	马 ＋ 口 ＋ 㐅	马 ＋ 口 ＋ 乂	马 ＋ 口 ＋ 乂	否
吏	横 ＋ 口 ＋ 乂	使	亻 ＋ 一 ＋ 口 ＋ 㐅	亻 ＋ 横 ＋ 口 ＋ 乂	亻 ＋ 横 ＋ 口 ＋ 乂	否
吏	横 ＋ 口 ＋ 乂	吏	一 ＋ 口 ＋ 㐅	横 ＋ 口 ＋ 乂	横 ＋ 口 ＋ 乂	否
