根	音节	字对	位置	首末同时	权重	字1分读音频次	字2分读音频次	字1整字频次排名	字2整字频次排名	字1待分配	字2待分配
亻	si	俟—虒	首根	False	0	0	0	5418	7222	0	0
亻	ti	䴘—体	首根	False	0	0	26551	5366	292	0	40
亻	ti	䴘—倜	首根	False	0	0	7	5366	4526	0	0
亻	wo	偓—我	首根	False	0	0	2058928	5432	1	0	52
亻	xi	俙—系	首根	False	0	0	29193	5416	268	0	131
亻	xi	傒—系	首根	False	0	0	29193	5442	268	0	131
亻	xi	僖—系	首根	False	0	0	29193	5450	268	0	131
亻	yan	俨—殷	首根	False	0	8	0	4482	3439	0	18
亻	yan	偃—殷	首根	False	0	1	0	5020	3439	0	18
亻	yao	侥—夭	首根	False	0	0	138	3156	3093	0	0
亻	yu	伛—鄅	首根	False	0	1	0	5013	7516	0	0
亻	yu	俣—鄅	首根	False	0	1	0	5017	7516	0	0
亻	zhi	侄—卮	首根	False	0	785	0	2081	5505	4	0
亻	zhi	值—卮	首根	False	0	7453	0	791	5505	6	0
彳	bi	币—彼	首根	False	1239	1239	3382	1818	1127	1	392
彳	xu	徐—须	首根	False	98	98	19944	3213	355	15	2
彳	yu	御—舆	首根	False	75	628	75	2230	3433	2	0
彳	xi	徙—系	首根	False	61	61	29193	3554	268	0	131
彳	zhi	徵—质	首根	False	30	30	5823	3934	905	0	9
彳	yu	御—禹	首根	False	4	628	4	2230	4740	2	0
彳	ji	徛—系	首根	False	0	0	11	5874	268	0	131
彳	xu	媭—徐	首根	False	0	0	98	5722	3213	0	15
彳	yao	夭—徭	首根	False	0	138	0	3093	5875	0	0
彳	yu	御—鄅	首根	True	0	628	0	2230	7516	2	0
彳	zhi	卮—徵	首根	False	0	0	30	5505	3934	0	0
人	zhong	众—终	末根	False	7242	7242	11114	797	598	128	0
人	huan	欢—环	末根	False	4838	57796	4838	148	1012	21	10
人	qiu	囚—求	末根	False	1119	1119	22771	1877	321	0	2
人	qiu	囚—球	末根	False	1119	1119	24307	1877	307	0	44
人	cong	从—匆	末根	False	514	69700	514	119	2351	89	0
人	ren	人—刃	末根	False	265	372465	265	17	2733	827	0
人	ren	刃—认	末根	False	265	265	54322	2733	156	0	0
人	yu	於—欲	末根	False	258	258	2515	2742	1360	0	0
人	yu	欲—淤	末根	False	198	2515	198	1360	2864	0	0
人	yu	欲—瘀	末根	False	190	2515	190	1360	2895	0	0
人	ren	人—韧	末根	False	168	372465	168	17	2974	827	1
人	ren	认—韧	末根	False	168	54322	168	156	2974	0	1
人	shu	书—漱	末根	False	109	13244	109	503	3235	116	1
人	shu	术—漱	末根	False	109	12677	109	522	3235	167	1
人	ren	人—纫	末根	False	73	372465	73	17	3447	827	0
人	ren	纫—认	末根	False	73	73	54322	3447	156	0	0
人	yu	於—谀	末根	False	34	258	34	2742	3876	0	0
人	yu	淤—谀	末根	False	34	198	34	2864	3876	0	0
人	yu	瘀—谀	末根	False	34	190	34	2895	3876	0	0
人	yu	於—腴	末根	False	9	258	9	2742	4467	0	0
人	yu	淤—腴	末根	False	9	198	9	2864	4467	0	0
人	yu	瘀—腴	末根	False	9	190	9	2895	4467	0	0
人	shu	沭—漱	末根	True	7	7	109	4541	3235	0	1
人	shu	戍—漱	末根	False	4	4	109	4656	3235	1	1
人	yu	於—萸	末根	False	4	258	4	2742	4753	0	0
人	yu	淤—萸	末根	False	4	198	4	2864	4753	0	0
人	yu	瘀—萸	末根	False	4	190	4	2895	4753	0	0
人	ren	人—仞	末根	False	2	372465	2	17	4873	827	0
人	ren	仞—认	末根	False	2	2	54322	4873	156	0	0
人	cong	匆—枞	末根	False	1	514	1	2351	4911	0	1
人	qiu	求—泅	末根	False	1	22771	1	321	5096	2	0
人	qiu	泅—球	末根	False	1	1	24307	5096	307	0	44
人	yu	於—臾	末根	False	1	258	1	2742	5160	0	0
人	yu	淤—臾	末根	False	1	198	1	2864	5160	0	0
人	yu	瘀—臾	末根	False	1	190	1	2895	5160	0	0
人	bo	僰—拨	末根	False	0	0	1615	5453	1650	0	2
人	bo	僰—袯	末根	False	0	0	0	5453	7297	0	0
人	bo	僰—钹	末根	False	0	0	15	5453	4265	0	0
人	cong	匆—苁	末根	False	0	514	0	2351	7074	0	0
人	fu	祓—腐	末根	False	0	0	1209	6770	1830	0	0
人	fu	绂—腐	末根	False	0	0	1209	6903	1830	0	0
人	fu	罘—腐	末根	False	0	0	1209	6931	1830	0	0
人	fu	腐—芣	末根	False	0	1209	0	1830	7065	0	0
人	fu	腐—韨	末根	False	0	1209	0	1830	7696	0	0
人	fu	腐—黻	末根	False	0	1209	0	1830	7884	0	0
人	jue	㵐—孓	末根	False	0	0	0	5322	5743	0	0
人	jue	厥—孓	末根	False	0	76	0	3425	5743	0	0
人	jue	噘—孓	末根	False	0	18	0	4163	5743	0	0
人	jue	孓—撅	末根	False	0	0	62	5743	3536	0	0
人	jue	孓—橛	末根	False	0	0	0	5743	6162	0	0
人	jue	孓—獗	末根	False	0	0	21	5743	4105	0	0
人	jue	孓—蕨	末根	False	0	0	9	5743	4472	0	0
人	jue	孓—蹶	末根	False	0	0	43	5743	3759	0	0
人	jue	孓—镢	末根	False	0	0	1	5743	5250	0	0
人	qiu	俅—囚	末根	False	0	0	1119	5414	1877	0	0
人	qiu	俅—泅	末根	False	0	0	1	5414	5096	0	0
人	qiu	囚—赇	末根	False	0	1119	0	1877	7390	0	0
人	qiu	囚—𨱇	末根	False	0	1119	0	1877	7938	0	0
人	qiu	泅—赇	末根	False	0	1	0	5096	7390	0	0
人	qiu	泅—𨱇	末根	False	0	1	0	5096	7938	0	0
人	ren	人—讱	末根	False	0	372465	0	17	7346	827	0
人	ren	人—轫	末根	False	0	372465	0	17	7441	827	0
人	ren	认—讱	末根	True	0	54322	0	156	7346	0	0
人	ren	认—轫	末根	False	0	54322	0	156	7441	0	0
人	shu	漱—秫	末根	False	0	109	0	3235	6787	1	0
人	shu	漱—𬬸	末根	False	0	109	0	3235	8058	1	0
人	xu	㳚—欻	末根	False	0	0	0	5320	6177	0	0
人	yu	庾—於	末根	False	0	0	258	5852	2742	0	0
人	yu	庾—淤	末根	False	0	0	198	5852	2864	0	0
人	yu	庾—瘀	末根	True	0	0	190	5852	2895	0	0
人	yu	於—欤	末根	False	0	258	0	2742	6175	0	0
人	yu	於—瘐	末根	False	0	258	0	2742	6652	0	0
人	yu	欤—淤	末根	False	0	0	198	6175	2864	0	0
人	yu	欤—瘀	末根	False	0	0	190	6175	2895	0	0
人	yu	淤—瘐	末根	False	0	198	0	2864	6652	0	0
人	yu	瘀—瘐	末根	True	0	190	0	2895	6652	0	0
人	zhong	众—柊	末根	False	0	7242	0	797	6079	128	0
全字头	xu	叙—须	首根	False	366	366	19944	2553	355	0	2
全字头	yu	余—舆	首根	True	75	2818	75	1296	3433	1	0
全字头	yu	余—禹	首根	False	4	2818	4	1296	4740	1	0
全字头	xi	系—翕	首根	False	0	29193	0	268	6956	131	0
