字	频(万)	作首部件字数	作末部件字数	部件覆盖频(万)	首笔	末笔	笔画拆同音节撞
乎	17	0	3	16	平撇	乙	
承	31	0	0	0	?	?	
币	28	0	0	0	?	?	必必
刃	5	1	4	21	?	?	壬
肃	5	0	4	21	?	?	
曰	12	0	1	0	?	?	月
夷	4	0	4	7	?	?	一已已乙
丈	4	0	2	6	?	?	
甩	8	0	0	0	?	?	
凸	6	0	0	0	丨	一	
秉	4	0	0	0	?	?	丙
冉	3	0	6	0	?	?	
凹	4	0	0	0	丨	一	
刁	1	0	1	1	?	?	
羌	2	0	0	0	?	?	
毋	1	0	0	0	?	?	无五午戊兀
