moves	hard_old	hard_new	full1500	full3500	full6000	short1500	short3500	three1500	three3500	score
土:r>v 巾:a>o 月:w>t 田:o>n 艹:f>m	1	3	0	41	250	0	8	1336	2614	3509590
土:r>v 忄:p>q 月:w>y 田:o>n 艹:f>p	1	3	0	41	235	0	11	1337	2625	3512795
土:r>v 巾:a>r 月:w>v 田:o>n 艹:f>m	1	3	0	44	256	0	11	1334	2598	3517970
土:r>v 巾:a>x 月:w>v 田:o>n 艹:f>m	1	3	0	45	258	0	11	1334	2601	3519495
土:r>v 巾:a>q 月:w>v 田:o>n 艹:f>m	1	3	0	45	251	0	11	1334	2598	3519370
土:r>v 巾:a>o 月:w>v 田:o>n 艹:f>m	1	3	0	46	255	0	13	1334	2600	3523340
土:r>v 巾:a>l 月:w>t 田:o>n 艹:f>m	1	4	0	38	245	0	6	1335	2613	4002635
土:r>v 巾:a>l 月:w>v 田:o>n 艹:f>m	1	4	0	43	250	0	11	1333	2599	4016385
土:r>m 忄:p>q 月:w>t 田:o>s 艹:f>p	2	0	0	37	221	0	5	1340	2626	3999190
土:r>m 忄:p>q 月:w>t 田:o>q 艹:f>p	2	0	0	37	222	0	5	1339	2619	3999285
土:r>m 忄:p>q 月:w>t 田:o>y 艹:f>p	2	0	0	38	224	0	6	1341	2626	4001910
土:r>m 忄:p>q 月:w>v 田:o>q 艹:f>p	2	0	0	38	213	0	7	1341	2616	4002940
土:r>m 忄:p>q 月:w>v 田:o>y 艹:f>p	2	0	0	39	215	0	8	1343	2623	4005565
土:r>m 巾:a>r 月:w>t 田:o>n 艹:f>b	2	0	0	40	279	0	7	1335	2607	4007545
土:r>m 巾:a>r 月:w>v 田:o>n 艹:f>b	2	0	0	40	271	0	9	1337	2604	4009720
土:r>m 巾:a>q 月:w>t 田:o>n 艹:f>b	2	0	0	41	275	0	7	1335	2607	4008965
土:r>m 巾:a>o 月:w>t 田:o>n 艹:f>b	2	0	0	41	278	0	8	1335	2609	4010215
土:r>q 忄:p>j 月:w>t 田:o>n 艹:f>p	2	0	0	41	241	0	9	1337	2617	4010555
土:r>m 巾:a>q 月:w>v 田:o>n 艹:f>b	2	0	0	41	266	0	9	1337	2604	4011120
土:r>m 巾:a>o 月:w>v 田:o>n 艹:f>b	2	0	0	41	269	0	10	1337	2606	4012370
土:r>m 巾:a>x 月:w>t 田:o>n 艹:f>b	2	0	0	42	281	0	7	1335	2610	4010570
土:r>m 巾:a>x 月:w>v 田:o>n 艹:f>b	2	0	0	42	272	0	9	1337	2607	4012725
土:r>q 忄:p>j 月:w>v 田:o>n 艹:f>p	2	0	0	43	233	0	12	1339	2614	4016930
土:r>m 巾:a>r 月:w>t 田:o>n 艹:f>s	2	0	0	45	270	0	9	1335	2599	4017305
土:r>m 巾:a>r 月:w>v 田:o>n 艹:f>s	2	0	0	45	261	0	11	1337	2596	4019460
土:r>m 巾:a>q 月:w>t 田:o>n 艹:f>s	2	0	0	46	265	0	9	1335	2599	4018705
土:r>m 巾:a>o 月:w>t 田:o>n 艹:f>s	2	0	0	46	268	0	10	1335	2601	4019955
土:r>m 巾:a>q 月:w>v 田:o>n 艹:f>s	2	0	0	46	255	0	11	1337	2596	4020840
土:r>m 巾:a>o 月:w>v 田:o>n 艹:f>s	2	0	0	46	258	0	12	1337	2598	4022090
土:r>m 巾:a>x 月:w>t 田:o>n 艹:f>s	2	0	0	47	271	0	9	1335	2602	4020310
土:r>m 巾:a>x 月:w>v 田:o>n 艹:f>s	2	0	0	47	261	0	11	1337	2599	4022445
土:r>m 忄:p>q 月:w>t 木:s>a 艹:f>p	2	0	0	48	249	0	10	1333	2602	4022650
土:r>m 忄:p>q 月:w>t 田:o>n 艹:f>s	2	0	0	49	272	0	9	1336	2597	4023315
土:r>m 忄:p>q 月:w>v 木:s>a 艹:f>p	2	0	0	49	240	0	12	1335	2599	4026305
土:r>m 忄:p>q 月:w>v 田:o>n 艹:f>s	2	0	0	50	263	0	11	1338	2594	4026970
土:r>q 忄:p>w 月:w>t 田:o>s 艹:f>p	2	1	0	35	226	0	6	1339	2620	4497560
土:r>q 忄:p>w 月:w>t 田:o>y 艹:f>p	2	1	0	35	228	0	7	1340	2620	4498760
土:r>m 忄:p>w 月:w>t 田:o>n 艹:f>p	2	1	0	36	230	0	5	1338	2623	4497965
土:r>q 忄:p>y 月:w>t 田:o>s 艹:f>p	2	1	0	36	224	0	6	1339	2623	4499005
土:r>m 忄:p>h 月:w>t 田:o>s 艹:f>p	2	1	0	36	218	0	7	1337	2627	4500145
土:r>m 忄:p>h 月:w>t 田:o>q 艹:f>p	2	1	0	36	216	0	7	1336	2624	4500160
土:r>q 忄:p>w 月:w>v 田:o>y 艹:f>p	2	1	0	36	218	0	9	1342	2617	4502395
土:r>m 忄:p>h 月:w>v 田:o>q 艹:f>p	2	1	0	36	206	0	9	1338	2621	4502295
土:r>m 忄:p>y 月:w>t 田:o>n 艹:f>p	2	1	0	37	228	0	5	1338	2626	4499410
土:r>q 忄:p>y 月:w>t 田:o>y 艹:f>p	2	1	0	37	229	0	7	1340	2620	4501780
土:r>m 忄:p>w 月:w>v 田:o>n 艹:f>p	2	1	0	37	219	0	8	1340	2620	4502780
土:r>v 忄:p>q 月:w>t 田:o>h 艹:f>p	2	1	0	37	228	0	8	1336	2623	4503105
土:r>q 忄:p>h 月:w>t 田:o>v 艹:f>p	2	1	0	37	227	0	10	1336	2617	4505515
土:r>m 忄:p>q 月:w>v 田:o>s 艹:f>p	2	1	0	38	212	0	7	1342	2623	4502845
土:r>m 忄:p>y 月:w>v 田:o>n 艹:f>p	2	1	0	38	219	0	8	1340	2623	4504265
土:r>q 忄:p>y 月:w>v 田:o>y 艹:f>p	2	1	0	38	221	0	9	1342	2617	4505455
土:r>q 忄:p>h 月:w>t 田:o>y 艹:f>p	2	1	0	38	230	0	10	1337	2620	4507020
土:r>m 巾:a>l 月:w>t 田:o>n 艹:f>b	2	1	0	39	275	0	7	1334	2608	4506000
土:r>v 忄:p>q 月:w>t 田:o>w 艹:f>p	2	1	0	39	227	0	9	1338	2626	4507190
土:r>m 巾:a>l 月:w>v 田:o>n 艹:f>b	2	1	0	39	266	0	9	1336	2605	4508155
土:r>q 忄:p>h 月:w>t 田:o>d 艹:f>p	2	1	0	39	232	0	10	1334	2619	4508685
土:r>q 忄:p>f 月:w>t 田:o>n 艹:f>p	2	1	0	40	234	0	9	1337	2624	4508880
土:r>v 巾:a>r 月:w>t 田:o>q 艹:f>b	2	1	0	40	268	0	9	1333	2605	4509815
