moves	hard_old	hard_new	full1500	full3500	full6000	short1500	short3500	three1500	three3500	score
土:r>v 巾:a>q 月:w>t 田:o>n 艹:f>w	0	1	1	43	245	0	8	1337	2623	2512405
亻:e>o 忄:p>h 月:w>t 田:o>n 艹:f>e	0	1	1	43	255	0	11	1318	2578	2517190
土:r>v 巾:a>r 月:w>t 田:o>n 艹:f>p	0	1	1	44	257	0	9	1333	2608	2515580
土:r>v 巾:a>o 月:w>t 田:o>n 艹:f>w	0	1	1	44	249	0	10	1337	2625	2516375
亻:e>o 忄:p>h 月:w>v 田:o>n 艹:f>e	0	1	1	44	243	0	13	1320	2575	2520785
土:r>v 巾:a>x 月:w>t 田:o>n 艹:f>p	0	1	1	45	259	0	9	1333	2611	2517105
土:r>v 巾:a>q 月:w>t 田:o>n 艹:f>p	0	1	1	45	253	0	9	1333	2608	2517000
土:r>q 忄:p>h 月:w>t 田:o>n 艹:f>w	0	1	1	45	251	0	11	1337	2618	2519150
土:r>v 忄:p>q 月:w>t 田:o>n 艹:f>w	0	1	1	46	253	0	9	1338	2621	2518235
土:r>v 巾:a>o 月:w>t 田:o>n 艹:f>p	0	1	1	46	258	0	11	1333	2610	2520990
土:r>q 忄:p>h 月:w>v 田:o>n 艹:f>w	0	1	1	46	243	0	13	1339	2615	2522825
亻:e>o 忄:p>h 月:w>t 田:o>n 艹:f>p	0	1	1	46	263	0	14	1313	2575	2525665
土:r>v 巾:a>r 月:w>v 田:o>n 艹:f>w	0	1	1	47	255	0	13	1335	2609	2524755
土:r>v 巾:a>x 月:w>v 田:o>n 艹:f>w	0	1	1	48	256	0	13	1335	2612	2526260
土:r>v 巾:a>q 月:w>v 田:o>n 艹:f>w	0	1	1	48	250	0	13	1335	2609	2526155
亻:e>o 忄:p>h 月:w>v 田:o>n 艹:f>p	0	1	1	48	252	0	17	1315	2572	2531980
土:r>v 巾:a>o 月:w>v 田:o>n 艹:f>w	0	1	1	49	254	0	15	1335	2611	2530125
土:r>v 忄:p>q 月:w>t 木:s>g 艹:f>p	0	1	1	51	258	0	13	1328	2597	2531155
土:r>v 巾:a>r 月:w>v 田:o>n 艹:f>p	0	1	1	51	265	0	16	1331	2594	2534790
土:r>v 忄:p>q 月:w>v 田:o>n 艹:f>w	0	1	1	52	260	0	14	1336	2607	2533525
土:r>v 巾:a>x 月:w>v 田:o>n 艹:f>p	0	1	1	52	266	0	16	1331	2597	2536295
土:r>v 巾:a>q 月:w>v 田:o>n 艹:f>p	0	1	1	52	260	0	16	1331	2594	2536190
土:r>v 巾:a>o 月:w>v 田:o>n 艹:f>p	0	1	1	53	265	0	18	1331	2596	2540180
土:r>v 巾:a>r 月:w>t 田:o>n 艹:f>n	0	1	1	54	288	0	18	1333	2581	2542135
土:r>v 巾:a>x 月:w>t 田:o>n 艹:f>n	0	1	1	55	290	0	18	1333	2584	2543660
土:r>v 巾:a>q 月:w>t 田:o>n 艹:f>n	0	1	1	55	284	0	18	1333	2581	2543555
土:r>v 忄:p>q 月:w>v 木:s>g 艹:f>p	0	1	1	57	266	0	18	1326	2583	2546465
土:r>v 巾:a>o 月:w>t 田:o>n 艹:f>n	0	1	1	57	290	0	21	1333	2583	2550265
土:r>v 忄:p>q 月:w>t 田:o>n 艹:f>n	0	1	1	58	292	0	19	1334	2579	2549385
土:r>q 忄:p>h 月:w>t 田:o>n 艹:f>n	0	1	1	58	292	0	22	1333	2576	2553040
土:r>v 巾:a>r 月:w>v 田:o>n 艹:f>n	0	1	1	59	294	0	23	1331	2567	2555905
土:r>q 忄:p>h 月:w>v 田:o>n 艹:f>n	0	1	1	59	284	0	24	1335	2573	2556715
土:r>v 巾:a>x 月:w>v 田:o>n 艹:f>n	0	1	1	60	295	0	23	1331	2570	2557410
土:r>v 巾:a>q 月:w>v 田:o>n 艹:f>n	0	1	1	60	289	0	23	1331	2567	2557305
土:r>v 巾:a>o 月:w>v 田:o>n 艹:f>n	0	1	1	62	295	0	26	1331	2569	2564015
土:r>v 忄:p>q 月:w>v 田:o>n 艹:f>n	0	1	1	64	299	0	24	1332	2565	2564675
亻:e>o 巾:a>l 月:w>v 田:o>p 艹:f>e	0	1	2	37	229	0	7	1321	2578	4502750
土:r>v 忄:p>a 月:w>t 田:o>n 艹:f>p	0	1	2	41	251	0	8	1333	2618	4509710
土:r>v 巾:a>l 月:w>t 田:o>n 艹:f>w	0	2	1	41	244	0	8	1336	2624	3009420
土:r>v 巾:a>l 月:w>t 田:o>n 艹:f>p	0	2	1	44	254	0	9	1332	2609	3015555
土:r>v 巾:a>l 月:w>v 田:o>n 艹:f>w	0	2	1	46	249	0	13	1334	2610	3023170
土:r>v 巾:a>l 月:w>v 田:o>n 艹:f>p	0	2	1	51	261	0	16	1330	2595	3034745
土:r>v 忄:p>q 月:w>c 田:o>n 艹:f>p	0	3	1	40	240	0	9	1333	2612	3509220
土:r>m 忄:p>q 月:w>t 田:o>n 艹:f>p	1	0	0	40	236	0	6	1338	2622	2005290
土:r>m 忄:p>q 月:w>v 田:o>n 艹:f>p	1	0	0	42	228	0	9	1340	2619	2011665
土:r>m 忄:p>g 月:w>t 田:o>n 艹:f>p	1	0	1	38	230	0	6	1338	2622	4002170
亻:e>o 巾:a>x 月:w>t 田:o>s 艹:f>e	1	0	1	38	244	0	6	1322	2586	4003270
亻:e>o 巾:a>q 月:w>t 田:o>s 艹:f>e	1	0	1	38	237	0	6	1322	2583	4003145
亻:e>o 巾:a>q 月:w>t 田:o>q 艹:f>e	1	0	1	38	235	0	6	1321	2580	4003160
