部首	首位字数	首位频(万)	任意位字数	任意位频(万)	例字
西	0	0	8	50	晒栖洒茜硒牺
食	0	0	4	46	餐饕飨餮
色	0	0	4	44	绝艳铯滟
赤	6	42	7	42	赫郝赦赭哧赧
骨	15	8	17	40	滑髓髋髂骶骸
矛	7	12	18	33	柔茅橘揉懋婺
金	1	15	10	28	鑫鉴銮淦鋆鎏
瓜	0	0	11	27	狐孤瓣弧瓢呱
足	0	0	8	26	促捉蹩蹇蹙趸
巛	4	6	12	18	巡巢瑙剿邕淄
豸	9	13	12	17	貌豹霾貂貔貅
雨	0	0	1	13	漏
无	0	0	5	6	抚芜庑妩呒
血	2	0	3	6	恤衅衄
面	0	0	3	4	缅靥腼
尢	2	2	2	2	尬尴
鼠	5	1	5	1	鼬鼩鼹鼱鼯
邑	0	0	3	1	扈邕挹
行	1	0	5	1	珩桁鸻荇绗
鼻	2	0	4	1	齁擤鼾濞
龟	0	0	1	0	阄
竹头	0	0	0	0	
竹	0	0	0	0	
