汉字	最终规范拆分	编码首根	编码末根
錒	全字头 ＋ 金字底 ＋ 阝 ＋ 可	人	寸
骯	骨 ＋ 亠 ＋ 几	骨	几
䇦	竹头 ＋ 见二 ＋ 大	竹	大
䒢	艹 ＋ 卬	艹	卩
䩕	革 ＋ 卬	廿	卩
䀚	目 ＋ 卬	日	卩
岇	山 ＋ 卬	山	卩
䭹	一 ＋ 丨 ＋ 举字底 ＋ 折 ＋ 灬 ＋ 卬	横	卩
䭺	一 ＋ 丨 ＋ 举字底 ＋ 折 ＋ 灬 ＋ 亠 ＋ 几	横	几
醃	酉 ＋ 大 ＋ 电	西	田
醠	酉 ＋ 见二 ＋ 大 ＋ 皿	西	皿
昻	日 ＋ 工 ＋ 卩	日	卩
㼜	见二 ＋ 大 ＋ 瓦	匚	瓦
㭿	木 ＋ 日 ＋ 卬	木	卩
枊	木 ＋ 卬	木	卩
噯	口 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	口	又
㗒	口 ＋ 亠 ＋ 口 ＋ 衣省	口	衣
啀	口 ＋ 厂 ＋ 土 ＋ 土	口	土
嘊	口 ＋ 山 ＋ 厂 ＋ 土 ＋ 土	口	土
嬡	女 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	女	又
謁	言 ＋ 日 ＋ 匃	讠	匚
譪	言 ＋ 艹 ＋ 日 ＋ 匃	讠	匚
譺	言 ＋ 肄字旁 ＋ 龴 ＋ 疋	讠	定字底
諰	言 ＋ 田 ＋ 心	讠	忄
娭	女 ＋ 厶 ＋ 矢	女	矢
娾	女 ＋ 厂 ＋ 土 ＋ 土	女	土
㶼	火 ＋ 厶 ＋ 矢	火	矢
焥	火 ＋ 宀 ＋ 夕 ＋ 㔾	火	已
溾	氵 ＋ 鬼	氵	鬼
溰	氵 ＋ 山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	氵	横
濭	氵 ＋ 艹 ＋ 土 ＋ 厶 ＋ 皿	氵	皿
薆	艹 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	艹	又
䔇	艹 ＋ 山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	艹	横
䔽	艹 ＋ 氵 ＋ 日 ＋ 匃	艹	匚
藹	艹 ＋ 言 ＋ 日 ＋ 匃	艹	匚
鴱	艹 ＋ 㐅 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	艹	火
䶣	止 ＋ 人 ＋ 人 ＋ 一 ＋ 人 ＋ 人 ＋ 凵 ＋ 山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	止	横
馤	禾 ＋ 日 ＋ 日 ＋ 匃	禾	匚
䅬	禾 ＋ 丷 ＋ 一 ＋ 八 ＋ 皿	禾	皿
㿄	疒 ＋ 匚 ＋ 矢 ＋ 殳	广	殳
㾢	疒 ＋ 十 ＋ 人 ＋ 人 ＋ 丿 ＋ 丶	广	点
㾨	疒 ＋ 大 ＋ 可	广	寸
䬵	全字头 ＋ 丶 ＋ 即字旁 ＋ 亠 ＋ 折 ＋ 丿 ＋ 人	人	人
欬	亠 ＋ 折 ＋ 丿 ＋ 人 ＋ ⺈ ＋ 人	亠	人
皧	白 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	白	又
鑀	全字头 ＋ 金字底 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	人	又
皚	白 ＋ 山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	白	横
餲	全字头 ＋ 丶 ＋ 即字旁 ＋ 日 ＋ 匃	人	匚
銰	全字头 ＋ 金字底 ＋ 艹 ＋ 㐅	人	交
鎄	全字头 ＋ 金字底 ＋ 亠 ＋ 口 ＋ 衣省	人	衣
瞹	目 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	日	又
隑	阝 ＋ 山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	卩	横
阸	阝 ＋ 户 ＋ 乙	卩	乙
阨	阝 ＋ 厂 ＋ 㔾	卩	已
䀳	目 ＋ 束	日	束
賹	目 ＋ 八 ＋ 丷 ＋ 一 ＋ 八 ＋ 皿	日	皿
䝽	目 ＋ 八 ＋ 厂 ＋ 土 ＋ 土	日	土
剴	山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一 ＋ 刂	山	刀
獃	山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一 ＋ 犬	山	大
敳	山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一 ＋ 攵	山	又
敱	山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一 ＋ 卢字头 ＋ 又	山	又
㢊	广 ＋ 大 ＋ 可	广	寸
嵦	山 ＋ 山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	山	横
㕌	厂 ＋ 日 ＋ 一 ＋ 寸	广	寸
厓	厂 ＋ 土 ＋ 土	广	土
㤅	一 ＋ 折 ＋ 儿 ＋ 心	横	忄
騃	一 ＋ 丨 ＋ 举字底 ＋ 折 ＋ 灬 ＋ 厶 ＋ 矢	横	矢
捱	扌 ＋ 厂 ＋ 土 ＋ 土	扌	土
醷	酉 ＋ 音 ＋ 心	西	忄
㝶	罒 ＋ 儿 ＋ 寸	皿	寸
絠	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 左字框 ＋ 青字底	纟	月
曖	日 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	日	又
閡	见二 ＋ 二 ＋ 冂 ＋ 二 ＋ 亠 ＋ 折 ＋ 丿 ＋ 人	匚	人
昹	日 ＋ 永	日	永
㝵	日 ＋ 一 ＋ 寸	日	寸
懓	忄 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	忄	又
硋	石 ＋ 亠 ＋ 折 ＋ 丿 ＋ 人	石	人
㱯	歹 ＋ 山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	夕	横
磑	石 ＋ 山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	石	横
懝	忄 ＋ 肄字旁 ＋ 龴 ＋ 疋	忄	定字底
礙	石 ＋ 肄字旁 ＋ 龴 ＋ 疋	石	定字底
㗨	匚 ＋ 矢 ＋ 殳 ＋ 口	匚	口
僾	亻 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	亻	又
凒	冫 ＋ 山 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	氵	横
儗	亻 ＋ 肄字旁 ＋ 龴 ＋ 疋	亻	定字底
伌	亻 ＋ 厂 ＋ 㔾	亻	已
靉	雨头 ＋ 二 ＋ 厶 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	雨	又
䨠	雨头 ＋ 日 ＋ 匃	雨	匚
靄	雨头 ＋ 言 ＋ 日 ＋ 匃	雨	匚
鯦	鱼省 ＋ 灬 ＋ 夂 ＋ 卜 ＋ 口	鱼	口
鱫	鱼省 ＋ 灬 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	鱼	又
愛	爫 ＋ 冖 ＋ 心 ＋ 夂	爫	又
躷	身 ＋ 禾 ＋ 女	向	女
䠹	身 ＋ 亠 ＋ 折 ＋ 丿 ＋ 人	向	人
䑂	月 ＋ 撇 ＋ 卢字头 ＋ 一 ＋ 一 ＋ 折 ＋ 丨 ＋ 折 ＋ 二 ＋ 一 ＋ 八	月	八
璦	王 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	王	又
㘷	土 ＋ 艹 ＋ 㐅	土	交
塧	土 ＋ 丷 ＋ 一 ＋ 八 ＋ 皿	土	皿
壒	土 ＋ 艹 ＋ 土 ＋ 厶 ＋ 皿	土	皿
咹	口 ＋ 宀 ＋ 女	口	女
啽	口 ＋ 全字头 ＋ 一 ＋ 口 ＋ 廾	口	艹
䯥	骨 ＋ 日 ＋ 幺 ＋ 幺 ＋ 灬	骨	火
誝	言 ＋ 今 ＋ 口	讠	口
㡋	巾 ＋ 大 ＋ 电	巾	田
婩	女 ＋ 山 ＋ 厂 ＋ 干	女	干
㜝	女 ＋ 今 ＋ 酉	女	西
㛺	女 ＋ 音	女	音
媕	女 ＋ 全字头 ＋ 一 ＋ 口 ＋ 廾	女	艹
諳	言 ＋ 音	讠	音
䜙	言 ＋ 日 ＋ 幺 ＋ 幺 ＋ 灬	讠	火
㽢	田 ＋ 大 ＋ 电	田	田
裺	衤 ＋ 大 ＋ 电	礻	田
洝	氵 ＋ 宀 ＋ 女	氵	女
荌	艹 ＋ 宀 ＋ 女	艹	女
菴	艹 ＋ 大 ＋ 电	艹	田
蓭	艹 ＋ 广 ＋ 大 ＋ 电	艹	田
萻	艹 ＋ 音	艹	音
葊	艹 ＋ 全字头 ＋ 一 ＋ 口 ＋ 廾	艹	艹
頇	干 ＋ 一 ＋ 自 ＋ 八	干	八
㞄	左字框 ＋ 折 ＋ 大 ＋ 电	十	田
䅖	禾 ＋ 大 ＋ 电	禾	田
馣	禾 ＋ 日 ＋ 大 ＋ 电	禾	田
頞	宀 ＋ 女 ＋ 一 ＋ 自 ＋ 八	宀	八
痷	疒 ＋ 大 ＋ 电	广	田
䅁	宀 ＋ 女 ＋ 禾	宀	禾
䢿	宀 ＋ 女 ＋ 阝	宀	卩
鞌	宀 ＋ 女 ＋ 革	宀	廿
鴳	宀 ＋ 女 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	宀	火
䀂	宀 ＋ 女 ＋ 皿	宀	皿
銨	全字头 ＋ 金字底 ＋ 宀 ＋ 女	人	女
䤶	全字头 ＋ 金字底 ＋ 大 ＋ 电	人	田
㸩	牜 ＋ 干	牛	干
錌	全字头 ＋ 金字底 ＋ 山 ＋ 厂 ＋ 干	人	干
鉗	全字头 ＋ 金字底 ＋ 甘	人	廿
韽	今 ＋ 酉 ＋ 音	今	音
鶕	音 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	音	火
遃	立 ＋ 丿 ＋ 彡 ＋ 辶	立	辶
盫	全字头 ＋ 一 ＋ 口 ＋ 酉 ＋ 皿	人	皿
陰	阝 ＋ 今 ＋ 二 ＋ 厶	卩	厶
䬓	风省 ＋ 撇 ＋ 虫 ＋ 音	几	音
隌	阝 ＋ 音	卩	音
峖	山 ＋ 宀 ＋ 女	山	女
㱘	厂 ＋ 日 ＋ 青字底 ＋ 犬 ＋ 止	广	止
㟁	山 ＋ 厂 ＋ 干	山	干
厈	厂 ＋ 干	广	干
屽	山 ＋ 干	山	干
䮗	一 ＋ 丨 ＋ 举字底 ＋ 折 ＋ 灬 ＋ 山 ＋ 厂 ＋ 干	横	干
揞	扌 ＋ 音	扌	音
豻	豸 ＋ 干	豕	干
貋	豸 ＋ 日 ＋ 干	豕	干
䤃	酉 ＋ 音	西	音
罯	罒 ＋ 音	皿	音
㫨	日 ＋ 宀 ＋ 女	日	女
䎨	耒 ＋ 大 ＋ 电	耒	田
晻	日 ＋ 大 ＋ 电	日	田
闇	见二 ＋ 二 ＋ 冂 ＋ 二 ＋ 音	匚	音
碪	石 ＋ 其字头 ＋ 八 ＋ 折	石	折
侒	亻 ＋ 宀 ＋ 女	亻	女
儑	亻 ＋ 日 ＋ 幺 ＋ 幺 ＋ 灬	亻	火
鵪	大 ＋ 电 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	大	火
雸	雨头 ＋ 甘	雨	廿
鮟	鱼省 ＋ 灬 ＋ 宀 ＋ 女	鱼	女
㭺	木 ＋ 大 ＋ 电	木	田
腤	月 ＋ 音	月	音
堓	土 ＋ 山 ＋ 厂 ＋ 干	土	干
玵	王 ＋ 甘	王	廿
囂	口 ＋ 口 ＋ 一 ＋ 自 ＋ 八 ＋ 口 ＋ 口	口	口
㕭	口 ＋ 撇 ＋ 大	口	大
䯠	骨 ＋ 日 ＋ 皿	骨	皿
㜜	女 ＋ 龶 ＋ 折 ＋ 丿 ＋ 攵	女	又
謸	言 ＋ 龶 ＋ 折 ＋ 丿 ＋ 攵	讠	又
㜩	女 ＋ 向字框 ＋ 米 ＋ 大	女	大
䜒	言 ＋ 向字框 ＋ 米 ＋ 大	讠	大
媼	女 ＋ 囗 ＋ 人 ＋ 皿	女	皿
爊	火 ＋ 鹿 ＋ 灬	火	火
熝	火 ＋ 鹿	火	鹿
䉛	竹头 ＋ 向字框 ＋ 米 ＋ 大	竹	大
襖	衤 ＋ 向字框 ＋ 米 ＋ 大	礻	大
泑	氵 ＋ 幺 ＋ 力	氵	力
滶	氵 ＋ 龶 ＋ 折 ＋ 丿 ＋ 攵	氵	又
澆	氵 ＋ 土 ＋ 土 ＋ 土 ＋ 兀	氵	儿
蔜	艹 ＋ 龶 ＋ 折 ＋ 丿 ＋ 攵	艹	又
芺	艹 ＋ 撇 ＋ 大	艹	大
獓	犭 ＋ 龶 ＋ 折 ＋ 丿 ＋ 攵	犭	又
䆟	宀 ＋ 八 ＋ 全字头 ＋ 一 ＋ 口	宀	口
蝹	虫 ＋ 日 ＋ 皿	虫	皿
䚫	白 ＋ 方 ＋ 攵 ＋ 角	白	角
㿰	交 ＋ 皮	交	皮
翶	白 ＋ 冫 ＋ 撇 ＋ 点 ＋ 十 ＋ 习 ＋ 习	白	习
䥝	全字头 ＋ 金字底 ＋ 鹿 ＋ 匕	人	匕
鏕	全字头 ＋ 金字底 ＋ 鹿	人	鹿
眑	目 ＋ 幺 ＋ 力	日	力
隞	阝 ＋ 龶 ＋ 折 ＋ 丿 ＋ 攵	卩	又
翺	自 ＋ 冫 ＋ 撇 ＋ 点 ＋ 十 ＋ 习 ＋ 习	白	习
䫜	山 ＋ 幺 ＋ 幺 ＋ 一 ＋ 自 ＋ 八	山	八
岰	山 ＋ 幺 ＋ 力	山	力
㟼	山 ＋ 龶 ＋ 折 ＋ 丿 ＋ 攵	山	又
㠂	山 ＋ 龶 ＋ 折 ＋ 丿 ＋ 攵	山	又
厫	厂 ＋ 龶 ＋ 折 ＋ 丿 ＋ 攵	广	又
㠗	山 ＋ 向字框 ＋ 米 ＋ 大	山	大
鿫	气 ＋ 向字框 ＋ 米 ＋ 大	气	大
軪	一 ＋ 日 ＋ 十 ＋ 幺 ＋ 力	横	力
䦋	一 ＋ 卢字头 ＋ 二 ＋ 厶 ＋ 龶 ＋ 折 ＋ 丿 ＋ 攵	横	又
䮯	一 ＋ 丨 ＋ 举字底 ＋ 折 ＋ 灬 ＋ 龶 ＋ 折 ＋ 丿 ＋ 攵	横	又
抝	扌 ＋ 幺 ＋ 折	扌	折
扷	扌 ＋ 撇 ＋ 大	扌	大
擙	扌 ＋ 向字框 ＋ 米 ＋ 大	扌	大
镺	一 ＋ 卢字头 ＋ 二 ＋ 厶 ＋ 撇 ＋ 大	横	大
㩠	扌 ＋ 鹿 ＋ 灬	扌	火
鴁	撇 ＋ 大 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	撇	火
鴢	幺 ＋ 力 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	纟	火
慠	忄 ＋ 龶 ＋ 折 ＋ 丿 ＋ 攵	忄	又
磝	石 ＋ 龶 ＋ 折 ＋ 丿 ＋ 攵	石	又
礉	石 ＋ 白 ＋ 方 ＋ 攵	石	又
郩	㐅 ＋ 左字框 ＋ 青字底 ＋ 阝	交	卩
㤇	忄 ＋ 撇 ＋ 大	忄	大
磽	石 ＋ 土 ＋ 土 ＋ 土 ＋ 兀	石	儿
㑃	亻 ＋ 幺 ＋ 力	亻	力
柪	木 ＋ 幺 ＋ 力	木	力
梎	木 ＋ 白 ＋ 匕	木	匕
嗸	龶 ＋ 折 ＋ 丿 ＋ 攵 ＋ 口	丰	口
䫨	龶 ＋ 折 ＋ 丿 ＋ 攵 ＋ 一 ＋ 自 ＋ 八	丰	八
嫯	龶 ＋ 折 ＋ 丿 ＋ 攵 ＋ 女	丰	女
謷	龶 ＋ 折 ＋ 丿 ＋ 攵 ＋ 言	丰	讠
摮	龶 ＋ 折 ＋ 丿 ＋ 攵 ＋ 手	丰	扌
䵅	龶 ＋ 折 ＋ 丿 ＋ 攵 ＋ 十 ＋ 人 ＋ 人 ＋ 丿 ＋ 丶 ＋ 夂	丰	又
鼇	龶 ＋ 折 ＋ 丿 ＋ 攵 ＋ 见二 ＋ 一 ＋ 一 ＋ 丨 ＋ 折 ＋ 一 ＋ 卢字头 ＋ 一 ＋ 彐	丰	争字底
㥿	龶 ＋ 折 ＋ 丿 ＋ 攵 ＋ 心	丰	忄
驁	龶 ＋ 折 ＋ 丿 ＋ 攵 ＋ 一 ＋ 丨 ＋ 举字底 ＋ 折 ＋ 灬	丰	火
鰲	龶 ＋ 折 ＋ 丿 ＋ 攵 ＋ 鱼省 ＋ 灬	丰	火
鷔	龶 ＋ 折 ＋ 丿 ＋ 攵 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	丰	火
嶴	向字框 ＋ 米 ＋ 大 ＋ 山	向	山
奧	向字框 ＋ 釆 ＋ 大	向	大
䴈	向字框 ＋ 米 ＋ 大 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	向	火
䐿	月 ＋ 向字框 ＋ 米 ＋ 大	月	大
墽	土 ＋ 白 ＋ 方 ＋ 攵	土	又
㘬	土 ＋ 勹 ＋ 厶	土	厶
垇	土 ＋ 丨 ＋ 折 ＋ 见二 ＋ 一	土	横
㘭	土 ＋ 幺 ＋ 折	土	折
墺	土 ＋ 向字框 ＋ 米 ＋ 大	土	大
哵	口 ＋ 口 ＋ 力 ＋ 刂	口	刀
詙	言 ＋ 左字框 ＋ 又 ＋ 丶	讠	点
炦	火 ＋ 左字框 ＋ 又 ＋ 丶	火	点
䈈	竹头 ＋ 月 ＋ 巴	竹	已
矲	矢 ＋ 罒 ＋ 厶 ＋ 青字底 ＋ 匕 ＋ 匕	矢	匕
㶚	氵 ＋ 覀 ＋ 革 ＋ 月	氵	月
茇	艹 ＋ 左字框 ＋ 又 ＋ 丶	艹	点
茷	艹 ＋ 亻 ＋ 戈	艹	戈
䶕	止 ＋ 人 ＋ 人 ＋ 一 ＋ 人 ＋ 人 ＋ 凵 ＋ 巴	止	已
犮	左字框 ＋ 又 ＋ 丶	十	点
䳊	左字框 ＋ 又 ＋ 丶 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	十	火
䆉	禾 ＋ 罒 ＋ 厶 ＋ 青字底 ＋ 匕 ＋ 匕	禾	匕
釟	全字头 ＋ 金字底 ＋ 八	人	八
釛	全字头 ＋ 金字底 ＋ 力	人	力
䇑	立 ＋ 白 ＋ 丿 ＋ 十	立	十
鼥	臼 ＋ 折 ＋ 冬字底 ＋ 折 ＋ 冬字底 ＋ 折 ＋ 左字框 ＋ 又 ＋ 丶	白	点
㞎	尸 ＋ 巴	尸	已
㸭	牜 ＋ 巴	牛	已
䩻	革 ＋ 一 ＋ 丨 ＋ 举字底 ＋ 折 ＋ 灬	廿	火
皅	白 ＋ 巴	白	已
鈀	全字头 ＋ 金字底 ＋ 巴	人	已
䥯	全字头 ＋ 金字底 ＋ 罒 ＋ 厶 ＋ 青字底 ＋ 匕 ＋ 匕	人	匕
䩗	革 ＋ 月	廿	月
颰	风省 ＋ 撇 ＋ 虫 ＋ 左字框 ＋ 又 ＋ 丶	几	点
峇	山 ＋ 全字头 ＋ 一 ＋ 口	山	口
㧊	扌 ＋ 一 ＋ 巾	扌	巾
抪	扌 ＋ 左字框 ＋ 巾	扌	巾
抜	扌 ＋ 左字框 ＋ 又	扌	又
䮂	一 ＋ 丨 ＋ 举字底 ＋ 折 ＋ 灬 ＋ 左字框 ＋ 又 ＋ 丶	横	点
軷	一 ＋ 日 ＋ 十 ＋ 左字框 ＋ 又 ＋ 丶	横	点
䯲	一 ＋ 卢字头 ＋ 二 ＋ 厶 ＋ 彡 ＋ 巴	横	已
癹	登字头 ＋ 殳	夕	殳
叐	撇 ＋ 左字框 ＋ 又	撇	又
丷	丷	八	八
㿬	皮 ＋ 巴	皮	已
弝	弓 ＋ 巴	折	已
紦	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 巴	纟	已
罷	罒 ＋ 厶 ＋ 青字底 ＋ 匕 ＋ 匕	皿	匕
覇	覀 ＋ 革 ＋ 月	西	月
䎬	耒 ＋ 罒 ＋ 土 ＋ 厶	耒	厶
䎱	耒 ＋ 罒 ＋ 厶 ＋ 青字底 ＋ 匕 ＋ 匕	耒	匕
䃻	石 ＋ 雨头 ＋ 革 ＋ 月	石	月
仈	亻 ＋ 八	亻	八
夿	大 ＋ 巴	大	已
䟦	足旁 ＋ 撇 ＋ 左字框 ＋ 又	足	又
跁	足旁 ＋ 巴	足	已
鮊	鱼省 ＋ 灬 ＋ 白	鱼	白
魞	鱼省 ＋ 灬 ＋ 入	鱼	人
鮁	鱼省 ＋ 灬 ＋ 左字框 ＋ 又 ＋ 丶	鱼	点
䰾	鱼省 ＋ 灬 ＋ 巴	鱼	已
㭭	木 ＋ 口 ＋ 力 ＋ 刂	木	刀
㭛	木 ＋ 反字框 ＋ 旅下角	木	氏
柭	木 ＋ 左字框 ＋ 又 ＋ 丶	木	点
豝	豕 ＋ 巴	豕	已
巼	巴 ＋ 口 ＋ 匕	已	匕
欛	木 ＋ 雨头 ＋ 革 ＋ 月	木	月
㔜	爫 ＋ 子 ＋ 力	爫	力
墢	土 ＋ 登字头 ＋ 弓 ＋ 殳	土	殳
垻	土 ＋ 目 ＋ 八	土	八
玐	王 ＋ 八	王	八
㺴	王 ＋ 犬	王	大
坺	土 ＋ 左字框 ＋ 又 ＋ 丶	土	点
壩	土 ＋ 雨头 ＋ 革 ＋ 月	土	月
髕	骨 ＋ 宀 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 目 ＋ 八	骨	八
訜	言 ＋ 八 ＋ 刀	讠	刀
汃	氵 ＋ 八	氵	八
濱	氵 ＋ 宀 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 目 ＋ 八	氵	八
濵	氵 ＋ 宀 ＋ 尸 ＋ 丨 ＋ 目 ＋ 八	氵	八
瀕	氵 ＋ 止 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 一 ＋ 自 ＋ 八	氵	八
頻	止 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 一 ＋ 自 ＋ 八	止	八
賓	宀 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 目 ＋ 八	宀	八
賔	宀 ＋ 尸 ＋ 丨 ＋ 目 ＋ 八	宀	八
顮	宀 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 目 ＋ 八 ＋ 一 ＋ 自 ＋ 八	宀	八
䨈	宀 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 目 ＋ 八 ＋ 隹	宀	隹
䚔	宀 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 目 ＋ 八 ＋ 目 ＋ 儿	宀	儿
贇	文 ＋ 一 ＋ 弋 ＋ 止 ＋ 目 ＋ 八	文	八
鑌	全字头 ＋ 金字底 ＋ 宀 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 目 ＋ 八	人	八
䧬	阝 ＋ 宀 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 目 ＋ 八	卩	八
㟗	山 ＋ 八 ＋ 刀 ＋ 八 ＋ 刀	山	刀
氞	气 ＋ 一 ＋ 冂 ＋ 人	气	人
擯	扌 ＋ 宀 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 目 ＋ 八	扌	八
鬂	一 ＋ 卢字头 ＋ 二 ＋ 厶 ＋ 彡 ＋ 撇 ＋ 卢字头 ＋ 丨 ＋ 一 ＋ 八	横	八
鬢	一 ＋ 卢字头 ＋ 二 ＋ 厶 ＋ 彡 ＋ 宀 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 目 ＋ 八	横	八
髩	一 ＋ 卢字头 ＋ 二 ＋ 厶 ＋ 彡 ＋ 一 ＋ 丨 ＋ 折 ＋ 折	横	折
繽	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 宀 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 目 ＋ 八	纟	八
虨	卜 ＋ 厂 ＋ 匕 ＋ 木 ＋ 木 ＋ 彡	卜	彡
殯	歹 ＋ 宀 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 目 ＋ 八	夕	八
砏	石 ＋ 八 ＋ 刀	石	刀
儐	亻 ＋ 宀 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 目 ＋ 八	亻	八
霦	雨头 ＋ 木 ＋ 木 ＋ 彡	雨	彡
㯽	木 ＋ 宀 ＋ 尸 ＋ 丨 ＋ 目 ＋ 八	木	八
梹	木 ＋ 撇 ＋ 卢字头 ＋ 丨 ＋ 一 ＋ 八	木	八
檳	木 ＋ 宀 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 目 ＋ 八	木	八
椕	木 ＋ 八 ＋ 刀 ＋ 木	木	木
豩	豕 ＋ 豕	豕	豕
臏	月 ＋ 宀 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 目 ＋ 八	月	八
䐔	月 ＋ 户 ＋ 冂 ＋ 艹	月	艹
瑸	王 ＋ 宀 ＋ 撇 ＋ 卢字头 ＋ 丨 ＋ 一 ＋ 八	王	八
璸	王 ＋ 宀 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 目 ＋ 八	王	八
㻞	王 ＋ 户 ＋ 冂 ＋ 艹	王	艹
嘐	口 ＋ 习 ＋ 习 ＋ 全字头 ＋ 彡	口	彡
嚗	口 ＋ 暴	口	暴
骲	骨 ＋ 勹 ＋ 巳	骨	已
媬	女 ＋ 亻 ＋ 口 ＋ 木	女	木
䈏	竹头 ＋ 一 ＋ 口 ＋ 田	竹	田
笣	竹头 ＋ 勹 ＋ 巳	竹	已
㵡	氵 ＋ 雨头 ＋ 勹 ＋ 巳	氵	已
蕔	艹 ＋ 土 ＋ 南字心 ＋ 卩 ＋ 又	艹	又
藵	艹 ＋ 亻 ＋ 口 ＋ 木 ＋ 衣	艹	衣
菢	艹 ＋ 扌 ＋ 勹 ＋ 巳	艹	已
齙	止 ＋ 人 ＋ 人 ＋ 一 ＋ 人 ＋ 人 ＋ 凵 ＋ 勹 ＋ 巳	止	已
寳	宀 ＋ 王 ＋ ⺈ ＋ 小 ＋ 目 ＋ 八	宀	八
寶	宀 ＋ 王 ＋ 缶 ＋ 目 ＋ 八	宀	八
寚	宀 ＋ 王 ＋ 缶	宀	击
䴐	宀 ＋ 王 ＋ 缶 ＋ 目 ＋ 八 ＋ 丿 ＋ 见二 ＋ 三 ＋ 折 ＋ 灬	宀	火
宲	宀 ＋ 口 ＋ 木	宀	木
窇	宀 ＋ 八 ＋ 勹 ＋ 巳	宀	已
蚫	虫 ＋ 勹 ＋ 巳	虫	已
飹	全字头 ＋ 丶 ＋ 即字旁 ＋ 卯	人	卵
鑤	全字头 ＋ 金字底 ＋ 暴	人	暴
䪨	音 ＋ 勹 ＋ 丶	音	点
袌	亠 ＋ 勹 ＋ 巳 ＋ 衣省	亠	衣
襃	亠 ＋ 印字旁 ＋ 口 ＋ 木 ＋ 衣省	亠	衣
䥤	全字头 ＋ 金字底 ＋ 雨头 ＋ 勹 ＋ 巳	人	已
䭋	全字头 ＋ 丶 ＋ 即字旁 ＋ 亻 ＋ 口 ＋ 木	人	木
鉋	全字头 ＋ 金字底 ＋ 勹 ＋ 巳	人	已
飽	全字头 ＋ 丶 ＋ 即字旁 ＋ 勹 ＋ 巳	人	已
䯽	一 ＋ 卢字头 ＋ 二 ＋ 厶 ＋ 彡 ＋ 立 ＋ 口	横	口
