word	code	source	thuocl_df	xinhua	keep_reason	corpus_source_count	corpus_total_count	idiom_dual	ime_dual
奥妙无穷	amwq	简单鹤		1		0	0	0	0
爱慕已久	amyj	简单鹤		0		0	0	0	0
按耐不住	anbv	简单鹤		0		0	0	0	0
懊恼不已	anby	简单鹤		0		0	0	0	0
碍难从命	ancm	简单鹤		1		0	0	0	0
安培定则	apdz	简单鹤		0		0	0	0	0
安贫乐贱	aplj	简单鹤		1		0	0	0	0
安贫若素	aprs	简单鹤		0		0	0	0	0
安排妥当	aptd	简单鹤		0		0	0	0	0
安排生活	apuh	简单鹤		0		0	0	0	0
安排时间	apuj	简单鹤		0		0	0	0	0
爱去不去	aqbq	简单鹤		0		0	0	0	0
哀其不争	aqbv	简单鹤		0		0	0	0	0
哀其不幸	aqbx	简单鹤		0		0	0	0	0
安全管家	aqgj	简单鹤		0		0	0	0	0
爱情故事	aqgu	简单鹤		0		0	0	0	0
爱情公寓	aqgy	简单鹤		0		0	0	0	0
按期还款	aqhk	简单鹤		0		0	0	0	0
安全出口	aqik	简单鹤		0		0	0	0	0
爱情长跑	aqip	简单鹤		0		0	0	0	0
奥奇传说	aqiu	简单鹤		0		0	0	0	0
安全出行	aqix	简单鹤		0		0	0	0	0
安全级别	aqjb	简单鹤		0		0	0	0	0
安全距离	aqjl	简单鹤		0		0	0	0	0
爱情买卖	aqmm	简单鹤		0		0	0	0	0
安全起见	aqqj	简单鹤		0		0	0	0	0
安全气囊	aqqn	简单鹤		0		0	0	0	0
安全提示	aqtu	简单鹤		0		0	0	0	0
暗区突围	aqtw	简单鹤		0		0	0	0	0
安全设备	aqub	简单鹤		0		0	0	0	0
安全事故	aqug	简单鹤		0		0	0	0	0
安全施工	aqug	简单鹤		0		0	0	0	0
安全声明	aqum	简单鹤		0		0	0	0	0
安全设施	aquu	简单鹤		0		0	0	0	0
安全使用	aquy	简单鹤		0		0	0	0	0
安全着陆	aqvl	简单鹤		0		0	0	0	0
安全卫士	aqwu	简单鹤		0		0	0	0	0
安全隐患	aqyh	简单鹤		0		0	0	0	0
安全因素	aqys	简单鹤		0		0	0	0	0
安全意识	aqyu	简单鹤		0		0	0	0	0
安全运输	aqyu	简单鹤		0		0	0	0	0
安全有效	aqyx	简单鹤		0		0	0	0	0
爱如潮水	ariu	简单鹤		0		0	0	0	0
爱如己出	arji	简单鹤		1		0	0	0	0
黯然离场	arli	简单鹤		0		0	0	0	0
安然如故	arrg	简单鹤		1		0	0	0	0
爱人如己	arrj	简单鹤		0		0	0	0	0
安然入眠	arrm	简单鹤		0		0	0	0	0
安然入睡	arru	简单鹤		0		0	0	0	0
爱如珍宝	arvb	简单鹤		1		0	0	0	0
矮人一等	aryd	简单鹤		0		0	0	0	0
昂然自得	arzd	简单鹤		1		0	0	0	0
艾斯爱慕	asam	简单鹤		0		0	0	0	0
阿斯巴甜	asbt	简单鹤		0		0	0	0	0
艾特全体	atqt	简单鹤		0		0	0	0	0
奥特之父	atvf	简单鹤		0		0	0	0	0
奥特之母	atvm	简单鹤		0		0	0	0	0
奥特之王	atvw	简单鹤		0		0	0	0	0
爱说爱笑	auax	简单鹤		0		0	0	0	0
安神补脑	aubn	简单鹤		0		0	0	0	0
爱睡不睡	aubu	简单鹤		0		0	0	0	0
爱说不说	aubu	简单鹤		0		0	0	0	0
安神定惊	audj	简单鹤		0		0	0	0	0
安神定魄	audp	简单鹤		1		0	0	0	0
安神定志	audv	简单鹤		0		0	0	0	0
奥数魔刃	aumr	简单鹤		0		0	0	0	0
爱是你我	aunw	简单鹤		0		0	0	0	0
按时起床	auqi	简单鹤		0		0	0	0	0
暗生情愫	auqs	简单鹤		0		0	0	0	0
安适如常	auri	简单鹤		1		0	0	0	0
昂首挺立	autl	简单鹤		0		0	0	0	0
安身之所	auvs	简单鹤		0		0	0	0	0
昂首望天	auwt	简单鹤		1		0	0	0	0
昂首屹立	auyl	简单鹤		0		0	0	0	0
暗中调查	avdi	简单鹤		0		0	0	0	0
安装到位	avdw	简单鹤		0		0	0	0	0
螯肢动物	avdw	简单鹤		0		0	0	0	0
安枕而卧	avew	简单鹤		1		0	0	0	0
按照规定	avgd	简单鹤		0		0	0	0	0
安装过程	avgi	简单鹤		0		0	0	0	0
暗中观察	avgi	简单鹤		0		0	0	0	0
按照惯例	avgl	简单鹤		0		0	0	0	0
癌症患者	avhv	简单鹤		0		0	0	0	0
按照传统	avit	简单鹤		0		0	0	0	0
安装程序	avix	简单鹤		0		0	0	0	0
按照计划	avjh	简单鹤		0		0	0	0	0
安装教程	avji	简单鹤		0		0	0	0	0
安装目录	avml	简单鹤		0		0	0	0	0
安卓平板	avpb	简单鹤		0		0	0	0	0
暗中盘算	avpo	简单鹤		0		0	0	0	0
安卓软件	avrj	简单鹤		0		0	0	0	0
安装软件	avrj	简单鹤		0		0	0	0	0
暗中算计	avsj	简单鹤		0		0	0	0	0
安卓思维	avsw	简单鹤		0		0	0	0	0
安装文件	avwj	简单鹤		0		0	0	0	0
癌症晚期	avwq	简单鹤		0		0	0	0	0
安卓系统	avxt	简单鹤		0		0	0	0	0
暗中相助	avxv	简单鹤		0		0	0	0	0
暗中作梗	avzg	简单鹤		0		0	0	0	0
安危祸福	awhf	简单鹤		0		0	0	0	0
啊我死了	awsl	简单鹤		0		0	0	0	0
阿伟死了	awsl	简单鹤		0		0	0	0	0
爱我中华	awvh	简单鹤		0		0	0	0	0
安慰一下	awyx	简单鹤		0		0	0	0	0
按下不表	axbb	简单鹤		0		0	0	0	0
爱信不信	axbx	简单鹤		0		0	0	0	0
奥匈帝国	axdg	简单鹤		0		0	0	0	0
安心定志	axdv	简单鹤		1		0	0	0	0
按需定制	axdv	简单鹤		0		0	0	0	0
熬心费力	axfl	简单鹤		1		0	0	0	0
爱惜公物	axgw	简单鹤		0		0	0	0	0
安心工作	axgz	简单鹤		0		0	0	0	0
爱心捐款	axjk	简单鹤		0		0	0	0	0
按下快门	axkm	简单鹤		0		0	0	0	0
安心乐意	axly	简单鹤		1		0	0	0	0
爱惜人才	axrc	简单鹤		0		0	0	0	0
安享天年	axtn	简单鹤		0		0	0	0	0
爱惜生命	axum	简单鹤		0		0	0	0	0
爱心助学	axvx	简单鹤		0		0	0	0	0
安下心来	axxl	简单鹤		0		0	0	0	0
按需选择	axxz	简单鹤		0		0	0	0	0
锕系元素	axys	简单鹤		0		0	0	0	0
安闲自得	axzd	简单鹤		1		0	0	0	0
爱惜自己	axzj	简单鹤		0		0	0	0	0
昂扬不灭	aybm	简单鹤		0		0	0	0	0
奥运冠军	aygj	简单鹤		0		0	0	0	0
爱一个人	aygr	简单鹤		0		0	0	0	0
奥运健儿	ayje	简单鹤		0		0	0	0	0
暗夜精灵	ayjl	简单鹤		0		0	0	0	0
奥运精神	ayju	简单鹤		0		0	0	0	0
哎呀妈呀	aymy	简单鹤		0		0	0	0	0
唉呀妈呀	aymy	简单鹤		0		0	0	0	0
碍于面子	aymz	简单鹤		0		0	0	0	0
遨游四海	aysh	简单鹤		0		0	0	0	0
遨游世界	ayuj	简单鹤		0		0	0	0	0
按月支付	ayvf	简单鹤		0		0	0	0	0
安有完卵	aywl	简单鹤		0		0	0	0	0
哎呀我去	aywq	简单鹤		0		0	0	0	0
哎呦我去	aywq	简单鹤		0		0	0	0	0
哎哟我去	aywq	简单鹤		0		0	0	0	0
昂扬向上	ayxu	简单鹤		0		0	0	0	0
俺也一样	ayyy	简单鹤		0		0	0	0	0
安于一隅	ayyy	简单鹤		1		0	0	0	0
肮脏不堪	azbk	简单鹤		0		0	0	0	0
爱走极端	azjd	简单鹤		0		0	0	0	0
按资论辈	azlb	简单鹤		0		0	0	0	0
按资排辈	azpb	简单鹤		0		0	0	0	0
腌臜泼才	azpc	简单鹤		0		0	0	0	0
暗自庆幸	azqx	简单鹤		0		0	0	0	0
暗自思量	azsl	简单鹤		0		0	0	0	0
暗自神伤	azuu	简单鹤		0		0	0	0	0
爱咋咋地	azzd	简单鹤		0		0	0	0	0
爱咋咋的	azzd	简单鹤		0		0	0	0	0
报案电话	badh	简单鹤		0		0	0	0	0
保安队长	badv	简单鹤		0		0	0	0	0
不安好心	bahx	简单鹤		0		0	0	0	0
不按常理	bail	简单鹤		0		0	0	0	0
不爱吃肉	bair	简单鹤		0		0	0	0	0
不安其位	baqw	简单鹤		0		0	0	0	0
不按套路	batl	简单鹤		0		0	0	0	0
不爱说话	bauh	简单鹤		0		0	0	0	0
不按顺序	baux	简单鹤		0		0	0	0	0
不安现状	baxv	简单鹤		0		0	0	0	0
宝贝不错	bbbc	简单鹤		0		0	0	0	0
版本编号	bbbh	简单鹤		0		0	0	0	0
辨别不出	bbbi	简单鹤		0		0	0	0	0
步步逼近	bbbj	简单鹤		0		0	0	0	0
表白被拒	bbbj	简单鹤		0		0	0	0	0
斑驳不堪	bbbk	简单鹤		0		0	0	0	0
半表半里	bbbl	简单鹤		0		0	0	0	0
报不报名	bbbm	简单鹤		0		0	0	0	0
百病不侵	bbbq	简单鹤		0		0	0	0	0
宝宝巴士	bbbu	简单鹤		0		0	0	0	0
不悲不喜	bbbx	简单鹤		0		0	0	0	0
包不包邮	bbby	简单鹤		0		0	0	0	0
并不存在	bbcz	简单鹤		0		0	0	0	0
版本答案	bbda	简单鹤		0		0	0	0	0
并不代表	bbdb	简单鹤		0		0	0	0	0
并不多见	bbdj	简单鹤		0		0	0	0	0
不必多礼	bbdl	简单鹤		0		0	0	0	0
不必多虑	bbdl	简单鹤		0		0	0	0	0
百般抵赖	bbdl	简单鹤		0		0	0	0	0
不变的是	bbdu	简单鹤		0		0	0	0	0
不必多说	bbdu	简单鹤		0		0	0	0	0
并不都是	bbdu	简单鹤		0		0	0	0	0
不必当真	bbdv	简单鹤		0		0	0	0	0
不必担心	bbdx	简单鹤		0		0	0	0	0
不必多言	bbdy	简单鹤		0		0	0	0	0
不被定义	bbdy	简单鹤		0		0	0	0	0
并不等于	bbdy	简单鹤		0		0	0	0	0
碧波荡漾	bbdy	简单鹤		0		0	0	0	0
奔波儿灞	bbeb	简单鹤		0		0	0	0	0
灞波儿奔	bbeb	简单鹤		0		0	0	0	0
暴毙而亡	bbew	简单鹤		0		0	0	0	0
宝贝儿子	bbez	简单鹤		0		0	0	0	0
并不反对	bbfd	简单鹤		0		0	0	0	0
并不符合	bbfh	简单鹤		0		0	0	0	0
百般奉承	bbfi	简单鹤		1		0	0	0	0
不必烦恼	bbfn	简单鹤		0		0	0	0	0
不包分配	bbfp	简单鹤		0		0	0	0	0
并不否认	bbfr	简单鹤		0		0	0	0	0
避避风头	bbft	简单鹤		0		0	0	0	0
不避风险	bbfx	简单鹤		0		0	0	0	0
并不复杂	bbfz	简单鹤		0		0	0	0	0
并不感冒	bbgm	简单鹤		0		0	0	0	0
并不公平	bbgp	简单鹤		0		0	0	0	0
不必管他	bbgt	简单鹤		0		0	0	0	0
版本更新	bbgx	简单鹤		0		0	0	0	0
百般呵护	bbhh	简单鹤		0		0	0	0	0
宝贝回家	bbhj	简单鹤		0		0	0	0	0
并不好看	bbhk	简单鹤		0		0	0	0	0
版本红利	bbhl	简单鹤		0		0	0	0	0
不抱幻想	bbhx	简单鹤		0		0	0	0	0
表白成功	bbig	简单鹤		0		0	0	0	0
不被察觉	bbij	简单鹤		0		0	0	0	0
不败传说	bbiu	简单鹤		0		0	0	0	0
步步紧逼	bbjb	简单鹤		0		0	0	0	0
并不觉得	bbjd	简单鹤		0		0	0	0	0
八部金刚	bbjg	简单鹤		0		0	0	0	0
步步紧跟	bbjg	简单鹤		0		0	0	0	0
不必惊慌	bbjh	简单鹤		0		0	0	0	0
并不仅仅	bbjj	简单鹤		0		0	0	0	0
并不尽然	bbjr	简单鹤		0		0	0	0	0
步步惊心	bbjx	简单鹤		0		0	0	0	0
不被看好	bbkh	简单鹤		0		0	0	0	0
并不看好	bbkh	简单鹤		0		0	0	0	0
并不可靠	bbkk	简单鹤		0		0	0	0	0
并不可能	bbkn	简单鹤		0		0	0	0	0
并不可怕	bbkp	简单鹤		0		0	0	0	0
不必客气	bbkq	简单鹤		0		0	0	0	0
并不看重	bbkv	简单鹤		0		0	0	0	0
并不开心	bbkx	简单鹤		0		0	0	0	0
并不可以	bbky	简单鹤		0		0	0	0	0
白白浪费	bblf	简单鹤		0		0	0	0	0
宝贝老公	bblg	简单鹤		0		0	0	0	0
步步莲花	bblh	简单鹤		1		0	0	0	0
版本落后	bblh	简单鹤		0		0	0	0	0
不被理解	bblj	简单鹤		0		0	0	0	0
并不了解	bblj	简单鹤		0		0	0	0	0
奔波劳苦	bblk	简单鹤		0		0	0	0	0
冰冰凉凉	bbll	简单鹤		0		0	0	0	0
奔波劳碌	bbll	简单鹤	232	0		0	0	0	0
宝贝老婆	bblp	简单鹤		0		0	0	0	0
并不理想	bblx	简单鹤		0		0	0	0	0
半部论语	bbly	简单鹤		1		0	0	0	0
并不明白	bbmb	简单鹤		0		0	0	0	0
并不矛盾	bbmd	简单鹤		0		0	0	0	0
比表面积	bbmj	简单鹤		0		0	0	0	0
奔波忙碌	bbml	简单鹤		0		0	0	0	0
不必勉强	bbmq	简单鹤		0		0	0	0	0
不便明说	bbmu	简单鹤		0		0	0	0	0
并不满足	bbmz	简单鹤		0		0	0	0	0
宝贝女儿	bbne	简单鹤		0		0	0	0	0
别不耐烦	bbnf	简单鹤		0		0	0	0	0
并不能够	bbng	简单鹤		0		0	0	0	0
啵啵奶茶	bbni	简单鹤		0		0	0	0	0
并不确定	bbqd	简单鹤		0		0	0	0	0
遍布全国	bbqg	简单鹤		0		0	0	0	0
并不清楚	bbqi	简单鹤		0		0	0	0	0
并不全是	bbqu	简单鹤		0		0	0	0	0
版本前瞻	bbqv	简单鹤		0		0	0	0	0
并不起眼	bbqy	简单鹤		0		0	0	0	0
百般劝阻	bbqz	简单鹤		0		0	0	0	0
不被认可	bbrk	简单鹤		0		0	0	0	0
并不认识	bbru	简单鹤		0		0	0	0	0
并不认为	bbrw	简单鹤		0		0	0	0	0
并不容易	bbry	简单鹤		0		0	0	0	0
被捕入狱	bbry	简单鹤		0		0	0	0	0
并不太好	bbth	简单鹤		0		0	0	0	0
不便透露	bbtl	简单鹤		0		0	0	0	0
八部天龙	bbtl	简单鹤		0		0	0	0	0
巴巴托斯	bbts	简单鹤		0		0	0	0	0
芭芭脱丝	bbts	简单鹤		0		0	0	0	0
并不同意	bbty	简单鹤		0		0	0	0	0
百八十遍	bbub	简单鹤		0		0	0	0	0
百八十个	bbug	简单鹤		0		0	0	0	0
不败神话	bbuh	简单鹤		0		0	0	0	0
并不适合	bbuh	简单鹤		0		0	0	0	0
遍布伤痕	bbuh	简单鹤		0		0	0	0	0
步步生莲	bbul	简单鹤		0		0	0	0	0
帮不上忙	bbum	简单鹤		0		0	0	0	0
百八十人	bbur	简单鹤		0		0	0	0	0
并不是说	bbuu	简单鹤		0		0	0	0	0
补办手续	bbux	简单鹤		0		0	0	0	0
补补身子	bbuz	简单鹤		0		0	0	0	0
并不值得	bbvd	简单鹤		0		0	0	0	0
并不知道	bbvd	简单鹤		0		0	0	0	0
不便之处	bbvi	简单鹤		0		0	0	0	0
并不支持	bbvi	简单鹤		0		0	0	0	0
八拜至交	bbvj	简单鹤		0		0	0	0	0
憋不住了	bbvl	简单鹤		0		0	0	0	0
绷不住了	bbvl	简单鹤		0		0	0	0	0
蚌埠住了	bbvl	简单鹤		0		0	0	0	0
北部战区	bbvq	简单鹤		0		0	0	0	0
并不知情	bbvq	简单鹤		0		0	0	0	0
不败战神	bbvu	简单鹤		0		0	0	0	0
并不只是	bbvu	简单鹤		0		0	0	0	0
背部指纹	bbvw	简单鹤		0		0	0	0	0
并不重要	bbvy	简单鹤		0		0	0	0	0
版本之子	bbvz	简单鹤		0		0	0	0	0
并不违背	bbwb	简单鹤		0		0	0	0	0
并不为过	bbwg	简单鹤		0		0	0	0	0
被逼无奈	bbwn	简单鹤		0		0	0	0	0
必备物品	bbwp	简单鹤		0		0	0	0	0
并不完全	bbwq	简单鹤		0		0	0	0	0
并不习惯	bbxg	简单鹤		0		0	0	0	0
并不喜欢	bbxh	简单鹤		0		0	0	0	0
斑斑血迹	bbxj	简单鹤		0		0	0	0	0
癍癍血迹	bbxj	简单鹤		0		0	0	0	0
编不下去	bbxq	简单鹤		0		0	0	0	0
并不相同	bbxt	简单鹤		0		0	0	0	0
不便细说	bbxu	简单鹤		0		0	0	0	0
不抱希望	bbxw	简单鹤		0		0	0	0	0
并不希望	bbxw	简单鹤		0		0	0	0	0
并不想要	bbxy	简单鹤		0		0	0	0	0
并不需要	bbxy	简单鹤		0		0	0	0	0
不必要的	bbyd	简单鹤		0		0	0	0	0
并不一定	bbyd	简单鹤		0		0	0	0	0
本不应该	bbyg	简单鹤		0		0	0	0	0
被边缘化	bbyh	简单鹤		0		0	0	0	0
不拔一毛	bbym	简单鹤		1		0	0	0	0
并不一致	bbyv	简单鹤		0		0	0	0	0
并不因为	bbyw	简单鹤		0		0	0	0	0
并不意外	bbyw	简单鹤		0		0	0	0	0
不必言谢	bbyx	简单鹤		0		0	0	0	0
不被允许	bbyx	简单鹤		0		0	0	0	0
并不影响	bbyx	简单鹤		0		0	0	0	0
并不一样	bbyy	简单鹤		0		0	0	0	0
病病殃殃	bbyy	简单鹤		0		0	0	0	0
并不在乎	bbzh	简单鹤		0		0	0	0	0
并不怎么	bbzm	简单鹤		0		0	0	0	0
百般阻挠	bbzn	简单鹤		0		0	0	0	0
并不赞同	bbzt	简单鹤		0		0	0	0	0
并不总是	bbzu	简单鹤		0		0	0	0	0
奔波在外	bbzw	简单鹤		0		0	0	0	0
不必在意	bbzy	简单鹤		0		0	0	0	0
并不在于	bbzy	简单鹤		0		0	0	0	0
八辈祖宗	bbzz	简单鹤		0		0	0	0	0
并存不悖	bcbb	简单鹤		1		0	0	0	0
别踩白块	bcbk	简单鹤		0		0	0	0	0
本次发布	bcfb	简单鹤		0		0	0	0	0
保存回放	bchf	简单鹤		0		0	0	0	0
本次会议	bchy	简单鹤		0		0	0	0	0
不存芥蒂	bcjd	简单鹤		1		0	0	0	0
不曾离开	bclk	简单鹤		0		0	0	0	0
不曾离去	bclq	简单鹤		0		0	0	0	0
百辞莫辩	bcmb	简单鹤		1		0	0	0	0
本次评估	bcpg	简单鹤		0		0	0	0	0
本次评选	bcpx	简单鹤		0		0	0	0	0
保存期限	bcqx	简单鹤		0		0	0	0	0
保存体力	bctl	简单鹤		0		0	0	0	0
百层挑战	bctv	简单鹤		0		0	0	0	0
不曾停歇	bctx	简单鹤		0		0	0	0	0
保存设置	bcuv	简单鹤		0		0	0	0	0
彼苍者天	bcvt	简单鹤		0		0	0	0	0
保存完好	bcwh	简单鹤		0		0	0	0	0
彼此相关	bcxg	简单鹤		0		0	0	0	0
彼此信任	bcxr	简单鹤		0		0	0	0	0
饱餐一顿	bcyd	简单鹤		0		0	0	0	0
不存在了	bczl	简单鹤		0		0	0	0	0
被动挨打	bdad	简单鹤		0		0	0	0	0
不得安宁	bdan	简单鹤		0		0	0	0	0
不得不爱	bdba	简单鹤		0		0	0	0	0
不得不服	bdbf	简单鹤		0		0	0	0	0
不得不看	bdbk	简单鹤		0		0	0	0	0
百度百科	bdbk	简单鹤		0		0	0	0	0
不得不来	bdbl	简单鹤		0		0	0	0	0
表弟表妹	bdbm	简单鹤		0		0	0	0	0
病得不轻	bdbq	简单鹤		0		0	0	0	0
不得不说	bdbu	简单鹤		0		0	0	0	0
不当不正	bdbv	简单鹤		1		0	0	0	0
保大保小	bdbx	简单鹤		0		0	0	0	0
不得不用	bdby	简单鹤		0		0	0	0	0
不叠被子	bdbz	简单鹤		0		0	0	0	0
不得不做	bdbz	简单鹤		0		0	0	0	0
不得不走	bdbz	简单鹤		0		0	0	0	0
百度词典	bdcd	简单鹤		0		0	0	0	0
不打草稿	bdcg	简单鹤		0		0	0	0	0
本地磁盘	bdcp	简单鹤		0		0	0	0	0
不道德的	bddd	简单鹤		0		0	0	0	0
别的地方	bddf	简单鹤		0		0	0	0	0
不懂道理	bddl	简单鹤		0		0	0	0	0
百度地图	bddt	简单鹤		0		0	0	0	0
不单单是	bddu	简单鹤		0		0	0	0	0
遍地都是	bddu	简单鹤		0		0	0	0	0
别的东西	bddx	简单鹤		0		0	0	0	0
不登大雅	bddy	简单鹤		1		0	0	0	0
不断恶化	bdeh	简单鹤		0		0	0	0	0
白得发光	bdfg	简单鹤		0		0	0	0	0
白的发光	bdfg	简单鹤		0		0	0	0	0
不定方程	bdfi	简单鹤		0		0	0	0	0
本地服务	bdfw	简单鹤		0		0	0	0	0
波动范围	bdfw	简单鹤		0		0	0	0	0
不断发现	bdfx	简单鹤		0		0	0	0	0
百度翻译	bdfy	简单鹤		0		0	0	0	0
不断改变	bdgb	简单鹤		0		0	0	0	0
不懂规矩	bdgj	简单鹤		0		0	0	0	0
不得干涉	bdgu	简单鹤		0		0	0	0	0
不断改善	bdgu	简单鹤		0		0	0	0	0
不懂行情	bdhq	简单鹤		0		0	0	0	0
不大会玩	bdhw	简单鹤		0		0	0	0	0
白底红字	bdhz	简单鹤		0		0	0	0	0
白底黑字	bdhz	简单鹤		0		0	0	0	0
半点差错	bdic	简单鹤		0		0	0	0	0
不断尝试	bdiu	简单鹤		0		0	0	0	0
不定积分	bdjf	简单鹤		0		0	0	0	0
八大金刚	bdjg	简单鹤		0		0	0	0	0
不断积累	bdjl	简单鹤		0		0	0	0	0
