word	code	score	groups	written	dialogue	subtitle	simple	tiger	ice
我们	womf	4.923866341373366	6	0.9391460482323065	0.843762371918922	1.0	1	1	1
什么	uime	4.881518814503786	6	0.8700354270353745	0.9395590349811688	0.9354227358352439	1	1	1
一个	yige	4.822631659671231	6	1.0	0.8596604252406714	0.8500562360448901	1	1	1
没有	mwyz	4.672840332529195	6	0.8880546100882334	0.8791180699623374	0.818708699594058	1	1	1
知道	vidc	4.641352313212193	6	0.8291613589783096	0.8303207593604726	0.8976474578996976	1	1	1
可以	keyi	4.596481254851161	6	0.8428647793147722	0.9042033369377532	0.7765993705033497	1	1	1
自己	ziji	4.458920262416633	6	0.858701499705672	0.8186771049435062	0.741690943340976	1	1	1
这个	vege	4.4473922723638735	6	0.8174381446969194	0.7833214069000907	0.8062682075057319	1	1	1
他们	tamf	4.42249312695325	6	0.9035487684275119	0.6201042243604624	0.870845471670488	1	1	1
现在	xmzd	4.400755562107575	6	0.792876416453854	0.7909086145529043	0.785478971880134	1	1	1
怎么	zfme	4.39832511591943	6	0.7712136892431868	0.7992194602218401	0.7952949157993952	1	1	1
你们	nimf	4.3516221824515995	6	0.7414968239842459	0.7529498013962155	0.8330701937349416	1	1	1
这样	veyh	4.302432504130105	6	0.8070975368550237	0.7265915500534421	0.7610357267958474	1	1	1
喜欢	xihr	4.2615472029549455	6	0.7503935943333937	0.8084066738755065	0.7001124720897802	1	1	1
时候	uihz	4.256325164373486	6	0.7665980599053583	0.7638637621784247	0.7256804628116185	1	1	1
哈哈	haha	4.243121559337585	6	0.9440273050441167	1.0	0.31560676406511134	1	1	1
因为	ybww	4.2301233726306675	6	0.7894799151358121	0.7005635941074839	0.7477036939445877	1	1	1
这么	veme	4.221530127227053	6	0.7433672925629708	0.7763418524415404	0.7078807445980658	1	1	1
已经	yijk	4.197651736020195	6	0.7818408648921249	0.70943882932281	0.7209017077153781	1	1	1
觉得	jtde	4.188438987425856	6	0.7309193894030057	0.7582361399246749	0.7120221063385936	1	1	1
起来	qild	4.1066303668126425	6	0.7978475479379784	0.6740831312793945	0.6714655681721966	1	1	1
问题	wfti	4.095598498837263	6	0.8425767151524729	0.6346709864718263	0.6611031986468624	1	1	1
工作	gszo	4.086256472774238	6	0.8878493890383149	0.5950189573850466	0.6517788933289996	1	1	1
还是	hdui	4.084793524760142	6	0.7622320490953184	0.7698797943416413	0.5917471793858661	1	1	1
但是	djui	4.0818512362884585	6	0.717402999411344	0.6700266845152417	0.7307176516346392	1	1	1
那么	name	4.075617061349932	6	0.7106463052825356	0.7159008874227091	0.6862848779702824	1	1	1
那个	nage	4.04507744773073	6	0.7139596681052911	0.6925088363773843	0.6831264297798316	1	1	1
如果	rugo	4.04398192279478	6	0.7013963163654904	0.6178965651653463	0.7684929295701856	1	1	1
今天	jbtm	4.04370967421386	6	0.722700281167153	0.7479657088566752	0.6185491656150757	1	1	1
一样	yiyh	4.027846891699809	6	0.7462435850873302	0.6851356113607878	0.6474448421738377	1	1	1
谢谢	xpxp	4.026954142800059	6	0.612732578578554	0.7387784952030089	0.7163561574937556	1	1	1
可能	keng	4.021394455238773	6	0.7062593541394351	0.6680670991161779	0.6964584626310913	1	1	1
一起	yiqi	4.0150315945584145	6	0.6824990666738076	0.7228804418812594	0.658683184695545	1	1	1
还有	hdyz	4.008018899403578	6	0.698517576680032	0.6977951749058436	0.663587753853802	1	1	1
时间	uijm	4.005357611202984	6	0.725348109510112	0.6805451893792936	0.6540239489213598	1	1	1
出来	iuld	3.988634477439247	6	0.756584192929226	0.6951119514906575	0.5977599299894778	1	1	1
看到	kjdc	3.975615811373222	6	0.692606181896616	0.7063789406113472	0.6355352079250243	1	1	1
应该	ykgd	3.9648976350068983	6	0.6641638302647004	0.682810196738594	0.6771136791762199	1	1	1
东西	dsxi	3.959685876789848	6	0.704372658834135	0.6387274332359791	0.6800715561400872	1	1	1
回来	hvld	3.944153088869999	6	0.6654355341760139	0.7345240962982258	0.6082685559008374	1	1	1
告诉	gcsu	3.9428496154300317	6	0.6565490476436504	0.5958614555381222	0.754131435429302	1	1	1
一下	yixx	3.9270743054671975	6	0.6657990365606957	0.6899811846011439	0.6393384012406735	1	1	1
所以	soyi	3.924943317768559	6	0.6619813179306411	0.6624394768624282	0.6687649356389482	1	1	1
感觉	gjjt	3.918282441693435	6	0.6569275113942634	0.730467649534073	0.6002780643277108	1	1	1
这里	veli	3.9069434401316103	6	0.6829841761519673	0.5619282667009315	0.7360428323369526	1	1	1
需要	xuyc	3.903687694294391	6	0.6764017163246514	0.6086004222276837	0.6929423736990927	1	1	1
开始	kdui	3.888245649433811	6	0.6735174265259392	0.6360022776822118	0.6563244435506221	1	1	1
一直	yivi	3.8781713523195767	6	0.653538838135374	0.687524743837844	0.6154942919753311	1	1	1
不要	buyc	3.873682963976965	6	0.6431718625774909	0.7126100108132598	0.5965259344821063	1	1	1
不过	bugo	3.8670774314926226	6	0.6957302411615325	0.6444473772352499	0.6110919628407375	1	1	1
孩子	hdzi	3.8631024210905296	6	0.6878628586839816	0.5854970105736848	0.6742468284030474	1	1	1
这些	vexp	3.8452002065799418	6	0.7327101274058214	0.5384350384477756	0.6661403874698831	1	1	1
