word	code	source	thuocl_df	xinhua	keep_reason	corpus_source_count	corpus_total_count	idiom_dual	ime_dual
移山填海	yuth	简单鹤	80	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源;输入法双源	2	120	1	1
嘻皮笑脸	xpxl	THUOCL+新华补充	38	1	真实语料:literature_word_freq,news_total_word_freq;成语双源	2	120	1	0
干劲冲天	gjit	简单鹤		0	真实语料:news_total_word_freq,subtlex;输入法双源	2	120	0	1
为时不远	wuby	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	120	0	1
先公后私	xghs	简单鹤	258	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源;输入法双源	2	119	1	1
饶有风趣	ryfq	简单鹤	29	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源;输入法双源	2	119	1	1
滥砍滥伐	lklf	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq;输入法双源	2	119	0	1
能源集团	nyjt	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	119	0	0
死生有命	suym	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	119	0	0
雨雪交加	yxjj	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	119	0	0
名声在外	muzw	简单鹤	1878	0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	118	0	1
吹糠见米	ikjm	简单鹤	107	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源;输入法双源	2	118	1	1
文不对题	wbdt	简单鹤		1	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	118	0	1
一九九九	yjjj	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	118	0	0
血流成河	xlih	简单鹤	494	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	117	1	1
兴师问罪	xuwz	简单鹤	436	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	117	1	1
打家劫舍	djju	简单鹤	130	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	117	1	1
流落他乡	lltx	简单鹤	127	1	真实语料:literature_word_freq,news_total_word_freq;成语双源	2	117	1	0
并肩携手	bjxu	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	117	0	0
恶名昭彰	emvv	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	117	0	0
卡纳瓦罗	knwl	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	117	0	0
神采焕发	uchf	简单鹤		1	真实语料:literature_word_freq,news_total_word_freq	2	117	0	0
无法可依	wfky	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	117	0	0
自作多情	zzdq	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	117	0	1
挨家逐户	ajvh	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	116	0	0
除旧迎新	ijyx	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	116	0	0
九阳真经	jyvj	简单鹤		0	真实语料:literature_word_freq,multi_domain_total_word_freq	2	116	0	0
太太平平	ttpp	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	116	0	0
山东快书	udku	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	116	0	0
声名狼籍	umlj	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	116	0	0
非比寻常	fbxi	简单鹤	1045	0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	115	0	1
奇珍异宝	qvyb	简单鹤	346	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	115	1	1
皓首穷经	huqj	简单鹤	104	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源;输入法双源	2	115	1	1
俯首听命	fstm	THUOCL+新华补充	75	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源;输入法双源	2	115	1	1
独门独院	dmdy	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	115	0	0
电子器件	dzqj	简单鹤		0	真实语料:news_total_word_freq,subtlex	2	115	0	0
韩国棒子	hgbz	简单鹤		0	真实语料:dialogue_word_freq,multi_domain_total_word_freq	2	115	0	0
中英文版	vywb	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	115	0	0
意大利炮	ydlp	简单鹤		0	真实语料:dialogue_word_freq,multi_domain_total_word_freq	2	115	0	0
苟且偷生	gqtu	简单鹤	211	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	114	1	1
奇思妙想	qsmx	简单鹤	139	0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	114	0	1
