汉字	原始总频	已分配频率	待分配频率
姈	0	0	0
姊	144	144	0
始	33678	33675	3
姐	15933	15918	15
姑	5640	5605	35
姒	0	0	0
姓	1997	1996	1
委	5183	5165	18
姗	117	97	20
姘	24	24	0
姚	20	20	0
姜	461	450	11
姝	3	3	0
姞	0	0	0
姣	6	6	0
姤	0	0	0
姥	202	202	0
姨	1249	1249	0
姬	857	843	14
姮	1	0	1
姱	0	0	0
姶	0	0	0
姹	0	0	0
姻	2245	2245	0
姽	0	0	0
姿	1548	1548	0
娀	0	0	0
威	11142	10053	1089
娃	2802	2718	84
娄	35	35	0
娅	1350	790	560
娆	4	4	0
娇	281	281	0
娈	13	13	0
娉	0	0	0
娌	2	2	0
娑	9	9	0
娓	10	10	0
娘	9115	9081	34
娜	5756	1926	3830
娟	89	87	2
娠	61	58	3
娣	56	55	1
娥	133	132	1
娩	161	161	0
娱	925	886	39
娲	0	0	0
娴	54	46	8
娵	0	0	0
娶	1112	1112	0
娼	110	110	0
婀	6	6	0
婆	5323	5322	1
婉	159	140	19
婊	2847	2847	0
婌	9	0	9
婍	0	0	0
婕	37	33	4
婘	0	0	0
婚	19494	19491	3
婞	0	0	0
婠	0	0	0
婢	16	16	0
婤	0	0	0
婧	0	0	0
婪	339	338	1
婫	5	0	5
婳	0	0	0
婴	1676	1615	61
婵	0	0	0
婶	319	319	0
婷	83	78	5
婺	0	0	0
婻	0	0	0
婼	0	0	0
婿	125	125	0
媂	0	0	0
媄	0	0	0
媆	0	0	0
媒	1787	1787	0
媓	0	0	0
媖	0	0	0
媚	201	201	0
媛	197	177	20
媞	14	0	14
媪	0	0	0
媭	0	0	0
媱	0	0	0
媲	42	42	0
媳	107	107	0
媵	0	0	0
媸	0	0	0
媾	8	8	0
嫁	2163	2163	0
嫂	106	106	0
嫄	0	0	0
嫉	1298	1298	0
嫌	3209	3209	0
嫒	0	0	0
嫔	1	1	0
嫕	0	0	0
嫖	105	105	0
嫘	0	0	0
嫚	1	0	1
嫜	0	0	0
嫠	0	0	0
嫡	13	13	0
嫣	0	0	0
嫦	3	3	0
嫩	349	348	1
嫪	0	0	0
嫫	0	0	0
嫭	0	0	0
嫱	0	0	0
嫽	0	0	0
嬉	328	328	0
嬖	0	0	0
嬗	3	3	0
嬛	0	0	0
嬥	2	0	2
嬬	0	0	0
嬴	11	11	0
嬷	46	0	46
嬿	0	0	0
孀	87	87	0
孅	0	0	0
子	177693	176968	725
孑	23	21	2
孓	0	0	0
孔	1301	1289	12
孕	3253	3248	5
孖	3	0	3
字	22743	22718	25
存	9155	9153	2
孙	1255	1210	45
孚	26	25	1
孛	56	56	0
孜	34	34	0
孝	215	196	19
孟	426	400	26
孢	64	64	0
季	6585	6573	12
孤	3526	3506	20
孥	0	0	0
学	41964	41841	123
孩	62601	62600	1
孪	61	61	0
孬	129	129	0
孰	56	56	0
孱	16	16	0
孳	2	2	0
孵	114	114	0
孺	26	26	0
孽	278	278	0
宁	2523	2382	141
它	61272	61272	0
宄	0	0	0
宅	610	610	0
宇	2001	1990	11
守	6235	6232	3
安	41719	39898	1821
宋	340	309	31
完	37488	37488	0
宏	249	237	12
宓	0	0	0
宕	26	26	0
宗	1751	1745	6
官	21405	21099	306
宙	1200	1200	0
定	81657	81648	9
宛	138	138	0
宜	1454	1392	62
宝	18858	18758	100
实	57010	56964	46
宠	1199	1199	0
审	6286	6275	11
客	12810	12727	83
宣	3934	3917	17
室	19103	18934	169
宥	7	7	0
宦	4	4	0
宧	0	0	0
宪	534	525	9
宫	2424	2388	36
宬	0	0	0
宰	1046	1045	1
害	25606	25605	1
宴	1463	1463	0
宵	456	456	0
家	112447	110865	1582
宸	0	0	0
容	11265	11239	26
宽	1795	1795	0
宾	2538	2332	206
宿	1334	925	409
寁	0	0	0
寂	715	715	0
寄	2697	2697	0
寅	5	5	0
密	15201	14949	252
寇	298	294	4
富	4061	3978	83
寐	191	191	0
寒	620	615	5
寓	2876	2876	0
寝	170	170	0
寞	470	470	0
察	16540	16508	32
寡	487	487	0
寤	0	0	0
寥	46	46	0
寨	154	153	1
寮	4	4	0
寰	40	40	0
寸	1491	1462	29
对	191793	191767	26
寺	397	395	2
寻	5832	5826	6
导	7275	7243	32
寿	683	675	8
封	5258	5246	12
射	7866	7843	23
将	30460	30454	6
尉	2212	2188	24
尊	4525	4508	17
小	99468	97919	1549
少	28266	28262	4
尔	41284	32083	9201
尕	8	8	0
尖	2358	2358	0
尘	976	976	0
尚	2594	2563	31
尜	0	0	0
尝	4665	4665	0
尢	0	0	0
尤	2679	2446	233
尥	0	0	0
尧	5	5	0
尨	0	0	0
尪	0	0	0
尬	1256	1256	0
就	313793	313548	245
尴	1257	1257	0
尸	7786	7785	1
尹	138	134	4
尺	2663	2635	28
尻	28	28	0
尼	19533	16177	3356
尽	15462	15456	6
尾	3109	2991	118
尿	2843	1025	1818
局	12836	11992	844
屁	7805	7805	0
层	3807	3776	31
屃	0	0	0
居	7197	7176	21
屈	765	759	6
屉	395	395	0
届	522	522	0
屋	6385	6243	142
屎	1824	1823	1
屏	883	814	69
屐	31	31	0
屑	331	331	0
展	8372	8318	54
屙	0	0	0
属	5358	5347	11
屠	998	998	0
屡	93	93	0
屣	4	4	0
履	410	410	0
屦	0	0	0
屯	17	16	1
山	8779	8495	284
屹	38	38	0
屺	0	0	0
屼	0	0	0
屾	0	0	0
屿	99	99	0
岁	12744	12742	2
岂	177	169	8
岈	0	0	0
岊	0	0	0
岌	140	140	0
岍	0	0	0
岐	32	31	1
岑	11	5	6
岔	277	277	0
岖	42	42	0
岗	608	602	6
岘	7	7	0
岙	0	0	0
岚	9	9	0
岛	4155	4094	61
岜	0	0	0
岞	0	0	0
岠	0	0	0
岢	0	0	0
岣	0	0	0
岨	0	0	0
岩	962	960	2
岫	0	0	0
岬	24	24	0
岭	104	100	4
岱	33	26	7
岳	218	209	9
岵	0	0	0
岷	2	2	0
岸	1693	1692	1
岽	0	0	0
岿	0	0	0
峁	0	0	0
峂	0	0	0
峃	0	0	0
峄	0	0	0
峋	13	13	0
峒	1	0	1
峗	0	0	0
峘	0	0	0
峙	80	78	2
峛	0	0	0
峡	421	421	0
峣	0	0	0
峤	0	0	0
峥	2	2	0
峦	21	21	0
峧	0	0	0
峨	6	6	0
峪	0	0	0
峭	49	49	0
峰	748	738	10
峱	0	0	0
峻	115	113	2
峿	0	0	0
崀	0	0	0
崁	2	0	2
崂	1	1	0
崃	0	0	0
崄	0	0	0
崆	0	0	0
崇	1020	1020	0
崌	0	0	0
崎	277	260	17
崒	0	0	0
崔	996	941	55
崖	305	305	0
崚	0	0	0
崛	77	77	0
崞	0	0	0
崟	0	0	0
崡	0	0	0
崤	0	0	0
崦	0	0	0
崧	0	0	0
崩	1246	1246	0
崭	277	277	0
崮	0	0	0
崴	43	31	12
崶	0	0	0
崽	343	343	0
崾	0	0	0
崿	0	0	0
嵁	0	0	0
嵅	0	0	0
嵇	0	0	0
嵊	0	0	0
嵋	0	0	0
嵌	157	156	1
嵎	0	0	0
嵖	0	0	0
嵘	2	2	0
嵚	0	0	0
嵛	0	0	0
嵝	0	0	0
嵩	11	2	9
嵫	0	0	0
嵬	0	0	0
嵯	0	0	0
嵲	0	0	0
嵴	5	5	0
嶂	2	2	0
嶅	0	0	0
嶍	0	0	0
嶒	0	0	0
嶓	0	0	0
嶙	14	14	0
嶝	0	0	0
嶟	0	0	0
嶦	0	0	0
嶲	0	0	0
嶷	0	0	0
巅	127	125	2
巇	0	0	0
巉	0	0	0
巍	16	15	1
川	777	730	47
州	6997	6863	134
巡	1886	1860	26
巢	419	417	2
工	44548	44529	19
左	5160	5124	36
巧	5321	5294	27
巨	3124	3116	8
巩	70	70	0
巫	1649	1648	1
差	11112	11026	86
巯	2	2	0
己	58674	58673	1
已	65079	65079	0
巳	17	17	0
巴	14445	13115	1330
巷	489	373	116
巽	0	0	0
巾	1435	1435	0
币	1240	1239	1
市	10453	10343	110
布	18254	15653	2601
帅	2852	2850	2
帆	424	423	1
师	21326	21194	132
希	31198	30447	751
帏	1	1	0
帐	2467	2467	0
帑	1	1	0
帔	0	0	0
帕	3830	2737	1093
帖	262	262	0
帘	378	378	0
帙	0	0	0
帚	110	110	0
帛	8	8	0
帜	224	224	0
帝	15988	15972	16
帡	0	0	0
带	45283	45273	10
帧	57	2	55
帨	0	0	0
席	3105	3061	44
帮	51013	51009	4
帱	0	0	0
帷	59	59	0
常	46383	46352	31
帻	0	0	0
帼	5	5	0
帽	2508	2388	120
幂	4	4	0
幄	4	4	0
幅	1274	1274	0
幌	100	100	0
幔	17	17	0
幕	2616	2607	9
幖	0	0	0
幛	0	0	0
幞	0	0	0
幡	15	15	0
幢	437	0	437
幪	0	0	0
干	60971	60827	144
平	14739	14617	122
年	54824	54771	53
并	26284	26283	1
幸	13110	13105	5
幺	50	49	1
幻	3425	3425	0
幼	937	931	6
幽	1608	1608	0
广	4896	4806	90
庄	1169	1166	3
庆	2882	2875	7
庇	418	418	0
床	8706	8692	14
庋	0	0	0
序	2630	2628	2
庐	27	27	0
庑	0	0	0
库	4754	4402	352
应	52206	52204	2
底	20210	20089	121
庖	13	13	0
店	11021	10902	119
庙	298	298	0
庚	9	9	0
府	4402	4402	0
庞	747	725	22
废	3755	3729	26
庠	0	0	0
庤	0	0	0
庥	0	0	0
度	17384	17198	186
座	5753	5742	11
庭	10044	10004	40
庱	0	0	0
庳	0	0	0
庵	7	4	3
庶	11	10	1
康	4721	4410	311
庸	378	364	14
庹	0	0	0
庼	0	0	0
庾	0	0	0
廆	0	0	0
廉	1417	1165	252
廊	1321	1321	0
廋	5	0	5
廑	0	0	0
廒	0	0	0
廓	108	108	0
廖	7	7	0
廙	0	0	0
廛	0	0	0
廨	0	0	0
廪	0	0	0
延	1821	1811	10
廷	668	593	75
建	9772	9771	1
廿	22	17	5
开	126802	126742	60
弁	0	0	0
异	4933	4932	1
弃	7845	7838	7
弄	15246	15209	37
弆	0	0	0
弇	0	0	0
弈	42	42	0
弊	542	542	0
弋	6	6	0
式	12142	12087	55
弑	23	23	0
弓	351	349	2
引	9297	9262	35
弗	6595	5221	1374
弘	323	321	2
弛	64	64	0
弟	17768	17747	21
张	18759	18708	51
弢	0	0	0
弥	1218	1183	35
弦	386	354	32
弧	96	96	0
弨	0	0	0
弩	56	56	0
弭	7	6	1
弯	1189	1188	1
弱	3499	3499	0
弶	0	0	0
弸	0	0	0
弹	11461	8994	2467
强	15761	15432	329
弼	75	65	10
彀	0	0	0
归	4235	4197	38
当	80228	80077	151
录	11647	11640	7
彖	0	0	0
彗	133	133	0
彘	0	0	0
彝	2	2	0
彟	0	0	0
形	6994	6988	6
彤	4	4	0
彦	26	24	2
彧	0	0	0
彩	5381	5379	2
彪	86	84	2
彬	132	127	5
彭	167	154	13
彰	107	107	0
影	16924	16891	33
彳	0	0	0
彷	50	50	0
役	1022	1022	0
彻	2617	2543	74
彼	3774	3382	392
往	11516	11516	0
征	2504	2498	6
徂	0	0	0
径	1476	1475	1
待	16314	16307	7
徇	6	6	0
很	219622	219622	0
徉	21	21	0
徊	160	159	1
律	12028	12024	4
徐	113	98	15
徒	3604	3588	16
徕	5	5	0
得	208054	206323	1731
徘	159	159	0
徙	61	61	0
徛	0	0	0
徜	21	21	0
御	630	628	2
徨	37	37	0
循	667	666	1
徭	0	0	0
微	4453	4441	12
徵	30	30	0
德	27149	21798	5351
徼	0	0	0
徽	650	649	1
心	83418	83246	172
必	27960	27949	11
忆	3783	3781	2
忉	0	0	0
忌	1332	1329	3
忍	4557	4557	0
忏	704	704	0
忐	24	24	0
忑	24	24	0
忒	103	103	0
忖	9	9	0
志	7204	7188	16
忘	12906	12894	12
忙	15130	15080	50
忝	0	0	0
忞	0	0	0
忠	2383	2334	49
忡	50	50	0
忤	13	13	0
忧	1048	1048	0
忪	4	4	0
快	72900	72899	1
忭	0	0	0
忮	0	0	0
忱	21	21	0
忳	0	0	0
念	7560	7518	42
忸	15	15	0
忺	0	0	0
忻	0	0	0
忽	1572	1572	0
忾	6	6	0
忿	17	17	0
怀	8726	8569	157
态	6133	6126	7
怂	66	66	0
怃	0	0	0
怄	3	3	0
怅	11	11	0
怆	6	6	0
怊	0	0	0
怍	0	0	0
怎	129740	129739	1
怏	10	10	0
怒	2876	2876	0
怔	7	7	0
怕	17550	17550	0
怖	3202	3202	0
怙	2	2	0
怛	0	0	0
怜	4027	4027	0
思	34855	33874	981
怠	52	52	0
怡	100	85	15
急	7604	7577	27
怦	41	41	0
性	28102	28018	84
怨	2077	2077	0
怩	14	14	0
怪	17328	17323	5
怫	0	0	0
怯	181	181	0
怵	5	5	0
总	29800	29782	18
怼	1	1	0
怿	0	0	0
恁	0	0	0
恂	0	0	0
恃	27	27	0
恋	6628	6628	0
恍	95	95	0
恐	8905	8838	67
恒	627	626	1
恓	0	0	0
恔	0	0	0
恕	1274	1274	0
恙	161	161	0
恚	0	0	0
恝	0	0	0
恢	2243	2229	14
恣	23	23	0
恤	598	598	0
恧	1	1	0
恨	4848	4848	0
恩	13365	12124	1241
恪	44	44	0
恫	7	7	0
恬	20	20	0
恭	3614	3612	2
息	19106	19104	2
恰	1544	1541	3
恳	395	394	1
恶	12451	12433	18
恸	13	13	0
恹	14	14	0
恺	281	243	38
恻	9	9	0
恼	1188	1188	0
恽	0	0	0
恿	60	60	0
悃	1	1	0
悄	770	702	68
悆	0	0	0
悈	0	0	0
悉	1478	1478	0
悌	0	0	0
悍	412	412	0
悒	0	0	0
悔	2575	2575	0
悖	64	64	0
悚	196	196	0
悛	1	1	0
悝	0	0	0
悟	398	398	0
悠	722	718	4
悢	0	0	0
患	1540	1540	0
悦	668	668	0
您	17561	17561	0
悫	0	0	0
悬	876	875	1
悭	0	0	0
悯	340	340	0
悰	0	0	0
悱	3	3	0
悲	3867	3866	1
悴	52	52	0
悸	59	59	0
悻	2	2	0
悼	420	420	0
情	69279	69196	83
惆	5	5	0
惇	1	0	1
惊	9696	9683	13
惋	65	65	0
惎	0	0	0
惑	1765	1765	0
惔	0	0	0
惕	339	339	0
惘	49	49	0
惙	0	0	0
惚	61	61	0
惛	0	0	0
惜	2384	2384	0
惝	0	0	0
惟	128	128	0
惠	1040	890	150
惦	122	122	0
惧	2331	2331	0
惨	2235	2232	3
惩	1461	1459	2
惫	225	225	0
惬	81	81	0
惭	178	178	0
惮	44	44	0
惯	2765	2765	0
惰	110	110	0
想	247453	247431	22
惴	20	20	0
惶	172	172	0
惹	3253	3253	0
惺	156	156	0
愀	0	0	0
愁	433	433	0
愃	0	0	0
愆	1	1	0
愈	1158	1156	2
愉	2644	2644	0
愍	0	0	0
愎	4	3	1
意	103354	103167	187
愐	1	0	1
愔	0	0	0
愕	9	9	0
愚	2721	2721	0
感	61054	61023	31
愠	3	3	0
愣	100	99	1
愤	1861	1861	0
愦	0	0	0
愧	926	916	10
愫	6	6	0
愭	0	0	0
愿	17132	17132	0
慆	0	0	0
慈	2088	2086	2
慊	0	0	0
慌	1318	1318	0
慎	728	728	0
慑	74	72	2
慕	698	690	8
慝	0	0	0
慢	8810	8803	7
慥	0	0	0
慧	858	857	1
慨	577	557	20
慬	0	0	0
慭	0	0	0
慰	1344	1344	0
慵	20	20	0
慷	526	506	20
憋	285	285	0
憎	509	509	0
憔	51	51	0
憕	0	0	0
憙	0	0	0
憧	60	60	0
憨	14	14	0
憩	33	33	0
憬	59	59	0
憭	0	0	0
憷	1	1	0
憺	0	0	0
憾	2611	2611	0
懂	7758	7758	0
懈	209	201	8
懊	108	108	0
懋	0	0	0
懑	6	6	0
懒	891	891	0
懔	0	0	0
懦	576	576	0
懵	30	30	0
懿	0	0	0
戆	2	0	2
戈	1792	1543	249
戊	23	22	1
戋	0	0	0
戌	2	0	2
戍	5	4	1
戎	11	10	1
戏	11294	11206	88
成	61348	61182	166
我	2058980	2058928	52
戒	4018	4018	0
戕	3	3	0
或	30931	30931	0
戗	3	3	0
战	18511	18466	45
戚	524	507	17
戛	50	50	0
戟	29	29	0
戡	0	0	0
戢	0	0	0
戣	0	0	0
戤	0	0	0
戥	0	0	0
截	1200	1200	0
戬	0	0	0
戭	0	0	0
戮	334	334	0
戳	488	488	0
戴	7245	6513	732
户	5836	5829	7
戽	0	0	0
戾	22	22	0
房	25246	25196	50
所	100444	100414	30
扁	641	81	560
扂	0	0	0
扃	0	0	0
扅	0	0	0
扆	0	0	0
扇	1325	1323	2
扈	13	13	0
扉	231	231	0
扊	0	0	0
手	75608	75507	101
才	46044	46025	19
扎	2561	1446	1115
扑	950	950	0
扒	240	68	172
打	79262	79238	24
扔	5106	5106	0
托	16277	15315	962
扛	159	0	159
扞	163	161	2
扣	1912	1911	1
扦	2	2	0
执	4020	3866	154
扩	829	829	0
扪	81	80	1
扫	2801	2796	5
扬	1414	1380	34
扭	1517	1517	0
扮	3077	3077	0
扯	2952	2952	0
扰	5677	5673	4
扳	586	520	66
扶	767	767	0
批	2313	2312	1
扺	0	0	0
扼	172	172	0
扽	2	0	2
找	73582	73361	221
承	8322	8306	16
技	5233	5226	7
抃	0	0	0
抄	412	411	1
抉	287	287	0
把	126881	126645	236
抑	1009	1009	0
抒	87	87	0
抓	14157	14156	1
抔	0	0	0
投	11258	11256	2
抖	766	766	0
抗	4009	4009	0
折	3775	3757	18
抚	1215	1215	0
抛	2460	2453	7
抟	0	0	0
抠	77	77	0
抡	35	34	1
抢	4910	4907	3
护	17385	17342	43
报	21905	21778	127
抨	71	71	0
披	883	883	0
抬	1496	1494	2
抱	26803	26802	1
抵	1716	1716	0
抹	867	296	571
抻	12	12	0
押	1557	1557	0
抽	4423	4417	6
抿	14	14	0
拂	104	104	0
拃	0	0	0
拄	30	30	0
担	15900	15900	0
拆	1243	1242	1
拇	361	361	0
拈	28	28	0
拉	31007	27079	3928
拊	0	0	0
拌	317	236	81
拍	11578	11544	34
拎	87	87	0
拐	879	879	0
拒	3485	3485	0
拓	218	189	29
拔	1529	1520	9
拖	3331	3331	0
拗	25	11	14
拘	1058	1058	0
拙	233	233	0
招	5342	5338	4
拜	14722	14610	112
拟	590	588	2
拢	167	167	0
拣	220	220	0
拤	0	0	0
拥	5738	5738	0
拦	1029	1029	0
拧	227	227	0
拨	1617	1615	2
择	9266	9173	93
括	2502	2501	1
拭	170	170	0
拮	13	13	0
拯	2317	2317	0
拱	148	148	0
拳	3299	3299	0
拴	187	187	0
拶	0	0	0
拷	509	509	0
拼	2387	2385	2
拽	431	428	3
拾	2362	2362	0
拿	37054	37028	26
持	17301	17299	2
挂	3916	3913	3
指	22020	21998	22
挈	3	3	0
按	6831	6717	114
挎	18	18	0
挑	5673	5673	0
挓	0	0	0
挖	2184	2184	0
挚	374	373	1
挛	164	164	0
挝	33	31	2
挞	14	14	0
挟	187	181	6
挠	307	307	0
挡	2043	2043	0
挣	1814	1814	0
挤	1438	1438	0
挥	3793	3793	0
挦	0	0	0
挨	953	953	0
挪	878	878	0
挫	387	387	0
振	1381	1355	26
挲	3	3	0
挹	0	0	0
挺	8004	8003	1
挽	917	917	0
捂	96	96	0
捃	0	0	0
捅	599	599	0
捆	335	331	4
捉	1278	1278	0
捋	14	2	12
捌	0	0	0
捍	0	0	0
捎	148	148	0
捏	511	511	0
捐	1816	1816	0
捕	5410	5203	207
捞	421	420	1
损	2774	2774	0
捡	909	905	4
换	9992	9982	10
捣	701	701	0
捧	274	268	6
捩	2	2	0
捭	0	0	0
据	12730	12710	20
捯	1	0	1
捶	49	49	0
捷	800	792	8
捺	5	5	0
捻	16	16	0
捽	0	0	0
掀	230	230	0
掂	82	82	0
掇	16	16	0
授	2896	2896	0
掉	23820	23814	6
掊	0	0	0
掌	4370	4368	2
掎	0	0	0
掏	470	470	0
掐	382	382	0
排	10684	10684	0
掖	28	28	0
掘	810	810	0
掞	0	0	0
掠	292	211	81
探	12125	12125	0
掣	43	43	0
接	37114	37111	3
控	11866	11823	43
推	6553	6541	12
掩	2286	2286	0
措	1182	1181	1
掬	5	5	0
掭	0	0	0
掮	24	24	0
掰	158	137	21
掳	67	67	0
掴	34	34	0
掷	267	267	0
掸	26	26	0
掺	271	271	0
掼	5	5	0
掾	1	1	0
揄	15	15	0
揆	1	1	0
揉	157	157	0
揍	1280	1280	0
描	2242	2242	0
提	24028	22662	1366
插	2597	2595	2
揕	0	0	0
揖	2	2	0
揠	2	2	0
握	3193	3193	0
揣	113	113	0
揩	34	34	0
揪	185	185	0
揭	1706	1706	0
揳	0	0	0
援	2269	2269	0
揶	13	13	0
揸	0	0	0
揽	144	144	0
揿	0	0	0
搀	62	62	0
搁	377	377	0
搂	162	162	0
搅	1192	993	199
搋	1	1	0
搌	0	0	0
搏	939	936	3
搐	118	118	0
搒	0	0	0
搓	99	99	0
搔	52	52	0
搛	1	1	0
搜	4219	4116	103
搞	18599	18598	1
搠	0	0	0
搡	25	25	0
搦	0	0	0
搪	52	52	0
搬	5365	5365	0
搭	4736	4736	0
搴	0	0	0
携	637	637	0
搽	34	34	0
摁	57	57	0
摄	5261	5261	0
摅	0	0	0
摆	4215	4155	60
摇	3592	3589	3
摈	13	13	0
摊	680	680	0
摏	0	0	0
摒	55	55	0
摔	2137	2137	0
摘	750	750	0
摛	0	0	0
摞	38	38	0
摧	990	990	0
摩	5516	3735	1781
摭	0	0	0
摴	0	0	0
摸	2739	2738	1
摹	21	21	0
摽	0	0	0
撂	92	92	0
撄	0	0	0
撅	62	62	0
撇	387	387	0
撑	1475	1475	0
撒	7095	6938	157
撕	1127	1127	0
撖	0	0	0
撙	0	0	0
撞	4230	4230	0
撤	2275	2275	0
撩	53	53	0
撬	287	287	0
播	4854	4832	22
撮	122	94	28
撰	110	110	0
撵	70	70	0
撷	9	9	0
撸	3	3	0
撺	3	3	0
撼	452	452	0
擀	13	13	0
擂	82	82	0
擅	1543	1543	0
操	6027	5996	31
擎	762	727	35
擐	0	0	0
擒	152	152	0
擘	2	2	0
擞	6	6	0
擢	1	1	0
擤	30	30	0
擦	2260	2259	1
擿	0	0	0
攀	288	287	1
攉	0	0	0
攒	143	23	120
攘	37	37	0
攥	34	34	0
攫	30	30	0
攮	0	0	0
支	11697	11692	5
收	19712	19683	29
攸	118	118	0
改	12916	12911	5
攻	4562	4560	2
攽	0	0	0
放	46528	46507	21
政	8186	8146	40
故	11435	11420	15
效	5768	5724	44
敉	0	0	0
敌	3693	3686	7
敏	2718	2538	180
救	20423	20228	195
敔	0	0	0
敕	3	3	0
敖	61	61	0
教	21768	21741	27
敛	112	112	0
敝	15	15	0
敞	619	619	0
敢	10588	10588	0
散	4211	4197	14
敦	1858	1774	84
敩	0	0	0
敫	0	0	0
敬	3844	3765	79
数	14754	14603	151
敲	2037	2037	0
整	18021	18014	7
敷	245	245	0
文	14196	13259	937
斋	78	78	0
斌	26	26	0
斐	285	244	41
斑	657	655	2
斓	11	11	0
斗	6328	6311	17
料	8527	8501	26
斛	0	0	0
斜	403	399	4
斝	0	0	0
斟	67	67	0
斠	0	0	0
斡	20	20	0
斤	369	369	0
斥	423	423	0
斧	330	330	0
斩	219	217	2
斫	0	0	0
断	9088	9087	1
斯	61882	47701	14181
新	35497	35476	21
斶	0	0	0
方	52743	52651	92
於	258	258	0
施	3264	3145	119
旁	3901	3900	1
旃	0	0	0
旄	0	0	0
旅	6759	6712	47
旆	0	0	0
旋	1420	1402	18
旌	8	8	0
旎	4	4	0
族	4959	4931	28
旐	0	0	0
旒	0	0	0
旖	4	4	0
旗	1109	1106	3
旞	0	0	0
无	50912	50577	335
既	4023	4023	0
日	23151	23029	122
旦	3661	3661	0
旧	3630	3620	10
旨	362	361	1
早	26160	26154	6
旬	46	46	0
旭	107	102	5
旮	8	8	0
旯	8	8	0
旰	0	0	0
旱	114	111	3
旴	0	0	0
旵	0	0	0
时	162613	162577	36
旷	169	169	0
旸	0	0	0
旺	498	446	52
旻	10	0	10
旿	0	0	0
昀	0	0	0
昂	1104	1030	74
昃	0	0	0
昄	0	0	0
昆	532	446	86
昇	0	0	0
昈	0	0	0
昉	0	0	0
昊	68	50	18
昌	232	221	11
明	69749	69368	381
昏	1875	1875	0
昒	0	0	0
易	11949	11713	236
昔	273	273	0
昕	0	0	0
昙	13	13	0
昝	0	0	0
星	20974	20942	32
映	931	921	10
昡	0	0	0
昣	0	0	0
昤	0	0	0
春	2060	2030	30
昧	379	362	17
昨	10063	10063	0
昪	0	0	0
昫	0	0	0
昭	213	108	105
是	1172098	1171848	250
昱	21	20	1
昳	0	0	0
昴	4	4	0
昵	143	142	1
昶	0	0	0
昺	0	0	0
昼	63	63	0
昽	0	0	0
显	10978	10896	82
晁	0	0	0
晃	990	990	0
晅	0	0	0
晊	0	0	0
晋	910	907	3
晌	3	3	0
晏	2	2	0
晐	0	0	0
晒	595	595	0
晓	1903	1864	39
晔	11	11	0
晕	1697	1697	0
晖	8	8	0
晗	0	0	0
晙	41	0	41
晚	50512	50512	0
晞	0	0	0
晟	20	0	20
晡	2	2	0
晢	0	0	0
晤	147	147	0
晦	83	83	0
晨	2163	2159	4
晪	0	0	0
晫	0	0	0
普	8777	7339	1438
景	3764	3760	4
晰	369	351	18
晱	0	0	0
晴	259	259	0
晶	811	801	10
晷	9	9	0
智	4349	4302	47
晾	97	97	0
暂	2572	2571	1
暄	30	30	0
暅	0	0	0
暇	129	129	0
暌	0	0	0
暑	475	475	0
暕	0	0	0
暖	1680	1670	10
暗	5176	5176	0
暝	2	2	0
暧	83	66	17
暨	12	12	0
暮	72	69	3
暲	0	0	0
暴	5596	5568	28
暵	0	0	0
暶	0	0	0
暹	55	55	0
暾	0	0	0
暿	0	0	0
曈	0	0	0
曌	0	0	0
曙	62	62	0
曛	0	0	0
曜	0	0	0
曝	336	316	20
曦	18	18	0
曩	0	0	0
曰	25	25	0
曲	5121	5087	34
曳	34	34	0
更	35397	35388	9
曷	0	0	0
曹	284	278	6
曼	5771	4655	1116
曾	11274	6191	5083
替	5759	5759	0
最	75999	75930	69
月	16675	16637	38
有	533631	533518	113
朋	32843	32780	63
服	24279	24247	32
朏	0	0	0
朐	0	0	0
朓	0	0	0
朔	84	84	0
朕	42	42	0
朗	2968	2413	555
望	36791	36771	20
朝	3629	3542	87
期	18143	18048	95
朦	61	61	0
木	4924	4798	126
未	11246	11244	2
末	3773	3773	0
本	41063	40623	440
札	62	62	0
术	12844	12677	167
朱	1403	1238	165
朳	0	0	0
朴	862	120	742
朵	1831	1803	28
朸	0	0	0
机	48902	48786	116
朽	229	229	0
杀	47125	47118	7
杂	7200	7197	3
权	10284	10253	31
杄	0	0	0
杆	1300	1299	1
杈	11	11	0
杉	3006	2606	400
杌	0	0	0
李	2910	2750	160
杏	217	214	3
材	2684	2684	0
村	2907	2892	15
杓	3	3	0
杕	0	0	0
杖	398	398	0
杙	0	0	0
杜	2508	2146	362
杞	30	30	0
束	11221	11220	1
杠	194	194	0
条	18134	18132	2
来	377915	377736	179
杧	0	0	0
杨	324	313	11
杩	0	0	0
杪	22	22	0
杭	25	24	1
杯	10466	10396	70
杰	13141	11479	1662
杲	0	0	0
杳	22	22	0
杵	37	37	0
杷	0	0	0
杻	0	0	0
杼	0	0	0
松	9055	8959	96
板	8354	8296	58
极	11392	11388	4
构	2583	2583	0
枅	0	0	0
枇	0	0	0
枉	160	160	0
枋	0	0	0
枍	0	0	0
析	1793	1793	0
枕	715	715	0
林	9991	8958	1033
枘	0	0	0
枚	765	765	0
果	91471	91388	83
枝	500	499	1
枞	2	1	1
枢	116	116	0
枣	25	25	0
枥	1	1	0
枧	0	0	0
枨	0	0	0
枪	21732	21731	1
枫	137	137	0
枭	102	102	0
枯	311	311	0
枰	1	1	0
枲	0	0	0
枳	0	0	0
枵	0	0	0
架	8023	7972	51
枷	68	68	0
