汉字	原始总频	已分配频率	待分配频率
侩	17	17	0
侪	1	1	0
侬	132	132	0
侮	752	752	0
侯	217	198	19
侴	0	0	0
侵	2205	2201	4
侹	0	0	0
便	13982	13903	79
促	670	665	5
俄	3021	3011	10
俅	0	0	0
俊	927	598	329
俍	0	0	0
俎	21	21	0
俏	188	188	0
俐	57	57	0
俑	58	58	0
俗	1194	1189	5
俘	465	465	0
俙	0	0	0
俚	71	71	0
俜	0	0	0
保	39731	39579	152
俞	48	8	40
俟	0	0	0
信	57928	57820	108
俣	1	1	0
俦	0	0	0
俨	8	8	0
俩	9251	9239	12
俪	4	4	0
俫	0	0	0
俭	43	43	0
修	7799	7655	144
俯	304	304	0
俱	2656	2656	0
俳	62	62	0
俵	1	0	1
俶	0	0	0
俸	9	9	0
俺	125	125	0
俾	13	12	1
倌	12	12	0
倍	1900	1900	0
倏	4	4	0
倒	11875	11809	66
倓	0	0	0
倔	79	79	0
倕	0	0	0
倘	42	40	2
候	58337	58337	0
倚	85	74	11
倜	7	7	0
倞	0	0	0
借	5113	5113	0
倡	109	109	0
倥	0	0	0
倦	937	937	0
倧	0	0	0
倨	2	2	0
倩	83	76	7
倪	41	35	6
倬	1	1	0
倭	7	7	0
倮	0	0	0
倴	0	0	0
债	1183	1179	4
倻	0	0	0
值	7459	7453	6
倾	1781	1776	5
偁	0	0	0
偃	1	1	0
假	12808	12808	0
偈	0	0	0
偌	72	72	0
偎	45	45	0
偏	2042	2042	0
偓	0	0	0
偕	49	49	0
做	136328	136316	12
停	19564	19447	117
偡	0	0	0
健	4146	4140	6
偬	0	0	0
偭	0	0	0
偰	0	0	0
偲	0	0	0
偶	4495	4480	15
偷	10591	10567	24
偻	5	0	5
偾	0	0	0
偿	1699	1696	3
傀	110	109	1
傃	0	0	0
傅	424	424	0
傈	0	0	0
傉	0	0	0
傍	132	132	0
傒	0	0	0
傕	0	0	0
傣	49	49	0
傥	0	0	0
傧	40	40	0
储	1147	1145	2
傩	0	0	0
催	914	914	0
傲	2748	2746	2
傺	0	0	0
傻	7842	7840	2
僇	0	0	0
僎	0	0	0
像	71186	71186	0
僔	0	0	0
僖	0	0	0
僚	289	288	1
僦	0	0	0
僧	153	153	0
僬	0	0	0
僭	6	6	0
僮	7	0	7
僰	0	0	0
僳	0	0	0
僵	990	990	0
僻	243	243	0
儆	42	42	0
儇	0	0	0
儋	0	0	0
儒	274	266	8
儡	110	109	1
儦	0	0	0
儳	0	0	0
儴	0	0	0
儿	105402	105025	377
兀	40	40	0
允	2897	2897	0
元	8765	8682	83
兄	14373	14304	69
充	4670	4668	2
兆	718	716	2
先	71253	71227	26
光	17286	17185	101
克	53669	45382	8287
免	6707	6707	0
兑	387	381	6
兔	1452	1452	0
兕	1	1	0
兖	0	0	0
党	1987	1977	10
兜	843	755	88
兢	82	82	0
入	24269	24260	9
全	47545	47510	35
八	6222	6028	194
公	39292	39258	34
六	7439	6889	550
兮	628	628	0
兰	12472	11366	1106
共	7769	7694	75
关	55693	55639	54
兴	24438	24436	2
兵	4945	4943	2
其	36285	36152	133
具	8138	8132	6
典	3276	3274	2
兹	3129	427	2702
养	7313	7292	21
兼	696	696	0
兽	2168	2168	0
冀	21	21	0
冁	0	0	0
内	19092	18629	463
冈	526	499	27
冉	54	54	0
册	1374	1371	3
再	78039	78014	25
冏	0	0	0
冒	5729	5726	3
冔	0	0	0
冕	211	211	0
冗	66	66	0
写	16083	16076	7
军	15516	14543	973
农	2255	2172	83
冠	2997	2997	0
冢	8	8	0
冤	322	322	0
冥	467	467	0
冬	1099	1095	4
冮	0	0	0
冯	129	47	82
冰	6145	6102	43
冱	0	0	0
冲	7521	7516	5
决	22798	22797	1
况	13274	13269	5
冶	18	16	2
冷	9199	9106	93
冻	1620	1620	0
冼	1	0	1
冽	11	11	0
净	3065	3065	0
凄	121	121	0
准	30290	30287	3
凇	0	0	0
凉	1024	1023	1
凋	68	68	0
凌	1313	1313	0
减	2749	2748	1
凑	676	675	1
凓	0	0	0
凘	0	0	0
凛	24	24	0
凝	533	530	3
几	29152	28862	290
凡	1875	1738	137
凤	478	474	4
凫	1	1	0
凭	1820	1820	0
凯	7405	6272	1133
凰	311	311	0
凳	402	402	0
凶	6968	6967	1
凸	109	109	0
凹	150	150	0
出	129405	129144	261
击	16918	16899	19
凼	0	0	0
函	206	206	0
凿	268	268	0
刀	4999	4996	3
刁	77	77	0
刃	265	265	0
分	48396	48063	333
切	28202	27950	252
刈	0	0	0
刊	604	603	1
刍	19	19	0
刎	5	5	0
刑	2801	2749	52
划	11873	11757	116
刖	0	0	0
列	4646	4485	161
刘	448	399	49
则	8312	8302	10
刚	31327	31242	85
创	4667	4667	0
初	3740	3738	2
删	531	531	0
判	5960	5959	1
刨	92	25	67
利	32917	30143	2774
别	102034	101978	56
刬	0	0	0
刭	0	0	0
刮	920	920	0
到	290231	290229	2
刳	9	9	0
制	16520	16422	98
刷	1394	1394	0
券	663	540	123
刹	533	474	59
刺	4820	4816	4
刻	9844	9837	7
刽	81	81	0
刿	0	0	0
剀	0	0	0
剁	111	111	0
剂	2915	2762	153
剃	423	423	0
剅	0	0	0
削	437	272	165
剋	0	0	0
剌	55	55	0
前	75236	75234	2
剐	25	24	1
剑	1538	1526	12
剔	312	312	0
剕	0	0	0
剖	509	470	39
剜	9	9	0
剞	0	0	0
剟	0	0	0
剡	0	0	0
剥	743	417	326
剧	8407	8094	313
剩	5308	5308	0
剪	2064	2063	1
副	3750	3750	0
割	1534	1534	0
剽	91	91	0
剿	21	21	0
劁	0	0	0
劂	0	0	0
劄	0	0	0
劈	217	217	0
劐	0	0	0
劓	0	0	0
力	44859	44563	296
劝	872	866	6
办	28706	28674	32
功	9452	9369	83
加	38160	37259	901
务	13515	13510	5
劢	0	0	0
劣	646	646	0
动	49274	48984	290
助	16435	16381	54
努	6731	6489	242
劫	3238	3237	1
劬	0	0	0
劭	0	0	0
励	1640	1640	0
劲	3834	3597	237
劳	4576	4252	324
劼	0	0	0
劾	53	53	0
势	4547	4546	1
勃	1956	1811	145
勇	3885	3860	25
勉	310	310	0
勋	737	712	25
勍	0	0	0
勐	0	0	0
勒	6193	2476	3717
勔	0	0	0
勖	0	0	0
勘	140	140	0
勚	0	0	0
募	491	489	2
勠	0	0	0
勤	1110	1108	2
勰	0	0	0
勺	344	342	2
勾	1240	1225	15
勿	287	287	0
匀	91	91	0
包	13742	13660	82
匆	514	514	0
匈	159	159	0
匍	30	30	0
匏	0	0	0
匐	28	28	0
匕	131	131	0
化	11248	11217	31
北	3768	3714	54
匙	3958	3804	154
匜	0	0	0
匝	20	20	0
匠	535	535	0
