汉字	单字原始池	历史分配	剩余	逐音分配
胳	4	4	0	ge:4
脉	132	132	0	mai:132；mo:0
脚	3836	3836	0	jiao:3836
腊	29	29	0	la:29
般	1526	1526	0	ban:1526
舵	109	109	0	duo:109
色	843	843	0	se:843；shai:0
芒	53	53	0	mang:53
若	1575	1575	0	ruo:1575
苹	37	37	0	ping:37
荤	19	19	0	hun:19
蓝	1610	1610	0	lan:1610
蓼	16	16	0	liao:16
蕉	7	7	0	jiao:7
薄	338	338	0	bao:220；bo:118
藓	6	5	1	xian:5
虾	329	314	15	xia:314
蛇	1023	1023	0	she:1023
蛾	9	9	0	e:9
蜡	179	178	1	la:178
行	26032	26032	0	hang:1795；heng:0；xing:24237
衰	275	275	0	shuai:275
见	29341	29340	1	jian:25718；xian:3622
觉	1125	1125	0	jiao:166；jue:959
角	1355	1355	0	jiao:1308；jue:47
解	1221	1221	0	jie:1221；xie:0
识	104	104	0	shi:104；zhi:0
说	226955	226955	0	shui:0；shuo:226955
读	4663	4661	2	dou:0；du:4661
谜	411	404	7	mi:404
谷	517	517	0	gu:517
豁	9	9	0	huo:9
贲	6	6	0	ben:6
赚	1959	1959	0	zhuan:1959
踮	30	30	0	dian:30
蹲	864	864	0	dun:864
车	23977	23974	3	che:23974；ju:0
转	4884	4884	0	zhuan:4884
还	130326	130326	0	hai:128088；huan:2238
这	286988	286987	1	zhe:286987
迫	63	63	0	pai:0；po:63
适	58	58	0	shi:58
遗	60	58	2	yi:58
那	190087	190087	0	na:190087
邪	216	216	0	xie:216
都	177619	177619	0	dou:174758；du:2861
酿	71	71	0	niang:71
钯	7	7	0	ba:7
铣	1	1	0	xi:1
铰	3	3	0	jiao:3
锗	4	4	0	zhe:4
镐	32	10	22	gao:10
阿	3031	3031	0	a:3031；e:0
陆	75	75	0	liu:0；lu:75
降	535	535	0	jiang:409；xiang:126
陶	228	228	0	tao:228
隽	2	2	0	juan:2
霰	1	1	0	xian:1
革	56	56	0	ge:56
顿	2382	2382	0	dun:2382
颌	7	7	0	he:7
颤	132	132	0	chan:132
食	988	988	0	shi:988
饺	21	21	0	jiao:21
魄	57	57	0	po:57
鲭	19	19	0	qing:19
鸟	2175	2172	3	niao:2172
齐	728	727	1	qi:727
龈	2	2	0	yin:2
