汉字	拼音	旧频率	新已分配频率	变化	该字待分配频率
自	zi	98632	98613	-19	85
臭	chou	631	757	126	2649
臭	xiu	50	42	-8	2649
舅	jiu	583	585	2	0
舌	she	1465	1448	-17	34
舒	shu	3569	3566	-3	69
航	hang	3989	3991	2	0
般	ban	4545	4576	31	35
舱	cang	1172	1177	5	15
良	liang	3044	3043	-1	2
色	se	21196	21374	178	233
色	shai	180	17	-163	233
艺	yi	4261	4266	5	124
艾	ai	562	2500	1938	6077
节	jie	17352	17276	-76	101
芙	fu	869	822	-47	186
芫	yan	11	0	-11	11
芬	fen	1488	1486	-2	379
芮	rui	191	173	-18	18
花	hua	17222	17319	97	60
芸	yun	43	42	-1	1
苏	su	4070	4054	-16	409
苗	miao	510	511	1	0
若	ruo	2242	2249	7	206
苦	ku	7563	7539	-24	24
英	ying	14149	14144	-5	102
茜	qian	0	19	19	1164
茨	ci	839	838	-1	319
茹	ru	55	52	-3	6
荃	quan	1	0	-1	1
草	cao	3787	3788	1	23
荪	sun	4	2	-2	2
荷	he	1614	1606	-8	139
荻	di	14	11	-3	5
荼	tu	34	28	-6	6
荽	sui	11	0	-11	11
莉	li	4601	4665	64	1855
莎	sha	1569	1922	353	2476
莎	suo	0	4	4	2476
莘	shen	1	0	-1	1
莫	mo	4040	4101	61	886
莱	lai	8626	8622	-4	1888
菜	cai	4052	4061	9	8
菲	fei	3467	3459	-8	794
萨	sa	6385	6386	1	1304
萱	xuan	2	0	-2	2
落	luo	8283	8263	-20	1775
葛	ge	934	932	-2	95
蒂	di	6286	6431	145	1296
蒙	meng	4006	4007	1	491
蒜	suan	302	303	1	0
蒡	bang	0	5	5	0
蒿	hao	2	0	-2	2
蓓	bei	70	60	-10	21
蓝	lan	3352	3386	34	178
蔓	man	181	172	-9	107
蕾	lei	1682	1679	-3	135
薄	bao	515	516	1	191
薄	bo	1025	967	-58	191
薇	wei	568	570	2	40
薰	xun	160	153	-7	8
藏	cang	3329	3328	-1	4097
藏	zang	409	401	-8	4097
藜	li	4	2	-2	2
藤	teng	654	648	-6	12
虎	hu	1720	1718	-2	27
虐	nve	740	755	15	199
虑	lv	7270	7191	-79	79
虫	chong	3226	3222	-4	6
虹	hong	320	321	1	8
蚌	bang	0	3	3	29
蛇	she	1663	1673	10	3
蜜	mi	2397	2404	7	1
蜡	la	813	831	18	26
蝇	ying	390	385	-5	6
蝰	kui	0	4	4	0
血	xie	271	185	-86	5433
血	xue	9702	9256	-446	5433
行	hang	6421	6386	-35	811
行	xing	66178	65912	-266	811
街	jie	8584	8599	15	0
补	bu	3604	3583	-21	21
表	biao	31278	31283	5	112
装	zhuang	17628	17627	-1	7
裘	qiu	153	146	-7	7
褂	gua	4	5	1	31
褪	tui	0	67	67	58
褪	tun	67	0	-67	58
西	xi	57166	57139	-27	1885
要	yao	355665	355699	34	31
觉	jiao	4194	4216	22	14
觉	jue	76844	76925	81	14
角	jiao	5017	5132	115	106
角	jue	3511	3497	-14	106
解	jie	36412	36362	-50	186
言	yan	13157	13150	-7	26
詹	zhan	1487	1486	-1	395
计	ji	34448	34426	-22	163
讨	tao	10146	10149	3	4
让	rang	124947	124945	-2	169
设	she	9046	9052	6	4
证	zheng	30041	30010	-31	155
诃	he	31	14	-17	20
识	shi	20750	20847	97	31
识	zhi	97	0	-97	31
诗	shi	1727	1726	-1	8
诚	cheng	3679	3677	-2	27
话	hua	99732	99778	46	101
该	gai	80608	80624	16	17
说	shui	138	79	-59	1846
说	shuo	279386	279916	530	1846
诺	nuo	5916	5943	27	1198
读	du	6804	6780	-24	360
谁	shei	7	44	37	52823
谁	shui	66	0	-66	52823
调	diao	8716	8596	-120	3218
调	tiao	2765	2725	-40	3218
谈	tan	35701	35700	-1	3
谋	mou	7430	7415	-15	19
谟	mo	21	11	-10	10
谱	pu	873	882	9	8
谷	gu	1737	1752	15	115
豁	huo	1662	1663	1	0
貂	diao	111	110	-1	2
贝	bei	16097	16092	-5	1500
贞	zhen	625	624	-1	6
财	cai	3267	3257	-10	48
贤	xian	566	562	-4	32
败	bai	6450	6421	-29	43
账	zhang	1952	1953	1	0
货	huo	5884	5826	-58	103
购	gou	2008	2014	6	4
费	fei	11623	11630	7	387
贾	jia	3	36	33	1081
赛	sai	20173	20171	-2	284
赞	zan	3061	3060	-1	13
赠	zeng	765	778	13	0
赫	he	1451	1449	-2	282
赭	zhe	1	2	1	1
走	zou	82708	82418	-290	347
赵	zhao	120	119	-1	9
起	qi	127556	127536	-20	39
路	lu	23125	23155	30	307
踪	zong	7854	7876	22	0
躯	qu	363	327	-36	36
车	che	54889	54969	80	621
车	ju	1	0	-1	621
轧	zha	1	0	-1	58
转	zhuan	13095	13646	551	94
轮	lun	5058	5059	1	23
软	ruan	2239	2236	-3	8
轻	qing	11558	11532	-26	36
较	jiao	4133	4137	4	0
辊	gun	3	2	-1	1
辛	xin	2551	2562	11	458
达	da	15374	15370	-4	1044
迁	qian	455	456	1	1
过	guo	198202	198199	-3	79
还	huan	3833	3778	-55	69
这	zhe	607084	633747	26663	96
远	yuan	21491	21492	1	55
连	lian	11476	11460	-16	57
迦	jia	86	78	-8	54
迪	di	9155	9506	351	1527
退	tui	8121	8115	-6	6
送	song	17501	17511	10	39
选	xuan	25404	25405	1	15
逗	dou	1094	1148	54	0
逮	dai	3247	3057	-190	190
逵	kui	4	0	-4	4
遇	yu	8028	8029	1	0
道	dao	230102	230100	-2	431
遣	qian	561	528	-33	33
那	na	311759	364297	52538	727
邦	bang	3067	3068	1	172
邸	di	110	108	-2	2
邻	lin	2126	2127	1	0
郑	zheng	278	267	-11	17
郝	hao	194	192	-2	8
部	bu	34076	34591	515	205
都	dou	176405	176455	50	281
都	du	3935	3851	-84	281
配	pei	5469	5406	-63	69
酒	jiu	21118	21113	-5	58
酸	suan	1525	1527	2	0
酿	niang	339	346	7	0
采	cai	3143	3149	6	3
释	shi	9354	9352	-2	4
里	li	187039	187072	33	3627
重	chong	9115	8700	-415	5817
重	zhong	24939	24855	-84	5817
野	ye	4689	4717	28	58
金	jin	18500	18499	-1	711
鏊	ao	3	1	-2	2
鑫	xin	1	0	-1	1
钊	zhao	1	0	-1	1
钟	zhong	14840	14839	-1	19
钢	gang	1558	1559	1	4
钦	qin	194	193	-1	7
钩	gou	672	677	5	0
钰	yu	1	0	-1	1
钱	qian	35126	35145	19	77
钻	zuan	2369	2373	4	17
铁	tie	3700	3698	-2	51
铅	qian	258	262	4	193
铉	xuan	142	128	-14	19
铎	duo	112	116	4	6
铜	tong	397	389	-8	31
铮	zheng	8	6	-2	2
银	yin	4874	4775	-99	111
铸	zhu	173	176	3	8
链	lian	1664	1674	10	2
锁	suo	4937	4932	-5	8
锅	guo	664	666	2	16
锚	mao	186	187	1	0
锦	jin	433	388	-45	46
锷	e	19	17	-2	26
镛	yong	1	0	-1	3
长	chang	6131	6125	-6	13234
长	zhang	23418	23240	-178	13234
门	men	25395	25403	8	509
闵	min	47	41	-6	8
闸	zha	188	189	1	0
队	dui	27005	26965	-40	146
阳	yang	4191	4178	-13	22
阿	a	9544	9602	58	5832
阿	e	27	55	28	5832
附	fu	4214	4217	3	10
降	jiang	3179	3232	53	24
降	xiang	846	789	-57	24
除	chu	16182	16192	10	43
陶	tao	582	634	52	75
隆	long	1484	1483	-1	242
雀	que	329	334	5	66
雁	yan	17	18	1	0
雄	xiong	3615	3617	2	24
雅	ya	2919	2913	-6	200
雏	chu	95	110	15	2
雨	yu	3166	3156	-10	33
雪	xue	3698	3711	13	20
雯	wen	33	24	-9	10
雷	lei	8384	8391	7	1457
霍	huo	1901	1894	-7	683
露	lou	868	815	-53	1660
露	lu	3285	3287	2	1660
青	qing	3083	3081	-2	26
静	jing	11352	11353	1	94
非	fei	39378	38834	-544	609
韩	han	1501	1491	-10	120
音	yin	17776	17725	-51	504
韶	shao	6	5	-1	1
页	ye	1425	1434	9	9
顶	ding	5080	5078	-2	2
顺	shun	6852	6860	8	24
顽	wan	510	516	6	2
顿	dun	6176	6503	327	2603
颂	song	253	251	-2	2
颈	geng	14	0	-14	445
颈	jing	128	129	1	445
颤	chan	435	459	24	5
风	feng	13252	13251	-1	50
飞	fei	15655	15544	-111	173
食	shi	7059	7062	3	106
餐	can	10504	10510	6	37
饮	yin	1808	1805	-3	6
饼	bing	4131	4135	4	2
馅	xian	790	797	7	3
馨	xin	274	272	-2	2
马	ma	32897	32893	-4	2000
驾	jia	3034	3008	-26	29
骐	qi	8	7	-1	1
骑	qi	3382	3384	2	8
骨	gu	5251	5222	-29	89
高	gao	39658	39607	-51	437
鬼	gui	14628	14626	-2	20
鲁	lu	5389	5388	-1	660
鲍	bao	2339	2336	-3	787
鲨	sha	839	837	-2	38
鸟	niao	3150	3404	254	7
鸡	ji	6266	6267	1	54
鸣	ming	546	548	2	3
鹄	gu	1	0	-1	0
鹄	hu	0	1	1	0
鹤	he	167	157	-10	11
鹰	ying	1146	1116	-30	34
麦	mai	6422	6442	20	1058
黎	li	2019	2010	-9	58
黑	hei	13185	13186	1	34
黛	dai	827	781	-46	290
鼠	shu	2610	2598	-12	21
齐	qi	1318	1322	4	350
龅	bao	0	15	15	0
龙	long	3670	3701	31	99
