类别	根名	宿主	核心字用数	扩展字用数	合计
附属	轻字边	工	18	1	19
附属	杨字边	勿	20	0	20
附属	肄字旁	匕	5	15	20
附属	久	又	6	14	20
附属	旅下角	氏	5	16	21
附属	卅	艹	1	21	22
附属	尺	尸	10	12	22
附属	向字框	向	7	16	23
附属	囱	向	5	18	23
附属	卯	卵	9	14	23
附属	末	未	7	17	24
附属	朿	束	7	21	28
附属	囟	向	8	22	30
附属	卌	艹	1	30	31
附属	免	兔	12	19	31
附属	玨	王	9	22	31
附属	了	子	12	19	31
附属	甲	田	13	19	32
附属	啇	商	8	24	32
附属	祭字头	夕	13	20	33
附属	叟字头	白	14	19	33
附属	血	皿	6	27	33
附属	乡	纟	9	25	34
附属	朱	未	13	22	35
附属	襄	衣	15	20	35
附属	亦字底	变字头	9	28	37
附属	尤	龙	15	22	37
附属	面	雨	9	28	37
附属	失	矢	10	28	38
附属	化字边	匕	14	24	38
附属	荒字底	竖	17	24	41
附属	㡀	八	12	29	41
附属	养字头	美字头	10	32	42
附属	玉	王	17	26	43
附属	官字底	追字心	16	30	46
附属	巨	匚	14	33	47
附属	留字头	夕	14	34	48
附属	然左角	夕	3	46	49
附属	亚	业无横	27	22	49
附属	己	已	28	22	50
附属	录字头	争字底	12	38	50
附属	氐	氏	16	35	51
附属	北字旁	片	12	41	53
附属	甘	廿	18	35	53
附属	丌	儿	14	40	54
附属	聿	争字底	18	36	54
附属	柬	束	12	45	57
附属	瓜	爫	18	40	58
附属	爿	片	7	52	59
附属	龴	厶	21	39	60
附属	电	田	20	40	60
附属	七	匕	21	40	61
附属	凡	几	11	51	62
附属	必	忄	19	44	63
附属	豸	豕	15	49	64
附属	帝字头	宀	26	40	66
附属	身	向	9	58	67
附属	入	人	3	65	68
附属	匃	匚	20	48	68
附属	车旁	车	67	1	68
附属	丸	九	17	53	70
附属	疋	定字底	22	49	71
附属	出	山	19	54	73
附属	页	见	69	4	73
附属	贵字头	虫	13	61	74
附属	壬	土	29	45	74
附属	春字头	美字头	29	45	74
附属	釆	爫	23	54	77
附属	令	今	28	51	79
附属	具字头	且	31	49	80
附属	手	扌	20	62	82
附属	门	匚	77	5	82
附属	乙	折	22	61	83
附属	禺字底	禸	20	63	83
附属	少三	小	25	59	84
附属	弋	戈	29	57	86
附属	廴	辶	33	55	88
附属	登字头	夕	20	68	88
附属	金	钅	17	72	89
附属	尚头	宀	22	70	92
附属	龹	美字头	24	68	92
附属	各	又	36	57	93
附属	周字框	几	33	63	96
附属	夫	大	19	81	100
附属	于	干	34	71	105
附属	天	大	37	69	106
